district,party,base_vote_pct
Aladag,AKP,41.8
Aladag,CHP,47.2
Aladag,IYI,1.7
Aladag,DEM,0.0
Aladag,MHP,0.0
Aladag,YRP,5.5
Aladag,TIP,0.0
Aladag,ZAFER,0.9
Aladag,BBP,0.2
Aladag,SAADET,0.6
Ceyhan,AKP,37.8
Ceyhan,CHP,42.2
Ceyhan,IYI,6.6
Ceyhan,DEM,8.0
Ceyhan,MHP,0.0
Ceyhan,YRP,1.4
Ceyhan,TIP,0.1
Ceyhan,ZAFER,1.1
Ceyhan,BBP,0.2
Ceyhan,SAADET,0.8
Cukurova,AKP,0.0
Cukurova,CHP,53.4
Cukurova,IYI,7.7
Cukurova,DEM,2.1
Cukurova,MHP,25.7
Cukurova,YRP,1.7
Cukurova,TIP,0.6
Cukurova,ZAFER,4.1
Cukurova,BBP,0.9
Cukurova,SAADET,0.9
Feke,AKP,0.0
Feke,CHP,29.4
Feke,IYI,3.7
Feke,DEM,0.0
Feke,MHP,29.5
Feke,YRP,31.0
Feke,TIP,0.1
Feke,ZAFER,0.8
Feke,BBP,1.0
Feke,SAADET,3.0
Imamoglu,AKP,0.0
Imamoglu,CHP,41.3
Imamoglu,IYI,17.1
Imamoglu,DEM,0.0
Imamoglu,MHP,34.0
Imamoglu,YRP,2.1
Imamoglu,TIP,0.1
Imamoglu,ZAFER,0.6
Imamoglu,BBP,0.2
Imamoglu,SAADET,0.5
Karaisali,AKP,0.0
Karaisali,CHP,18.5
Karaisali,IYI,12.8
Karaisali,DEM,0.0
Karaisali,MHP,46.8
Karaisali,YRP,3.8
Karaisali,TIP,0.1
Karaisali,ZAFER,0.7
Karaisali,BBP,0.8
Karaisali,SAADET,2.1
Karatas,AKP,0.0
Karatas,CHP,49.4
Karatas,IYI,2.3
Karatas,DEM,2.2
Karatas,MHP,36.4
Karatas,YRP,0.6
Karatas,TIP,0.2
Karatas,ZAFER,0.5
Karatas,BBP,0.3
Karatas,SAADET,0.0
Kozan,AKP,0.0
Kozan,CHP,23.4
Kozan,IYI,17.7
Kozan,DEM,0.0
Kozan,MHP,29.3
Kozan,YRP,5.1
Kozan,TIP,0.3
Kozan,ZAFER,1.1
Kozan,BBP,20.0
Kozan,SAADET,1.0
Pozanti,AKP,0.0
Pozanti,CHP,36.4
Pozanti,IYI,4.5
Pozanti,DEM,0.0
Pozanti,MHP,36.3
Pozanti,YRP,17.4
Pozanti,TIP,0.1
Pozanti,ZAFER,0.6
Pozanti,BBP,0.3
Pozanti,SAADET,1.5
Saimbeyli,AKP,0.0
Saimbeyli,CHP,19.9
Saimbeyli,IYI,7.8
Saimbeyli,DEM,0.0
Saimbeyli,MHP,34.3
Saimbeyli,YRP,13.5
Saimbeyli,TIP,0.1
Saimbeyli,ZAFER,0.5
Saimbeyli,BBP,6.2
Saimbeyli,SAADET,1.2
Saricam,AKP,0.0
Saricam,CHP,35.3
Saricam,IYI,8.7
Saricam,DEM,0.0
Saricam,MHP,37.8
Saricam,YRP,5.4
Saricam,TIP,0.9
Saricam,ZAFER,2.9
Saricam,BBP,3.0
Saricam,SAADET,2.2
Seyhan,AKP,31.5
Seyhan,CHP,41.8
Seyhan,IYI,4.8
Seyhan,DEM,13.0
Seyhan,MHP,0.0
Seyhan,YRP,1.7
Seyhan,TIP,0.4
Seyhan,ZAFER,2.2
Seyhan,BBP,0.5
Seyhan,SAADET,0.6
Tufanbeyli,AKP,39.8
Tufanbeyli,CHP,47.8
Tufanbeyli,IYI,5.6
Tufanbeyli,DEM,0.0
Tufanbeyli,MHP,0.0
Tufanbeyli,YRP,4.9
Tufanbeyli,TIP,0.1
Tufanbeyli,ZAFER,0.3
Tufanbeyli,BBP,0.3
Tufanbeyli,SAADET,0.3
Yumurtalik,AKP,0.0
Yumurtalik,CHP,41.5
Yumurtalik,IYI,11.2
Yumurtalik,DEM,0.0
Yumurtalik,MHP,35.1
Yumurtalik,YRP,2.8
Yumurtalik,TIP,0.2
Yumurtalik,ZAFER,1.8
Yumurtalik,BBP,0.4
Yumurtalik,SAADET,0.3
Yuregir,AKP,36.6
Yuregir,CHP,39.7
Yuregir,IYI,3.7
Yuregir,DEM,8.6
Yuregir,MHP,0.0
Yuregir,YRP,3.5
Yuregir,TIP,0.3
Yuregir,ZAFER,2.0
Yuregir,BBP,0.3
Yuregir,SAADET,0.7
