district,party,base_vote_pct
Merkez,AKP,48.16
Merkez,CHP,23.96
Merkez,IYI,0
Merkez,DEM,16.14
Merkez,MHP,3.75
Merkez,YRP,4.37
Merkez,TIP,0
Merkez,ZAFER,0.71
Merkez,BBP,1.33
Besni,AKP,50.18
Besni,CHP,24.25
Besni,IYI,0
Besni,DEM,9.22
Besni,MHP,8.49
Besni,YRP,2.81
Besni,TIP,0
Besni,ZAFER,0.91
Besni,BBP,1.42
Celikhan,AKP,51.97
Celikhan,CHP,19.93
Celikhan,IYI,0
Celikhan,DEM,17.54
Celikhan,MHP,3.95
Celikhan,YRP,4.50
Celikhan,TIP,0
Celikhan,ZAFER,0.29
Celikhan,BBP,0.53
Gerger,AKP,73.58
Gerger,CHP,8.62
Gerger,IYI,0
Gerger,DEM,5.51
Gerger,MHP,1.75
Gerger,YRP,8.27
Gerger,TIP,0
Gerger,ZAFER,0.32
Gerger,BBP,0.60
Golbasi,AKP,48.71
Golbasi,CHP,30.96
Golbasi,IYI,0
Golbasi,DEM,5.35
Golbasi,MHP,8.16
Golbasi,YRP,2.57
Golbasi,TIP,0
Golbasi,ZAFER,1.39
Golbasi,BBP,0.72
Kahta,AKP,69.25
Kahta,CHP,7.30
Kahta,IYI,0
Kahta,DEM,12.89
Kahta,MHP,1.48
Kahta,YRP,6.62
Kahta,TIP,0
Kahta,ZAFER,0.31
Kahta,BBP,0.58
Samsat,AKP,70.58
Samsat,CHP,7.82
Samsat,IYI,0
Samsat,DEM,8.59
Samsat,MHP,8.04
Samsat,YRP,3.16
Samsat,TIP,0
Samsat,ZAFER,0.28
Samsat,BBP,0.74
Sincik,AKP,71.68
Sincik,CHP,2.80
Sincik,IYI,0
Sincik,DEM,2.05
Sincik,MHP,4.05
Sincik,YRP,18.50
Sincik,TIP,0
Sincik,ZAFER,0.15
Sincik,BBP,0.25
Tut,AKP,49.63
Tut,CHP,27.25
Tut,IYI,0
Tut,DEM,3.79
Tut,MHP,9.93
Tut,YRP,4.12
Tut,TIP,0
Tut,ZAFER,0.65
Tut,BBP,2.34
