district,party,base_vote_pct
Merkez,AKP,31.47
Merkez,CHP,42.00
Merkez,IYI,2.72
Merkez,DEM,0.18
Merkez,MHP,14.45
Merkez,YRP,3.60
Merkez,TIP,0
Merkez,ZAFER,2.00
Merkez,BBP,0.68
Merkez,SAADET,1.32
Basmakci,AKP,16.56
Basmakci,CHP,37.13
Basmakci,IYI,12.68
Basmakci,DEM,0
Basmakci,MHP,32.62
Basmakci,YRP,0
Basmakci,TIP,0
Basmakci,ZAFER,0.33
Basmakci,BBP,0
Basmakci,SAADET,0.45
Bayat,AKP,38.65
Bayat,CHP,37.68
Bayat,IYI,3.14
Bayat,DEM,0
Bayat,MHP,19.53
Bayat,YRP,0
Bayat,TIP,0
Bayat,ZAFER,0
Bayat,BBP,0
Bayat,SAADET,0.52
Bolvadin,AKP,36.28
Bolvadin,CHP,14.31
Bolvadin,IYI,3.46
Bolvadin,DEM,0
Bolvadin,MHP,38.43
Bolvadin,YRP,4.70
Bolvadin,TIP,0
Bolvadin,ZAFER,1.13
Bolvadin,BBP,0
Bolvadin,SAADET,1.17
Cay,AKP,24.67
Cay,CHP,11.93
Cay,IYI,30.22
Cay,DEM,0
Cay,MHP,24.02
Cay,YRP,0
Cay,TIP,0
Cay,ZAFER,0.57
Cay,BBP,7.03
Cay,SAADET,0.40
Cobanlar,AKP,56.91
Cobanlar,CHP,0
Cobanlar,IYI,41.53
Cobanlar,DEM,0
Cobanlar,MHP,0
Cobanlar,YRP,0
Cobanlar,TIP,0
Cobanlar,ZAFER,0
Cobanlar,BBP,0
Cobanlar,SAADET,0.97
Dazkiri,AKP,39.61
Dazkiri,CHP,38.42
Dazkiri,IYI,10.25
Dazkiri,DEM,0
Dazkiri,MHP,10.20
Dazkiri,YRP,0
Dazkiri,TIP,0
Dazkiri,ZAFER,0
Dazkiri,BBP,0
Dazkiri,SAADET,0.30
Dinar,AKP,39.01
Dinar,CHP,44.53
Dinar,IYI,9.80
Dinar,DEM,0
Dinar,MHP,0
Dinar,YRP,3.34
Dinar,TIP,0
Dinar,ZAFER,1.72
Dinar,BBP,0
Dinar,SAADET,1.01
Emirdag,AKP,37.79
Emirdag,CHP,22.82
Emirdag,IYI,0
Emirdag,DEM,0
Emirdag,MHP,36.56
Emirdag,YRP,1.60
Emirdag,TIP,0
Emirdag,ZAFER,0
Emirdag,BBP,0
Emirdag,SAADET,0.85
Evciler,AKP,46.76
Evciler,CHP,52.16
Evciler,IYI,0
Evciler,DEM,0
Evciler,MHP,0
Evciler,YRP,0
Evciler,TIP,0
Evciler,ZAFER,0
Evciler,BBP,0
Evciler,SAADET,0.58
Hocalar,AKP,43.36
Hocalar,CHP,8.58
Hocalar,IYI,41.51
Hocalar,DEM,0
Hocalar,MHP,6.13
Hocalar,YRP,0
Hocalar,TIP,0
Hocalar,ZAFER,0.19
Hocalar,BBP,0
Hocalar,SAADET,0
Ihsaniye,AKP,34.99
Ihsaniye,CHP,33.72
Ihsaniye,IYI,1.50
Ihsaniye,DEM,27.83
Ihsaniye,MHP,0
Ihsaniye,YRP,1.20
Ihsaniye,TIP,0
Ihsaniye,ZAFER,0
Ihsaniye,BBP,0
Ihsaniye,SAADET,0.33
Iscehisar,AKP,32.09
Iscehisar,CHP,27.68
Iscehisar,IYI,8.71
Iscehisar,DEM,0
Iscehisar,MHP,27.94
Iscehisar,YRP,1.58
Iscehisar,TIP,0
Iscehisar,ZAFER,1.09
Iscehisar,BBP,0
Iscehisar,SAADET,0
Kiziloren,AKP,40.68
Kiziloren,CHP,0
Kiziloren,IYI,0
Kiziloren,DEM,0
Kiziloren,MHP,46.97
Kiziloren,YRP,4.68
Kiziloren,TIP,0
Kiziloren,ZAFER,0
Kiziloren,BBP,0
Kiziloren,SAADET,3.08
Sandikli,AKP,35.99
Sandikli,CHP,7.01
Sandikli,IYI,5.55
Sandikli,DEM,0
Sandikli,MHP,22.87
Sandikli,YRP,24.54
Sandikli,TIP,0
Sandikli,ZAFER,1.00
Sandikli,BBP,0
Sandikli,SAADET,2.18
Sinanpasa,AKP,38.27
Sinanpasa,CHP,13.59
Sinanpasa,IYI,0
Sinanpasa,DEM,0
Sinanpasa,MHP,46.40
Sinanpasa,YRP,0
Sinanpasa,TIP,0
Sinanpasa,ZAFER,0.64
Sinanpasa,BBP,0
Sinanpasa,SAADET,0.48
Sultandagi,AKP,33.77
Sultandagi,CHP,23.74
Sultandagi,IYI,5.75
Sultandagi,DEM,0
Sultandagi,MHP,35.70
Sultandagi,YRP,0
Sultandagi,TIP,0
Sultandagi,ZAFER,0
Sultandagi,BBP,0
Sultandagi,SAADET,0.48
Suhut,AKP,33.42
Suhut,CHP,19.52
Suhut,IYI,0
Suhut,DEM,0
Suhut,MHP,44.41
Suhut,YRP,1.13
Suhut,TIP,0
Suhut,ZAFER,0
Suhut,BBP,0
Suhut,SAADET,0.66
