district,party,base_vote_pct
Diyadin,AKP,18.1
Diyadin,CHP,9.0
Diyadin,IYI,1.7
Diyadin,DEM,65.7
Diyadin,MHP,1.7
Diyadin,YRP,0.9
Diyadin,TIP,0.0
Diyadin,ZAFER,0.0
Diyadin,BBP,0.3
Dogubayazit,AKP,13.6
Dogubayazit,CHP,6.3
Dogubayazit,IYI,1.7
Dogubayazit,DEM,74.2
Dogubayazit,MHP,1.1
Dogubayazit,YRP,0.7
Dogubayazit,TIP,0.0
Dogubayazit,ZAFER,0.0
Dogubayazit,BBP,0.2
Eleskirt,AKP,43.1
Eleskirt,CHP,5.5
Eleskirt,IYI,1.9
Eleskirt,DEM,34.0
Eleskirt,MHP,2.6
Eleskirt,YRP,9.4
Eleskirt,TIP,0.0
Eleskirt,ZAFER,0.0
Eleskirt,BBP,0.6
Hamur,AKP,31.3
Hamur,CHP,8.7
Hamur,IYI,1.7
Hamur,DEM,52.5
Hamur,MHP,0.9
Hamur,YRP,2.1
Hamur,TIP,0.0
Hamur,ZAFER,0.0
Hamur,BBP,0.3
Merkez,AKP,34.5
Merkez,CHP,9.1
Merkez,IYI,1.8
Merkez,DEM,47.2
Merkez,MHP,2.2
Merkez,YRP,2.2
Merkez,TIP,0.0
Merkez,ZAFER,0.0
Merkez,BBP,0.3
Patnos,AKP,19.1
Patnos,CHP,22.3
Patnos,IYI,1.2
Patnos,DEM,52.1
Patnos,MHP,1.5
Patnos,YRP,1.5
Patnos,TIP,0.0
Patnos,ZAFER,0.0
Patnos,BBP,0.4
Taslicay,AKP,19.5
Taslicay,CHP,6.3
Taslicay,IYI,1.7
Taslicay,DEM,63.0
Taslicay,MHP,4.9
Taslicay,YRP,1.9
Taslicay,TIP,0.0
Taslicay,ZAFER,0.0
Taslicay,BBP,0.2
Tutak,AKP,23.5
Tutak,CHP,8.8
Tutak,IYI,1.9
Tutak,DEM,51.7
Tutak,MHP,9.8
Tutak,YRP,1.3
Tutak,TIP,0.0
Tutak,ZAFER,0.0
Tutak,BBP,0.4
