district,party,base_vote_pct
Merkez,AKP,35.76
Merkez,CHP,9.82
Merkez,IYI,18.21
Merkez,DEM,0
Merkez,MHP,27.69
Merkez,YRP,3.02
Merkez,TIP,0
Merkez,ZAFER,1.56
Merkez,BBP,0
Merkez,SAADET,0.74
Gulagac,AKP,32.26
Gulagac,CHP,1.73
Gulagac,IYI,0
Gulagac,DEM,0
Gulagac,MHP,45.75
Gulagac,YRP,16.59
Gulagac,TIP,0
Gulagac,ZAFER,0
Gulagac,BBP,2.22
Gulagac,SAADET,1.25
Eskil,AKP,46.56
Eskil,CHP,4.38
Eskil,IYI,7.36
Eskil,DEM,0
Eskil,MHP,29.46
Eskil,YRP,9.39
Eskil,TIP,0
Eskil,ZAFER,0.77
Eskil,BBP,0
Eskil,SAADET,1.08
Agacoren,AKP,36.81
Agacoren,CHP,0
Agacoren,IYI,29.44
Agacoren,DEM,0
Agacoren,MHP,29.66
Agacoren,YRP,0
Agacoren,TIP,0
Agacoren,ZAFER,0
Agacoren,BBP,3.41
Agacoren,SAADET,0
Guzelyurt,AKP,33.75
Guzelyurt,CHP,0
Guzelyurt,IYI,29.81
Guzelyurt,DEM,0
Guzelyurt,MHP,33.81
Guzelyurt,YRP,0
Guzelyurt,TIP,0
Guzelyurt,ZAFER,0
Guzelyurt,BBP,0
Guzelyurt,SAADET,1.93
Ortakoy,AKP,34.68
Ortakoy,CHP,5.45
Ortakoy,IYI,1.03
Ortakoy,DEM,0
Ortakoy,MHP,57.33
Ortakoy,YRP,0.81
Ortakoy,TIP,0
Ortakoy,ZAFER,0
Ortakoy,BBP,0
Ortakoy,SAADET,0.42
Sariyahsi,AKP,44.04
Sariyahsi,CHP,5.63
Sariyahsi,IYI,3.87
Sariyahsi,DEM,0
Sariyahsi,MHP,44.62
Sariyahsi,YRP,0
Sariyahsi,TIP,0
Sariyahsi,ZAFER,0
Sariyahsi,BBP,0
Sariyahsi,SAADET,3.56
Sultanhani,AKP,53.53
Sultanhani,CHP,6.06
Sultanhani,IYI,1.30
Sultanhani,DEM,0
Sultanhani,MHP,37.30
Sultanhani,YRP,0.75
Sultanhani,TIP,0
Sultanhani,ZAFER,0
Sultanhani,BBP,0
Sultanhani,SAADET,0.59
