district,party,base_vote_pct
Hamamozu,AKP,40.9
Hamamozu,MHP,29.7
Hamamozu,CHP,16.5
Hamamozu,YRP,10.1
Hamamozu,IYI,0.9
Hamamozu,ZAFER,0
Hamamozu,BBP,0
Hamamozu,DEM,0
Hamamozu,TIP,0
Hamamozu,SAADET,0.8
Tasova,CHP,41.0
Tasova,AKP,30.7
Tasova,MHP,23.7
Tasova,IYI,3.2
Tasova,YRP,0
Tasova,ZAFER,0
Tasova,BBP,0
Tasova,DEM,0
Tasova,TIP,0
Tasova,SAADET,0.6
Suluova,MHP,46.0
Suluova,AKP,33.6
Suluova,CHP,13.3
Suluova,YRP,3.9
Suluova,IYI,1.7
Suluova,ZAFER,0
Suluova,BBP,0
Suluova,DEM,0
Suluova,TIP,0
Suluova,SAADET,1.0
Merzifon,CHP,41.6
Merzifon,AKP,36.0
Merzifon,IYI,8.0
Merzifon,MHP,8.0
Merzifon,YRP,4.4
Merzifon,ZAFER,1.1
Merzifon,SAADET,1.0
Merzifon,BBP,0
Merzifon,DEM,0
Merzifon,TIP,0
Gumushacikoy,CHP,45.5
Gumushacikoy,AKP,36.8
Gumushacikoy,MHP,7.3
Gumushacikoy,YRP,2.1
Gumushacikoy,IYI,2.0
Gumushacikoy,ZAFER,0
Gumushacikoy,BBP,0
Gumushacikoy,DEM,0.2
Gumushacikoy,TIP,0
Gumushacikoy,SAADET,2.4
Goynucek,AKP,43.5
Goynucek,MHP,37.9
Goynucek,CHP,11.4
Goynucek,YRP,5.3
Goynucek,IYI,1.5
Goynucek,ZAFER,0
Goynucek,BBP,0
Goynucek,DEM,0
Goynucek,TIP,0
Goynucek,SAADET,0
Merkez,CHP,40.2
Merkez,AKP,30.3
Merkez,MHP,21.6
Merkez,YRP,3.2
Merkez,ZAFER,1.7
Merkez,IYI,1.6
Merkez,DEM,0.1
Merkez,TIP,0
Merkez,BBP,0
Merkez,SAADET,0
