district,party,base_vote_pct
Etimesgut,CHP,31.92
Etimesgut,AKP,26.80
Etimesgut,IYI,15.51
Etimesgut,MHP,10.43
Etimesgut,ZAFER,3.91
Etimesgut,TIP,2.94
Etimesgut,YRP,2.65
Etimesgut,DEM,2.32
Etimesgut,BBP,1.29
Mamak,CHP,34.20
Mamak,AKP,33.40
Mamak,MHP,10.50
Mamak,IYI,9.45
Mamak,DEM,3.29
Mamak,ZAFER,3.25
Mamak,YRP,2.56
Mamak,BBP,1.10
Mamak,TIP,0
Gudul,AKP,45.05
Gudul,CHP,16.54
Gudul,MHP,16.26
Gudul,IYI,13.82
Gudul,ZAFER,1.87
Gudul,YRP,1.84
Gudul,BBP,0.30
Gudul,DEM,0.18
Camlidere,AKP,51.85
Camlidere,MHP,19.95
Camlidere,IYI,10.31
Camlidere,CHP,10.06
Camlidere,YRP,3.07
Camlidere,ZAFER,1.59
Camlidere,BBP,0.52
Camlidere,DEM,0.11
Bala,AKP,38.57
Bala,MHP,19.93
Bala,CHP,15.97
Bala,IYI,11.04
Bala,YRP,4.12
Bala,ZAFER,1.38
Bala,DEM,1.21
Bala,BBP,1.03
Haymana,AKP,41.78
Haymana,CHP,14.45
Haymana,DEM,12.26
Haymana,MHP,12.14
Haymana,YRP,7.67
Haymana,IYI,6.86
Haymana,ZAFER,1.45
Haymana,BBP,0.76
Polatli,AKP,36.71
Polatli,CHP,22.61
Polatli,IYI,12.87
Polatli,MHP,11.15
Polatli,DEM,5.41
Polatli,ZAFER,3.65
Polatli,YRP,3.08
Polatli,BBP,1.64
Golbasi,AKP,30.18
Golbasi,CHP,27.71
Golbasi,IYI,14.73
Golbasi,MHP,13.23
Golbasi,ZAFER,4.07
Golbasi,YRP,2.83
Golbasi,DEM,1.76
Golbasi,BBP,1.38
Sereflikochisar,AKP,37.76
Sereflikochisar,CHP,23.50
Sereflikochisar,MHP,14.90
Sereflikochisar,IYI,11.26
Sereflikochisar,DEM,4.64
Sereflikochisar,YRP,1.99
Sereflikochisar,ZAFER,1.85
Sereflikochisar,BBP,0.95
Evren,AKP,43.81
Evren,CHP,20.15
Evren,MHP,13.92
Evren,IYI,13.61
Evren,YRP,1.75
Evren,ZAFER,1.34
Evren,BBP,0.72
Evren,DEM,0.15
Elmadag,AKP,34.45
Elmadag,CHP,30.86
Elmadag,IYI,11.81
Elmadag,MHP,10.65
Elmadag,DEM,3.90
Elmadag,ZAFER,2.65
Elmadag,YRP,2.30
Elmadag,BBP,1.05
Cubuk,AKP,51.53
Cubuk,MHP,13.68
Cubuk,CHP,12.11
Cubuk,IYI,9.71
Cubuk,YRP,4.40
Cubuk,ZAFER,2.68
Cubuk,BBP,2.44
Cubuk,DEM,0.92
Cubuk,TIP,0.22
Cankaya,AKP,14.00
Cankaya,CHP,54.68
Cankaya,IYI,16.03
Cankaya,DEM,4.03
Cankaya,MHP,4.67
Cankaya,YRP,1.10
Cankaya,TIP,0
Cankaya,ZAFER,2.77
Cankaya,BBP,0.54
Sincan,AKP,42.51
Sincan,CHP,16.64
Sincan,IYI,10.93
Sincan,DEM,2.90
Sincan,MHP,13.48
Sincan,YRP,3.55
Sincan,TIP,1.12
Sincan,ZAFER,3.91
Sincan,BBP,2.57
Yenimahalle,AKP,27.48
Yenimahalle,CHP,34.91
Yenimahalle,IYI,14.14
Yenimahalle,DEM,2.39
Yenimahalle,MHP,8.71
Yenimahalle,YRP,2.36
Yenimahalle,TIP,3.31
Yenimahalle,ZAFER,3.55
Yenimahalle,BBP,1.06
Nallihan,AKP,38.93
Nallihan,CHP,20.31
Nallihan,IYI,18.60
Nallihan,DEM,0.28
Nallihan,MHP,12.39
Nallihan,YRP,2.58
Nallihan,TIP,0.55
Nallihan,ZAFER,2.32
Nallihan,BBP,0.68
Beypazari,AKP,35.33
Beypazari,CHP,10.83
Beypazari,IYI,28.87
Beypazari,DEM,1.90
Beypazari,MHP,15.22
Beypazari,YRP,2.26
Beypazari,TIP,0.48
Beypazari,ZAFER,2.20
Beypazari,BBP,0.82
Pursaklar,AKP,50.46
Pursaklar,CHP,11.08
Pursaklar,IYI,11.31
Pursaklar,DEM,0.98
Pursaklar,MHP,13.27
Pursaklar,YRP,4.99
Pursaklar,TIP,0.61
Pursaklar,ZAFER,3.45
Pursaklar,BBP,1.86
Akyurt,AKP,50.94
Akyurt,CHP,10.36
Akyurt,IYI,10.01
Akyurt,DEM,1.92
Akyurt,MHP,14.44
Akyurt,YRP,3.55
Akyurt,TIP,0.52
Akyurt,ZAFER,2.70
Akyurt,BBP,3.57
Kahramankazan,AKP,44.47
Kahramankazan,CHP,14.42
Kahramankazan,IYI,11.36
Kahramankazan,DEM,2.44
Kahramankazan,MHP,14.75
Kahramankazan,YRP,4.40
Kahramankazan,TIP,0.82
Kahramankazan,ZAFER,3.78
Kahramankazan,BBP,1.17
Kecioren,AKP,37.10
Kecioren,CHP,24.34
Kecioren,IYI,12.83
Kecioren,DEM,2.40
Kecioren,MHP,11.56
Kecioren,YRP,3.16
Kecioren,TIP,1.42
Kecioren,ZAFER,3.79
Kecioren,BBP,1.24
Kizilcahamam,AKP,45.45
Kizilcahamam,CHP,12.64
Kizilcahamam,IYI,14.66
Kizilcahamam,DEM,0.39
Kizilcahamam,MHP,16.40
Kizilcahamam,YRP,3.82
Kizilcahamam,TIP,0.34
Kizilcahamam,ZAFER,2.14
Kizilcahamam,BBP,2.03
Kalecik,AKP,43.88
Kalecik,CHP,18.65
Kalecik,IYI,13.01
Kalecik,DEM,0.39
Kalecik,MHP,16.32
Kalecik,YRP,2.00
Kalecik,TIP,0.34
Kalecik,ZAFER,1.63
Kalecik,BBP,1.22
Ayas,AKP,33.84
Ayas,CHP,18.82
Ayas,IYI,18.10
Ayas,DEM,2.39
Ayas,MHP,10.48
Ayas,YRP,1.98
Ayas,TIP,0.70
Ayas,ZAFER,1.78
Ayas,BBP,9.57
Altindag,AKP,44.56
Altindag,CHP,20.56
Altindag,IYI,9.87
Altindag,DEM,2.68
Altindag,MHP,10.76
Altindag,YRP,3.66
Altindag,TIP,1.10
Altindag,ZAFER,3.40
Altindag,BBP,1.25
