district,party,base_vote_pct
Akseki,AKP,41.07
Akseki,CHP,29.54
Akseki,IYI,8.19
Akseki,DEM,0.32
Akseki,MHP,11.74
Akseki,YRP,1.58
Akseki,TIP,1.12
Akseki,ZAFER,2.07
Akseki,BBP,0.65
Aksu,AKP,33.08
Aksu,CHP,24.49
Aksu,IYI,14.06
Aksu,DEM,6.51
Aksu,MHP,11.24
Aksu,YRP,1.44
Aksu,TIP,2.41
Aksu,ZAFER,2.75
Aksu,BBP,0.82
Alanya,AKP,30.67
Alanya,CHP,31.26
Alanya,IYI,10.77
Alanya,DEM,3.45
Alanya,MHP,11.38
Alanya,YRP,1.40
Alanya,TIP,2.90
Alanya,ZAFER,2.95
Alanya,BBP,1.93
Demre,AKP,31.00
Demre,CHP,27.48
Demre,IYI,13.30
Demre,DEM,0.88
Demre,MHP,17.87
Demre,YRP,1.30
Demre,TIP,2.48
Demre,ZAFER,1.85
Demre,BBP,0.41
Dosemealti,AKP,33.25
Dosemealti,CHP,29.84
Dosemealti,IYI,10.93
Dosemealti,DEM,4.29
Dosemealti,MHP,9.72
Dosemealti,YRP,1.64
Dosemealti,TIP,3.80
Dosemealti,ZAFER,3.10
Dosemealti,BBP,0.49
Elmali,AKP,34.60
Elmali,CHP,26.21
Elmali,IYI,13.76
Elmali,DEM,1.49
Elmali,MHP,15.08
Elmali,YRP,1.33
Elmali,TIP,1.69
Elmali,ZAFER,2.09
Elmali,BBP,0.55
Finike,AKP,27.26
Finike,CHP,29.92
Finike,IYI,11.95
Finike,DEM,1.98
Finike,MHP,19.65
Finike,YRP,0.98
Finike,TIP,2.93
Finike,ZAFER,2.16
Finike,BBP,0.37
Gazipasa,AKP,27.89
Gazipasa,CHP,40.31
Gazipasa,IYI,9.92
Gazipasa,DEM,0.97
Gazipasa,MHP,12.23
Gazipasa,YRP,0.90
Gazipasa,TIP,1.92
Gazipasa,ZAFER,1.85
Gazipasa,BBP,0.40
Gundogmus,AKP,34.96
Gundogmus,CHP,27.21
Gundogmus,IYI,13.70
Gundogmus,DEM,0.26
Gundogmus,MHP,13.54
Gundogmus,YRP,1.63
Gundogmus,TIP,1.11
Gundogmus,ZAFER,1.57
Gundogmus,BBP,0.56
Ibradi,AKP,34.56
Ibradi,CHP,35.19
Ibradi,IYI,13.23
Ibradi,DEM,0.29
Ibradi,MHP,7.48
Ibradi,YRP,1.29
Ibradi,TIP,2.16
Ibradi,ZAFER,1.53
Ibradi,BBP,0.48
Kas,AKP,32.33
Kas,CHP,33.75
Kas,IYI,12.24
Kas,DEM,2.17
Kas,MHP,9.02
Kas,YRP,0.83
Kas,TIP,4.24
Kas,ZAFER,1.42
Kas,BBP,0.38
Kemer,AKP,27.63
Kemer,CHP,31.08
Kemer,IYI,12.58
Kemer,DEM,5.29
Kemer,MHP,11.32
Kemer,YRP,0.92
Kemer,TIP,4.81
Kemer,ZAFER,2.83
Kemer,BBP,0.55
Kepez,AKP,31.96
Kepez,CHP,26.52
Kepez,IYI,9.66
Kepez,DEM,9.57
Kepez,MHP,9.35
Kepez,YRP,1.43
Kepez,TIP,4.59
Kepez,ZAFER,3.29
Kepez,BBP,0.59
Konyaalti,AKP,18.52
Konyaalti,CHP,44.61
Konyaalti,IYI,13.10
Konyaalti,DEM,3.27
Konyaalti,MHP,5.61
Konyaalti,YRP,0.74
Konyaalti,TIP,8.67
Konyaalti,ZAFER,2.82
Konyaalti,BBP,0.32
Korkuteli,AKP,38.64
Korkuteli,CHP,25.90
Korkuteli,IYI,11.60
Korkuteli,DEM,1.46
Korkuteli,MHP,12.59
Korkuteli,YRP,3.01
Korkuteli,TIP,1.19
Korkuteli,ZAFER,2.09
Korkuteli,BBP,0.54
Kumluca,AKP,33.38
Kumluca,CHP,26.24
Kumluca,IYI,11.43
Kumluca,DEM,3.11
Kumluca,MHP,15.70
Kumluca,YRP,1.26
Kumluca,TIP,3.08
Kumluca,ZAFER,2.49
Kumluca,BBP,0.50
Manavgat,AKP,29.87
Manavgat,CHP,31.93
Manavgat,IYI,10.31
Manavgat,DEM,3.17
Manavgat,MHP,12.63
Manavgat,YRP,1.25
Manavgat,TIP,3.68
Manavgat,ZAFER,3.14
Manavgat,BBP,0.53
Muratpasa,AKP,21.84
Muratpasa,CHP,41.39
Muratpasa,IYI,12.66
Muratpasa,DEM,3.88
Muratpasa,MHP,6.17
Muratpasa,YRP,0.87
Muratpasa,TIP,7.46
Muratpasa,ZAFER,2.76
Muratpasa,BBP,0.37
Serik,AKP,28.24
Serik,CHP,29.18
Serik,IYI,16.33
Serik,DEM,2.59
Serik,MHP,12.14
Serik,YRP,1.90
Serik,TIP,2.16
Serik,ZAFER,3.30
Serik,BBP,0.71
