district,party,base_vote_pct
Cildir,AKP,42.9
Cildir,CHP,34.7
Cildir,IYI,7.8
Cildir,DEM,1.9
Cildir,MHP,5.9
Cildir,YRP,1.1
Cildir,TIP,0
Cildir,ZAFER,2
Cildir,BBP,0.3
Damal,AKP,5.1
Damal,CHP,74.8
Damal,IYI,4.1
Damal,DEM,12.3
Damal,MHP,0.8
Damal,YRP,0.2
Damal,TIP,0
Damal,ZAFER,0.5
Damal,BBP,0.1
Gole,AKP,34.5
Gole,CHP,19.1
Gole,IYI,2.1
Gole,DEM,36
Gole,MHP,1.7
Gole,YRP,1.5
Gole,TIP,0
Gole,ZAFER,0.6
Gole,BBP,0.3
Hanak,AKP,28.1
Hanak,CHP,44.6
Hanak,IYI,13.8
Hanak,DEM,5.7
Hanak,MHP,2.6
Hanak,YRP,0.7
Hanak,TIP,0
Hanak,ZAFER,0.9
Hanak,BBP,0.4
Merkez,AKP,35.2
Merkez,CHP,26.6
Merkez,IYI,3.9
Merkez,DEM,26.4
Merkez,MHP,2.8
Merkez,YRP,0.8
Merkez,TIP,0
Merkez,ZAFER,1.1
Merkez,BBP,0.3
Posof,AKP,52.4
Posof,CHP,23.4
Posof,IYI,5.7
Posof,DEM,4.3
Posof,MHP,6.5
Posof,YRP,1.5
Posof,TIP,0
Posof,ZAFER,1.8
Posof,BBP,0.7
