district,party,base_vote_pct
Yusufeli,CHP,15.10
Yusufeli,IYI,7.63
Yusufeli,AKP,56.83
Yusufeli,MHP,10.42
Yusufeli,YRP,4.82
Yusufeli,BBP,0.57
Yusufeli,Dem,0.10
Yusufeli,TIP,0.28
Yusufeli,ZAFER,1.46
Savsat,CHP,39.15
Savsat,IYI,13.06
Savsat,AKP,34.86
Savsat,MHP,4.57
Savsat,YRP,1.07
Savsat,BBP,0.36
Savsat,Dem,0.50
Savsat,TIP,1.23
Savsat,ZAFER,0.89
Murgul,CHP,27.60
Murgul,IYI,16.86
Murgul,AKP,35.87
Murgul,MHP,13.23
Murgul,YRP,2.73
Murgul,BBP,0.26
Murgul,Dem,0.08
Murgul,TIP,0.77
Murgul,ZAFER,0.93
Merkez,CHP,30.26
Merkez,IYI,13.43
Merkez,AKP,31.68
Merkez,MHP,15.27
Merkez,YRP,2.69
Merkez,BBP,0.53
Merkez,Dem,0.67
Merkez,TIP,0.97
Merkez,ZAFER,1.25
Kemalpasa,CHP,42.90
Kemalpasa,IYI,15.32
Kemalpasa,AKP,22.04
Kemalpasa,MHP,6.50
Kemalpasa,YRP,0.42
Kemalpasa,BBP,0.25
Kemalpasa,Dem,2.90
Kemalpasa,TIP,2.71
Kemalpasa,ZAFER,1.14
Hopa,CHP,37.22
Hopa,IYI,14.70
Hopa,AKP,28.56
Hopa,MHP,6.18
Hopa,YRP,1.74
Hopa,BBP,0.32
Hopa,Dem,1.82
Hopa,TIP,3.92
Hopa,ZAFER,1.39
Borcka,CHP,18.36
Borcka,IYI,16.52
Borcka,AKP,47.37
Borcka,MHP,9.37
Borcka,YRP,3.27
Borcka,BBP,0.38
Borcka,Dem,0.49
Borcka,TIP,0.54
Borcka,ZAFER,0.99
Arhavi,CHP,30.02
Arhavi,IYI,9.38
Arhavi,AKP,40.02
Arhavi,MHP,11.57
Arhavi,YRP,1.94
Arhavi,BBP,0.28
Arhavi,Dem,0.72
Arhavi,TIP,1.43
Arhavi,ZAFER,1.40
Ardanuc,CHP,38.11
Ardanuc,IYI,18.68
Ardanuc,AKP,29.51
Ardanuc,MHP,5.57
Ardanuc,YRP,1.67
Ardanuc,BBP,0.32
Ardanuc,Dem,0.64
Ardanuc,TIP,1.15
Ardanuc,ZAFER,0.64
