district,party,base_vote_pct
Efeler,AKP,26.43
Efeler,CHP,35.44
Efeler,IYI,15.14
Efeler,DEM,7.32
Efeler,MHP,8.30
Efeler,YRP,0.84
Efeler,TIP,0
Efeler,ZAFER,2.63
Efeler,BBP,1.36
Nazilli,AKP,32.49
Nazilli,CHP,33.21
Nazilli,IYI,13.47
Nazilli,DEM,5.58
Nazilli,MHP,7.66
Nazilli,YRP,0.85
Nazilli,TIP,0
Nazilli,ZAFER,2.79
Nazilli,BBP,0.76
Soke,AKP,24.80
Soke,CHP,35.19
Soke,IYI,13.65
Soke,DEM,11.57
Soke,MHP,8.58
Soke,YRP,0.69
Soke,TIP,0
Soke,ZAFER,1.90
Soke,BBP,0.67
Sultanhisar,AKP,32.20
Sultanhisar,CHP,29.91
Sultanhisar,IYI,15.92
Sultanhisar,DEM,6.83
Sultanhisar,MHP,9.28
Sultanhisar,YRP,0.67
Sultanhisar,TIP,0
Sultanhisar,ZAFER,2.08
Sultanhisar,BBP,0.74
Yenipazar,AKP,41.53
Yenipazar,CHP,30.66
Yenipazar,IYI,14.38
Yenipazar,DEM,0.98
Yenipazar,MHP,6.88
Yenipazar,YRP,0.48
Yenipazar,TIP,0
Yenipazar,ZAFER,1.62
Yenipazar,BBP,0.56
Bozdogan,AKP,36.72
Bozdogan,CHP,30.62
Bozdogan,IYI,15.64
Bozdogan,DEM,0.52
Bozdogan,MHP,9.62
Bozdogan,YRP,0.96
Bozdogan,TIP,0
Bozdogan,ZAFER,1.62
Bozdogan,BBP,0.48
Buharkent,AKP,32.69
Buharkent,CHP,30.17
Buharkent,IYI,16.27
Buharkent,DEM,4.71
Buharkent,MHP,9.33
Buharkent,YRP,0.86
Buharkent,TIP,0
Buharkent,ZAFER,2.10
Buharkent,BBP,0.54
Cine,AKP,36.01
Cine,CHP,38.14
Cine,IYI,11.68
Cine,DEM,0.68
Cine,MHP,7.03
Cine,YRP,0.65
Cine,TIP,0
Cine,ZAFER,1.84
Cine,BBP,0.60
Didim,AKP,18.66
Didim,CHP,46.23
Didim,IYI,10.65
Didim,DEM,13.22
Didim,MHP,6.00
Didim,YRP,0.54
Didim,TIP,0
Didim,ZAFER,1.60
Didim,BBP,0.48
Germencik,AKP,26.62
Germencik,CHP,27.90
Germencik,IYI,9.44
Germencik,DEM,19.10
Germencik,MHP,11.64
Germencik,YRP,0.69
Germencik,TIP,0
Germencik,ZAFER,1.72
Germencik,BBP,0.59
Incirliova,AKP,33.52
Incirliova,CHP,30.41
Incirliova,IYI,12.23
Incirliova,DEM,5.76
Incirliova,MHP,12.09
Incirliova,YRP,0.82
Incirliova,TIP,0
Incirliova,ZAFER,2.08
Incirliova,BBP,0.92
Karacasu,AKP,34.27
Karacasu,CHP,36.54
Karacasu,IYI,11.59
Karacasu,DEM,0.35
Karacasu,MHP,9.76
Karacasu,YRP,0.69
Karacasu,TIP,0
Karacasu,ZAFER,1.99
Karacasu,BBP,1.11
Karpuzlu,AKP,38.52
Karpuzlu,CHP,25.14
Karpuzlu,IYI,10.83
Karpuzlu,DEM,0.18
Karpuzlu,MHP,19.41
Karpuzlu,YRP,0.83
Karpuzlu,TIP,0
Karpuzlu,ZAFER,1.48
Karpuzlu,BBP,0.70
Kocarli,AKP,40.41
Kocarli,CHP,29.54
Kocarli,IYI,10.53
Kocarli,DEM,1.85
Kocarli,MHP,11.95
Kocarli,YRP,0.70
Kocarli,TIP,0
Kocarli,ZAFER,1.65
Kocarli,BBP,1.17
Kusadasi,AKP,19.19
Kusadasi,CHP,47.86
Kusadasi,IYI,13.42
Kusadasi,DEM,7.04
Kusadasi,MHP,5.52
Kusadasi,YRP,0.50
Kusadasi,TIP,0
Kusadasi,ZAFER,2.71
Kusadasi,BBP,0.60
Kosk,AKP,43.96
Kosk,CHP,17.55
Kosk,IYI,9.47
Kosk,DEM,5.15
Kosk,MHP,18.01
Kosk,YRP,0.82
Kosk,TIP,0
Kosk,ZAFER,1.92
Kosk,BBP,0.90
Kuyucak,AKP,32.38
Kuyucak,CHP,37.41
Kuyucak,IYI,11.77
Kuyucak,DEM,0.61
Kuyucak,MHP,11.62
Kuyucak,YRP,0.71
Kuyucak,TIP,0
Kuyucak,ZAFER,1.84
Kuyucak,BBP,0.89
