district,party,base_vote_pct
Altieylul,AKP,35.3
Altieylul,CHP,27.9
Altieylul,IYI,14.8
Altieylul,DEM,0.9
Altieylul,MHP,10.2
Altieylul,YRP,3.9
Altieylul,TIP,0.8
Altieylul,ZAFER,2.7
Altieylul,BBP,0.8
Ayvalik,AKP,19.1
Ayvalik,CHP,46.6
Ayvalik,IYI,14.9
Ayvalik,DEM,5.0
Ayvalik,MHP,6.3
Ayvalik,YRP,0.6
Ayvalik,TIP,3.3
Ayvalik,ZAFER,1.6
Ayvalik,BBP,0.3
Balya,AKP,38.3
Balya,CHP,33.0
Balya,IYI,11.7
Balya,DEM,1.1
Balya,MHP,8.7
Balya,YRP,1.4
Balya,TIP,0.8
Balya,ZAFER,0.9
Balya,BBP,0.7
Bandirma,AKP,29.0
Bandirma,CHP,35.6
Bandirma,IYI,17.6
Bandirma,DEM,3.1
Bandirma,MHP,6.2
Bandirma,YRP,1.3
Bandirma,TIP,1.4
Bandirma,ZAFER,2.7
Bandirma,BBP,0.4
Bigadic,AKP,46.1
Bigadic,CHP,24.4
Bigadic,IYI,12.9
Bigadic,DEM,0.4
Bigadic,MHP,6.9
Bigadic,YRP,3.3
Bigadic,TIP,0.4
Bigadic,ZAFER,1.7
Bigadic,BBP,0.9
Burhaniye,AKP,28.3
Burhaniye,CHP,41.0
Burhaniye,IYI,13.6
Burhaniye,DEM,3.7
Burhaniye,MHP,5.6
Burhaniye,YRP,0.9
Burhaniye,TIP,1.8
Burhaniye,ZAFER,1.8
Burhaniye,BBP,0.5
Dursunbey,AKP,62.4
Dursunbey,CHP,9.5
Dursunbey,IYI,9.2
Dursunbey,DEM,0.2
Dursunbey,MHP,9.1
Dursunbey,YRP,3.4
Dursunbey,TIP,0.2
Dursunbey,ZAFER,1.6
Dursunbey,BBP,1.3
Edremit,AKP,25.1
Edremit,CHP,41.4
Edremit,IYI,13.9
Edremit,DEM,4.4
Edremit,MHP,7.0
Edremit,YRP,1.0
Edremit,TIP,2.3
Edremit,ZAFER,1.9
Edremit,BBP,0.6
Erdek,AKP,25.6
Erdek,CHP,46.4
Erdek,IYI,14.4
Erdek,DEM,1.0
Erdek,MHP,6.4
Erdek,YRP,0.7
Erdek,TIP,1.3
Erdek,ZAFER,1.4
Erdek,BBP,0.6
Gomec,AKP,27.0
Gomec,CHP,39.5
Gomec,IYI,14.0
Gomec,DEM,6.6
Gomec,MHP,6.1
Gomec,YRP,0.7
Gomec,TIP,2.0
Gomec,ZAFER,1.5
Gomec,BBP,0.4
Gonen,AKP,39.7
Gonen,CHP,25.3
Gonen,IYI,20.0
Gonen,DEM,1.4
Gonen,MHP,5.9
Gonen,YRP,1.2
Gonen,TIP,0.8
Gonen,ZAFER,2.1
Gonen,BBP,0.6
Havran,AKP,47.8
Havran,CHP,19.2
Havran,IYI,13.4
Havran,DEM,0.4
Havran,MHP,13.2
Havran,YRP,1.3
Havran,TIP,0.3
Havran,ZAFER,1.2
Havran,BBP,0.7
Ivrindi,AKP,50.2
Ivrindi,CHP,19.9
Ivrindi,IYI,12.7
Ivrindi,DEM,0.2
Ivrindi,MHP,10.0
Ivrindi,YRP,2.0
Ivrindi,TIP,0.2
Ivrindi,ZAFER,1.0
Ivrindi,BBP,0.9
Karesi,AKP,35.8
Karesi,CHP,26.7
Karesi,IYI,15.5
Karesi,DEM,0.6
Karesi,MHP,10.3
Karesi,YRP,3.8
Karesi,TIP,0.8
Karesi,ZAFER,2.7
Karesi,BBP,1.0
Kepsut,AKP,55.9
Kepsut,CHP,15.4
Kepsut,IYI,11.7
Kepsut,DEM,0.1
Kepsut,MHP,9.1
Kepsut,YRP,2.5
Kepsut,TIP,0.2
Kepsut,ZAFER,1.3
Kepsut,BBP,0.8
Manyas,AKP,34.3
Manyas,CHP,35.7
Manyas,IYI,15.9
Manyas,DEM,0.4
Manyas,MHP,7.6
Manyas,YRP,1.3
Manyas,TIP,0.3
Manyas,ZAFER,1.5
Manyas,BBP,0.5
Marmara,AKP,31.7
Marmara,CHP,33.4
Marmara,IYI,13.4
Marmara,DEM,5.1
Marmara,MHP,9.1
Marmara,YRP,1.2
Marmara,TIP,1.4
Marmara,ZAFER,1.8
Marmara,BBP,0.6
Savastepe,AKP,39.6
Savastepe,CHP,20.2
Savastepe,IYI,16.7
Savastepe,DEM,0.4
Savastepe,MHP,17.1
Savastepe,YRP,1.1
Savastepe,TIP,0.5
Savastepe,ZAFER,1.2
Savastepe,BBP,0.5
Sindirgi,AKP,42.7
Sindirgi,CHP,28.5
Sindirgi,IYI,12.6
Sindirgi,DEM,0.3
Sindirgi,MHP,7.0
Sindirgi,YRP,2.6
Sindirgi,TIP,0.3
Sindirgi,ZAFER,1.3
Sindirgi,BBP,1.1
Susurluk,AKP,38.1
Susurluk,CHP,31.5
Susurluk,IYI,16.0
Susurluk,DEM,0.7
Susurluk,MHP,6.1
Susurluk,YRP,1.2
Susurluk,TIP,0.8
Susurluk,ZAFER,2.1
Susurluk,BBP,0.4
