district,party,base_vote_pct
Ulus,AKP,46.01
Ulus,CHP,22.83
Ulus,IYI,0
Ulus,DEM,0.22
Ulus,MHP,23.18
Ulus,YRP,1.66
Ulus,TIP,0
Ulus,ZAFER,1.03
Ulus,BBP,0.70
Kurucasile,AKP,33.42
Kurucasile,CHP,35.23
Kurucasile,IYI,0
Kurucasile,DEM,0.09
Kurucasile,MHP,23.07
Kurucasile,YRP,1.28
Kurucasile,TIP,0
Kurucasile,ZAFER,0.96
Kurucasile,BBP,0.87
Amasra,AKP,27.80
Amasra,CHP,42.20
Amasra,IYI,0
Amasra,DEM,0.39
Amasra,MHP,21.30
Amasra,YRP,1.83
Amasra,TIP,0
Amasra,ZAFER,1.35
Amasra,BBP,0.45
Merkez,AKP,36.18
Merkez,CHP,31.83
Merkez,IYI,0
Merkez,DEM,0.34
Merkez,MHP,24.24
Merkez,YRP,1.83
Merkez,TIP,0
Merkez,ZAFER,1.56
Merkez,BBP,0.41
