district,party,base_vote_pct
Hasankeyf,AKP,33.57
Hasankeyf,CHP,43.50
Hasankeyf,IYI,1.08
Hasankeyf,DEM,14.83
Hasankeyf,MHP,0
Hasankeyf,YRP,3.09
Hasankeyf,TIP,0
Hasankeyf,ZAFER,0
Hasankeyf,BBP,1.62
Hasankeyf,SAADET,0.36
Sason,AKP,30.12
Sason,CHP,16.05
Sason,IYI,0.57
Sason,DEM,11.45
Sason,MHP,0
Sason,YRP,16.7
Sason,TIP,0
Sason,ZAFER,0
Sason,BBP,0
Sason,SAADET,20.46
Kozluk,AKP,41.05
Kozluk,CHP,14.09
Kozluk,IYI,0
Kozluk,DEM,33.34
Kozluk,MHP,0
Kozluk,YRP,1.88
Kozluk,TIP,0
Kozluk,ZAFER,0.28
Kozluk,BBP,0
Kozluk,SAADET,0.25
Gercus,AKP,33.22
Gercus,CHP,0
Gercus,IYI,1.48
Gercus,DEM,36.13
Gercus,MHP,0
Gercus,YRP,3.29
Gercus,TIP,0
Gercus,ZAFER,0
Gercus,BBP,0
Gercus,SAADET,14.35
Gercus,AKP,33.22
Gercus,CHP,0
Gercus,IYI,1.48
Gercus,DEM,36.13
Gercus,MHP,0
Gercus,YRP,3.29
Gercus,TIP,0
Gercus,ZAFER,0
Gercus,BBP,0
Gercus,SAADET,14.35
Besiri,AKP,26.19
Besiri,CHP,0
Besiri,IYI,0.58
Besiri,DEM,26.12
Besiri,MHP,0
Besiri,YRP,39.46
Besiri,TIP,0
Besiri,ZAFER,0
Besiri,BBP,0
Besiri,SAADET,1.56
