district,party,base_vote_pct
Demirozu,AKP,62.8
Demirozu,CHP,0
Demirozu,IYI,11.9
Demirozu,DEM,0.2
Demirozu,MHP,20.5
Demirozu,YRP,2.5
Demirozu,TIP,0.1
Demirozu,ZAFER,0.6
Demirozu,BBP,0.6
Merkez,AKP,59.7
Merkez,CHP,0
Merkez,IYI,16.7
Merkez,DEM,0.5
Merkez,MHP,16.3
Merkez,YRP,3
Merkez,TIP,0.2
Merkez,ZAFER,1.5
Merkez,BBP,0.8
Aydintepe,AKP,59.5
Aydintepe,CHP,0
Aydintepe,IYI,17.3
Aydintepe,DEM,0.4
Aydintepe,MHP,15.8
Aydintepe,YRP,3.2
Aydintepe,TIP,0.1
Aydintepe,ZAFER,1
Aydintepe,BBP,0.6
