district,party,base_vote_pct
Bozuyuk,AKP,33.8
Bozuyuk,CHP,30.7
Bozuyuk,IYI,9.7
Bozuyuk,DEM,4.1
Bozuyuk,MHP,12.9
Bozuyuk,YRP,2.1
Bozuyuk,TIP,0.7
Bozuyuk,ZAFER,2.3
Bozuyuk,BBP,0.7
Golpazari,AKP,47.2
Golpazari,CHP,31
Golpazari,IYI,9.4
Golpazari,DEM,0.2
Golpazari,MHP,6
Golpazari,YRP,1.4
Golpazari,TIP,0.5
Golpazari,ZAFER,1.1
Golpazari,BBP,0.4
Inhisar,AKP,46.9
Inhisar,CHP,29
Inhisar,IYI,9
Inhisar,DEM,1
Inhisar,MHP,6.1
Inhisar,YRP,2.1
Inhisar,TIP,0.2
Inhisar,ZAFER,1.3
Inhisar,BBP,0.5
Merkez,AKP,36.8
Merkez,CHP,25.8
Merkez,IYI,14.3
Merkez,DEM,2.4
Merkez,MHP,1.3
Merkez,YRP,3.7
Merkez,TIP,1.4
Merkez,ZAFER,2.6
Merkez,BBP,1.3
Osmaneli,AKP,41.3
Osmaneli,CHP,24.8
Osmaneli,IYI,12.1
Osmaneli,DEM,1.1
Osmaneli,MHP,11.7
Osmaneli,YRP,3.2
Osmaneli,TIP,0.4
Osmaneli,ZAFER,2
Osmaneli,BBP,0.4
Pazaryeri,AKP,43.6
Pazaryeri,CHP,22.1
Pazaryeri,IYI,10.1
Pazaryeri,DEM,2.8
Pazaryeri,MHP,11.7
Pazaryeri,YRP,3.3
Pazaryeri,TIP,0.3
Pazaryeri,ZAFER,2
Pazaryeri,BBP,0.7
Sogut,AKP,35.5
Sogut,CHP,16.7
Sogut,IYI,21.7
Sogut,DEM,1.5
Sogut,MHP,8.3
Sogut,YRP,9.8
Sogut,TIP,0.4
Sogut,ZAFER,2.1
Sogut,BBP,0.9
Yenipazar,AKP,41.3
Yenipazar,CHP,25.5
Yenipazar,IYI,5.9
Yenipazar,DEM,0.1
Yenipazar,MHP,22.4
Yenipazar,YRP,1
Yenipazar,TIP,0.1
Yenipazar,ZAFER,0.9
Yenipazar,BBP,0.3
