district,party,base_vote_pct
Adakli,AKP,18.6
Adakli,CHP,22.3
Adakli,IYI,0.0
Adakli,DEM,7.5
Adakli,MHP,41.3
Adakli,YRP,8.4
Adakli,TIP,0.0
Adakli,ZAFER,0.0
Adakli,BBP,0.0
Adakli,SAADET,0.5
Genc,AKP,33.9
Genc,CHP,1.1
Genc,IYI,0.0
Genc,DEM,8.7
Genc,MHP,0.0
Genc,YRP,35.7
Genc,TIP,0.0
Genc,ZAFER,0.0
Genc,BBP,0.4
Genc,SAADET,0.9
Karliova,AKP,31.8
Karliova,CHP,0.0
Karliova,IYI,0.0
Karliova,DEM,20.0
Karliova,MHP,0.0
Karliova,YRP,16.6
Karliova,TIP,0.0
Karliova,ZAFER,0.0
Karliova,BBP,0.0
Karliova,SAADET,0.4
Kigi,AKP,45.8
Kigi,CHP,44.5
Kigi,IYI,0.0
Kigi,DEM,4.0
Kigi,MHP,0.0
Kigi,YRP,0.0
Kigi,TIP,0.0
Kigi,ZAFER,0.0
Kigi,BBP,0.0
Kigi,SAADET,2.3
Merkez,AKP,31.5
Merkez,CHP,3.0
Merkez,IYI,0.0
Merkez,DEM,26.3
Merkez,MHP,0.0
Merkez,YRP,19.8
Merkez,TIP,0.0
Merkez,ZAFER,0.9
Merkez,BBP,0.7
Merkez,SAADET,1.7
Solhan,AKP,37.9
Solhan,CHP,2.5
Solhan,IYI,0.0
Solhan,DEM,6.9
Solhan,MHP,0.0
Solhan,YRP,9.7
Solhan,TIP,0.0
Solhan,ZAFER,0.0
Solhan,BBP,0.4
Solhan,SAADET,0.5
Yayladere,AKP,42.7
Yayladere,CHP,38.5
Yayladere,IYI,0.0
Yayladere,DEM,13.3
Yayladere,MHP,0.0
Yayladere,YRP,2.8
Yayladere,TIP,0.0
Yayladere,ZAFER,0.0
Yayladere,BBP,0.0
Yayladere,SAADET,0.4
Yedisu,AKP,0.0
Yedisu,CHP,25.6
Yedisu,IYI,20.9
Yedisu,DEM,5.4
Yedisu,MHP,23.9
Yedisu,YRP,7.8
Yedisu,TIP,0.0
Yedisu,ZAFER,0.0
Yedisu,BBP,14.5
Yedisu,SAADET,0.6
