district,party,base_vote_pct
Adilcevaz,CHP,0
Adilcevaz,IYI,10.76
Adilcevaz,AKP,33.91
Adilcevaz,MHP,6.36
Adilcevaz,YRP,1.94
Adilcevaz,BBP,0.43
Adilcevaz,DEM,43.57
Adilcevaz,TIP,0
Adilcevaz,ZAFER,0
Ahlat,CHP,0
Ahlat,IYI,7.05
Ahlat,AKP,37.80
Ahlat,MHP,5.12
Ahlat,YRP,1.32
Ahlat,BBP,0.38
Ahlat,DEM,46.13
Ahlat,TIP,0
Ahlat,ZAFER,0
Guroymak,CHP,0
Guroymak,IYI,8.70
Guroymak,AKP,33.74
Guroymak,MHP,1.90
Guroymak,YRP,1.57
Guroymak,BBP,0.22
Guroymak,DEM,50.94
Guroymak,TIP,0
Guroymak,ZAFER,0
Hizan,CHP,0
Hizan,IYI,34.66
Hizan,AKP,34.19
Hizan,MHP,0.99
Hizan,YRP,1.66
Hizan,BBP,0.30
Hizan,DEM,25.16
Hizan,TIP,0
Hizan,ZAFER,0
Merkez,CHP,0
Merkez,IYI,15.90
Merkez,AKP,38.89
Merkez,MHP,3.05
Merkez,YRP,2.70
Merkez,BBP,0.37
Merkez,DEM,35.81
Merkez,TIP,0
Merkez,ZAFER,0
Mutki,CHP,0
Mutki,IYI,6.79
Mutki,AKP,65.15
Mutki,MHP,5.92
Mutki,YRP,3.49
Mutki,BBP,0.46
Mutki,DEM,15.52
Mutki,TIP,0
Mutki,ZAFER,0
Tatvan,CHP,0
Tatvan,IYI,11.73
Tatvan,AKP,31.38
Tatvan,MHP,3.48
Tatvan,YRP,2.08
Tatvan,BBP,0.26
Tatvan,DEM,48.48
Tatvan,TIP,0
Tatvan,ZAFER,0
