district,party,base_vote_pct
Dortdivan,AKP,46.8
Dortdivan,CHP,4.5
Dortdivan,IYI,6.7
Dortdivan,DEM,0.1
Dortdivan,MHP,36.7
Dortdivan,YRP,2.2
Dortdivan,TIP,0.1
Dortdivan,ZAFER,0.8
Dortdivan,BBP,0.5
Gerede,AKP,45.3
Gerede,CHP,6.4
Gerede,IYI,3.0
Gerede,DEM,0.3
Gerede,MHP,35.7
Gerede,YRP,5.3
Gerede,TIP,0.1
Gerede,ZAFER,1.0
Gerede,BBP,1.4
Goynuk,AKP,52.7
Goynuk,CHP,11.6
Goynuk,IYI,5.9
Goynuk,DEM,0.2
Goynuk,MHP,19.7
Goynuk,YRP,2.8
Goynuk,TIP,0.2
Goynuk,ZAFER,1.3
Goynuk,BBP,2.2
Kibriscik,AKP,35.0
Kibriscik,CHP,39.8
Kibriscik,IYI,6.0
Kibriscik,DEM,0.4
Kibriscik,MHP,12.8
Kibriscik,YRP,0.7
Kibriscik,TIP,0.8
Kibriscik,ZAFER,1.3
Kibriscik,BBP,0.3
Mengen,AKP,41.6
Mengen,CHP,27.5
Mengen,IYI,7.7
Mengen,DEM,0.2
Mengen,MHP,13.7
Mengen,YRP,2.6
Mengen,TIP,0.5
Mengen,ZAFER,1.5
Mengen,BBP,0.8
Merkez,AKP,32.2
Merkez,CHP,26.0
Merkez,IYI,8.5
Merkez,DEM,1.1
Merkez,MHP,22.7
Merkez,YRP,3.2
Merkez,TIP,0.7
Merkez,ZAFER,2.3
Merkez,BBP,0.5
Mudurnu,AKP,43.4
Mudurnu,CHP,18.3
Mudurnu,IYI,8.8
Mudurnu,DEM,0.4
Mudurnu,MHP,19.4
Mudurnu,YRP,2.7
Mudurnu,TIP,0.3
Mudurnu,ZAFER,1.7
Mudurnu,BBP,0.9
Seben,AKP,41.0
Seben,CHP,22.4
Seben,IYI,10.5
Seben,DEM,0.4
Seben,MHP,19.6
Seben,YRP,1.2
Seben,TIP,0.2
Seben,ZAFER,1.4
Seben,BBP,0.6
Yenicaga,AKP,50.4
Yenicaga,CHP,10.5
Yenicaga,IYI,4.0
Yenicaga,DEM,0.1
Yenicaga,MHP,24.5
Yenicaga,YRP,4.1
Yenicaga,TIP,0.2
Yenicaga,ZAFER,1.2
Yenicaga,BBP,2.8
