district,party,base_vote_pct
Aglasun,AKP,61.8
Aglasun,CHP,6.6
Aglasun,IYI,0.0
Aglasun,DEM,0.0
Aglasun,MHP,30.1
Aglasun,YRP,0.0
Aglasun,TIP,0.0
Aglasun,ZAFER,0.6
Aglasun,BBP,0.0
Aglasun,SAADET,0.2
Altinyayla,AKP,33.0
Altinyayla,CHP,0.0
Altinyayla,IYI,0.0
Altinyayla,DEM,0.0
Altinyayla,MHP,63.5
Altinyayla,YRP,0.0
Altinyayla,TIP,0.0
Altinyayla,ZAFER,0.3
Altinyayla,BBP,0.0
Altinyayla,SAADET,2.3
Bucak,AKP,32.9
Bucak,CHP,37.1
Bucak,IYI,2.7
Bucak,DEM,0.0
Bucak,MHP,21.8
Bucak,YRP,2.2
Bucak,TIP,0.0
Bucak,ZAFER,1.0
Bucak,BBP,0.0
Bucak,SAADET,1.0
Cavdir,AKP,8.0
Cavdir,CHP,53.1
Cavdir,IYI,0.0
Cavdir,DEM,0.0
Cavdir,MHP,37.4
Cavdir,YRP,0.0
Cavdir,TIP,0.0
Cavdir,ZAFER,0.6
Cavdir,BBP,0.0
Cavdir,SAADET,0.3
Celtikci,AKP,16.1
Celtikci,CHP,10.4
Celtikci,IYI,13.1
Celtikci,DEM,0.0
Celtikci,MHP,39.0
Celtikci,YRP,19.3
Celtikci,TIP,0.0
Celtikci,ZAFER,0.4
Celtikci,BBP,0.0
Celtikci,SAADET,1.3
Golhisar,AKP,42.4
Golhisar,CHP,11.7
Golhisar,IYI,5.6
Golhisar,DEM,0.0
Golhisar,MHP,38.0
Golhisar,YRP,0.0
Golhisar,TIP,0.0
Golhisar,ZAFER,1.0
Golhisar,BBP,0.0
Golhisar,SAADET,0.8
Karamanli,AKP,33.9
Karamanli,CHP,31.6
Karamanli,IYI,18.8
Karamanli,DEM,0.0
Karamanli,MHP,14.3
Karamanli,YRP,0.0
Karamanli,TIP,0.0
Karamanli,ZAFER,0.7
Karamanli,BBP,0.0
Karamanli,SAADET,0.4
Kemer,AKP,59.1
Kemer,CHP,0.0
Kemer,IYI,0.0
Kemer,DEM,0.0
Kemer,MHP,34.2
Kemer,YRP,0.0
Kemer,TIP,0.0
Kemer,ZAFER,1.7
Kemer,BBP,0.0
Kemer,SAADET,4.4
Merkez,AKP,40.5
Merkez,CHP,44.9
Merkez,IYI,4.8
Merkez,DEM,0.0
Merkez,MHP,0.0
Merkez,YRP,2.2
Merkez,TIP,0.0
Merkez,ZAFER,3.4
Merkez,BBP,1.1
Merkez,SAADET,1.6
Tefenni,AKP,31.2
Tefenni,CHP,0.0
Tefenni,IYI,24.0
Tefenni,DEM,0.0
Tefenni,MHP,43.3
Tefenni,YRP,0.0
Tefenni,TIP,0.0
Tefenni,ZAFER,0.8
Tefenni,BBP,0.0
Tefenni,SAADET,0.1
Yesilova,AKP,33.9
Yesilova,CHP,58.6
Yesilova,IYI,1.9
Yesilova,DEM,0.0
Yesilova,MHP,3.1
Yesilova,YRP,0.0
Yesilova,TIP,0.0
Yesilova,ZAFER,0.7
Yesilova,BBP,0.0
Yesilova,SAADET,0.8
