district,party,base_vote_pct
Buyukorhan,AKP,58.01
Buyukorhan,CHP,12.50
Buyukorhan,IYI,3.70
Buyukorhan,DEM,0
Buyukorhan,MHP,0
Buyukorhan,YRP,21.02
Buyukorhan,TIP,0.07
Buyukorhan,ZAFER,1.10
Buyukorhan,BBP,0.55
Buyukorhan,SAADET,1.65
Gemlik,AKP,35.91
Gemlik,CHP,47.59
Gemlik,IYI,2.45
Gemlik,DEM,1.86
Gemlik,MHP,0
Gemlik,YRP,4.71
Gemlik,TIP,0.17
Gemlik,ZAFER,2.75
Gemlik,BBP,0
Gemlik,SAADET,2.15
Gursu,AKP,44.57
Gursu,CHP,25.41
Gursu,IYI,3.25
Gursu,DEM,1.65
Gursu,MHP,0
Gursu,YRP,8.29
Gursu,TIP,0.08
Gursu,ZAFER,8.97
Gursu,BBP,0.63
Gursu,SAADET,3.48
Harmancik,AKP,42.41
Harmancik,CHP,41.84
Harmancik,IYI,1.43
Harmancik,DEM,0
Harmancik,MHP,0
Harmancik,YRP,10.37
Harmancik,TIP,0.04
Harmancik,ZAFER,0.61
Harmancik,BBP,0.72
Harmancik,SAADET,1.10
Inegol,AKP,44.54
Inegol,CHP,15.18
Inegol,IYI,3.42
Inegol,DEM,2.92
Inegol,MHP,0
Inegol,YRP,12.83
Inegol,TIP,0.07
Inegol,ZAFER,3.02
Inegol,BBP,0.29
Inegol,SAADET,15.55
Iznik,AKP,36.24
Iznik,CHP,25.90
Iznik,IYI,16.40
Iznik,DEM,0.37
Iznik,MHP,0
Iznik,YRP,17.63
Iznik,TIP,0.08
Iznik,ZAFER,1.21
Iznik,BBP,0.61
Iznik,SAADET,0
Karacabey,AKP,31.14
Karacabey,CHP,25.68
Karacabey,IYI,28.45
Karacabey,DEM,2.07
Karacabey,MHP,0
Karacabey,YRP,4.63
Karacabey,TIP,0.06
Karacabey,ZAFER,2.69
Karacabey,BBP,0.20
Karacabey,SAADET,2.26
Keles,AKP,46.81
Keles,CHP,10.23
Keles,IYI,29.31
Keles,DEM,0
Keles,MHP,0
Keles,YRP,2.95
Keles,TIP,0.03
Keles,ZAFER,2.17
Keles,BBP,0.24
Keles,SAADET,1.22
Kestel,AKP,35.66
Kestel,CHP,25.76
Kestel,IYI,1.99
Kestel,DEM,2.23
Kestel,MHP,0
Kestel,YRP,23.27
Kestel,TIP,0.07
Kestel,ZAFER,2.90
Kestel,BBP,0.34
Kestel,SAADET,1.80
Mudanya,AKP,34.27
Mudanya,CHP,53.62
Mudanya,IYI,3.10
Mudanya,DEM,0.51
Mudanya,MHP,0
Mudanya,YRP,1.73
Mudanya,TIP,0.35
Mudanya,ZAFER,3.34
Mudanya,BBP,0.17
Mudanya,SAADET,0.58
Mustafakemalpasa,AKP,0
Mustafakemalpasa,CHP,46.51
Mustafakemalpasa,IYI,8.64
Mustafakemalpasa,DEM,0.38
Mustafakemalpasa,MHP,32.55
Mustafakemalpasa,YRP,4.49
Mustafakemalpasa,TIP,0.12
Mustafakemalpasa,ZAFER,1.90
Mustafakemalpasa,BBP,0.82
Mustafakemalpasa,SAADET,0.98
Nilufer,AKP,27.34
Nilufer,CHP,56.76
Nilufer,IYI,2.58
Nilufer,DEM,1.10
Nilufer,MHP,0
Nilufer,YRP,3.46
Nilufer,TIP,0.37
Nilufer,ZAFER,5.64
Nilufer,BBP,0
Nilufer,SAADET,0
Orhaneli,AKP,44.52
Orhaneli,CHP,9.44
Orhaneli,IYI,34.3
Orhaneli,DEM,0
Orhaneli,MHP,0
Orhaneli,YRP,4.23
Orhaneli,TIP,0.05
Orhaneli,ZAFER,1.14
Orhaneli,BBP,3.66
Orhaneli,SAADET,1.03
Orhangazi,AKP,35.95
Orhangazi,CHP,32.86
Orhangazi,IYI,7.31
Orhangazi,DEM,0.86
Orhangazi,MHP,0
Orhangazi,YRP,4.07
Orhangazi,TIP,0.12
Orhangazi,ZAFER,1.86
Orhangazi,BBP,0.27
Orhangazi,SAADET,0
Osmangazi,AKP,37.83
Osmangazi,CHP,43.18
Osmangazi,IYI,2.42
Osmangazi,DEM,1.89
Osmangazi,MHP,0
Osmangazi,YRP,6.26
Osmangazi,TIP,0.11
Osmangazi,ZAFER,4.28
Osmangazi,BBP,0.42
Osmangazi,SAADET,1.31
Yenisehir,AKP,0
Yenisehir,CHP,24.10
Yenisehir,IYI,29.43
Yenisehir,DEM,3.36
Yenisehir,MHP,28.94
Yenisehir,YRP,7.72
Yenisehir,TIP,0.11
Yenisehir,ZAFER,1.57
Yenisehir,BBP,0.23
Yenisehir,SAADET,1.84
Yildirim,AKP,42.89
Yildirim,CHP,33.80
Yildirim,IYI,2.42
Yildirim,DEM,4.46
Yildirim,MHP,0
Yildirim,YRP,7.38
Yildirim,TIP,0.09
Yildirim,ZAFER,4.52
Yildirim,BBP,0
Yildirim,SAADET,1.39
