district,party,base_vote_pct
Merkez,AKP,22.41
Merkez,CHP,42.21
Merkez,IYI,21.03
Merkez,DEM,2.61
Merkez,MHP,3.86
Merkez,YRP,0.69
Merkez,TIP,1.96
Merkez,ZAFER,2.33
Merkez,BBP,0.37
Ayvacik,AKP,32.11
Ayvacik,CHP,38.55
Ayvacik,IYI,11.17
Ayvacik,DEM,1.94
Ayvacik,MHP,8.82
Ayvacik,YRP,1.00
Ayvacik,TIP,1.39
Ayvacik,ZAFER,1.63
Ayvacik,BBP,0.30
Bayramic,AKP,34.41
Bayramic,CHP,36.86
Bayramic,IYI,15.74
Bayramic,DEM,0.83
Bayramic,MHP,5.12
Bayramic,YRP,0.91
Bayramic,TIP,0.81
Bayramic,ZAFER,1.68
Bayramic,BBP,0.62
Biga,AKP,39.44
Biga,CHP,27.42
Biga,IYI,12.89
Biga,DEM,1.37
Biga,MHP,11.07
Biga,YRP,1.38
Biga,TIP,0.60
Biga,ZAFER,2.18
Biga,BBP,0.58
Bozcaada,AKP,17.58
Bozcaada,CHP,50.94
Bozcaada,IYI,16.00
Bozcaada,DEM,1.71
Bozcaada,MHP,2.47
Bozcaada,YRP,0.68
Bozcaada,TIP,6.06
Bozcaada,ZAFER,1.79
Bozcaada,BBP,0.26
Can,AKP,39.30
Can,CHP,27.75
Can,IYI,28.74
Can,DEM,0.40
Can,MHP,7.16
Can,YRP,1.10
Can,TIP,0.47
Can,ZAFER,1.82
Can,BBP,0.38
Eceabat,AKP,19.07
Eceabat,CHP,50.25
Eceabat,IYI,19.21
Eceabat,DEM,1.75
Eceabat,MHP,3.03
Eceabat,YRP,1.13
Eceabat,TIP,1.10
Eceabat,ZAFER,1.19
Eceabat,BBP,0.27
Ezine,AKP,34.65
Ezine,CHP,36.65
Ezine,IYI,14.36
Ezine,DEM,1.71
Ezine,MHP,6.27
Ezine,YRP,0.81
Ezine,TIP,0.74
Ezine,ZAFER,1.44
Ezine,BBP,0.41
Gelibolu,AKP,27.01
Gelibolu,CHP,43.09
Gelibolu,IYI,15.42
Gelibolu,DEM,2.35
Gelibolu,MHP,5.00
Gelibolu,YRP,0.69
Gelibolu,TIP,1.27
Gelibolu,ZAFER,1.86
Gelibolu,BBP,0.35
Gokceada,AKP,26.95
Gokceada,CHP,33.96
Gokceada,IYI,9.81
Gokceada,DEM,10.29
Gokceada,MHP,7.66
Gokceada,YRP,1.20
Gokceada,TIP,3.32
Gokceada,ZAFER,3.27
Gokceada,BBP,0.48
Lapseki,AKP,38.90
Lapseki,CHP,26.55
Lapseki,IYI,16.64
Lapseki,DEM,1.90
Lapseki,MHP,7.71
Lapseki,YRP,1.38
Lapseki,TIP,0.62
Lapseki,ZAFER,2.46
Lapseki,BBP,0.59
Yenice,AKP,49.82
Yenice,CHP,22.07
Yenice,IYI,12.77
Yenice,DEM,0.32
Yenice,MHP,7.83
Yenice,YRP,1.33
Yenice,TIP,0.28
Yenice,ZAFER,1.20
Yenice,BBP,0.56
