district,party,base_vote_pct
Atkaracalar,AKP,47.0
Atkaracalar,CHP,0.0
Atkaracalar,IYI,22.1
Atkaracalar,DEM,0.0
Atkaracalar,MHP,13.5
Atkaracalar,YRP,1.1
Atkaracalar,TIP,0.0
Atkaracalar,ZAFER,0.0
Atkaracalar,BBP,0.0
Atkaracalar,SAADET,2.8
Bayramoren,AKP,58.8
Bayramoren,CHP,8.9
Bayramoren,IYI,8.0
Bayramoren,DEM,0.0
Bayramoren,MHP,22.3
Bayramoren,YRP,0.0
Bayramoren,TIP,0.0
Bayramoren,ZAFER,0.0
Bayramoren,BBP,0.0
Bayramoren,SAADET,0.3
Cerkes,AKP,44.3
Cerkes,CHP,21.0
Cerkes,IYI,0.0
Cerkes,DEM,0.0
Cerkes,MHP,28.9
Cerkes,YRP,4.0
Cerkes,TIP,0.0
Cerkes,ZAFER,0.0
Cerkes,BBP,0.0
Cerkes,SAADET,0.7
Eldivan,AKP,34.5
Eldivan,CHP,0.0
Eldivan,IYI,26.6
Eldivan,DEM,0.0
Eldivan,MHP,36.1
Eldivan,YRP,0.5
Eldivan,TIP,0.0
Eldivan,ZAFER,1.3
Eldivan,BBP,0.0
Eldivan,SAADET,0.7
Ilgaz,AKP,46.4
Ilgaz,CHP,9.7
Ilgaz,IYI,0.0
Ilgaz,DEM,0.0
Ilgaz,MHP,40.2
Ilgaz,YRP,0.0
Ilgaz,TIP,0.0
Ilgaz,ZAFER,0.0
Ilgaz,BBP,0.0
Ilgaz,SAADET,2.0
Kizilirmak,AKP,35.8
Kizilirmak,CHP,3.7
Kizilirmak,IYI,0.0
Kizilirmak,DEM,0.0
Kizilirmak,MHP,53.3
Kizilirmak,YRP,5.6
Kizilirmak,TIP,0.0
Kizilirmak,ZAFER,0.0
Kizilirmak,BBP,0.0
Kizilirmak,SAADET,0.0
Korgun,AKP,33.4
Korgun,CHP,4.9
Korgun,IYI,0.0
Korgun,DEM,0.0
Korgun,MHP,55.6
Korgun,YRP,5.8
Korgun,TIP,0.0
Korgun,ZAFER,0.0
Korgun,BBP,0.0
Korgun,SAADET,0.0
Kursunlu,AKP,38.2
Kursunlu,CHP,6.7
Kursunlu,IYI,0.0
Kursunlu,DEM,0.0
Kursunlu,MHP,53.3
Kursunlu,YRP,1.4
Kursunlu,TIP,0.0
Kursunlu,ZAFER,0.0
Kursunlu,BBP,0.0
Kursunlu,SAADET,0.0
Merkez,AKP,30.9
Merkez,CHP,5.5
Merkez,IYI,3.4
Merkez,DEM,0.0
Merkez,MHP,54.4
Merkez,YRP,3.5
Merkez,TIP,0.0
Merkez,ZAFER,0.0
Merkez,BBP,0.0
Merkez,SAADET,0.7
Orta,AKP,43.3
Orta,CHP,0.0
Orta,IYI,0.0
Orta,DEM,0.0
Orta,MHP,55.1
Orta,YRP,0.0
Orta,TIP,0.0
Orta,ZAFER,0.0
Orta,BBP,0.0
Orta,SAADET,1.1
Sabanozu,AKP,42.6
Sabanozu,CHP,14.4
Sabanozu,IYI,1.3
Sabanozu,DEM,0.0
Sabanozu,MHP,37.6
Sabanozu,YRP,1.6
Sabanozu,TIP,0.0
Sabanozu,ZAFER,0.0
Sabanozu,BBP,0.0
Sabanozu,SAADET,2.1
Yaprakli,AKP,34.3
Yaprakli,CHP,8.2
Yaprakli,IYI,0.0
Yaprakli,DEM,0.0
Yaprakli,MHP,48.4
Yaprakli,YRP,0.0
Yaprakli,TIP,0.0
Yaprakli,ZAFER,0.0
Yaprakli,BBP,0.0
Yaprakli,SAADET,0.0
