district,party,base_vote_pct
Merkez,AKP,38.95
Merkez,CHP,35.97
Merkez,IYI,2.44
Merkez,DEM,0.2
Merkez,MHP,0
Merkez,YRP,15.51
Merkez,TIP,0
Merkez,ZAFER,2.64
Merkez,BBP,1.22
Merkez,SAADET,1.90
Alaca,AKP,34.57
Alaca,CHP,6.82
Alaca,IYI,1.78
Alaca,DEM,0
Alaca,MHP,48.88
Alaca,YRP,5.02
Alaca,TIP,0
Alaca,ZAFER,0.95
Alaca,BBP,0
Alaca,SAADET,0.8
Bayat,AKP,33.09
Bayat,CHP,14.43
Bayat,IYI,0
Bayat,DEM,0
Bayat,MHP,36.65
Bayat,YRP,13.02
Bayat,TIP,0
Bayat,ZAFER,0
Bayat,BBP,0
Bayat,SAADET,0.71
Bogazkale,AKP,58.83
Bogazkale,CHP,0
Bogazkale,IYI,0
Bogazkale,DEM,0
Bogazkale,MHP,31.05
Bogazkale,YRP,0
Bogazkale,TIP,0
Bogazkale,ZAFER,0.26
Bogazkale,BBP,5.47
Bogazkale,SAADET,3.65
Dodurga,AKP,37.35
Dodurga,CHP,14.68
Dodurga,IYI,0
Dodurga,DEM,0
Dodurga,MHP,42.23
Dodurga,YRP,4.76
Dodurga,TIP,0
Dodurga,ZAFER,0
Dodurga,BBP,0
Dodurga,SAADET,0
Kargi,AKP,33.43
Kargi,CHP,49.92
Kargi,IYI,2.39
Kargi,DEM,0
Kargi,MHP,13.40
Kargi,YRP,0
Kargi,TIP,0
Kargi,ZAFER,0
Kargi,BBP,0
Kargi,SAADET,0
Mecitozu,AKP,28.34
Mecitozu,CHP,45.52
Mecitozu,IYI,2.00
Mecitozu,DEM,0
Mecitozu,MHP,22.94
Mecitozu,YRP,0
Mecitozu,TIP,0
Mecitozu,ZAFER,0
Mecitozu,BBP,0
Mecitozu,SAADET,0
Osmancik,AKP,31.04
Osmancik,CHP,13.81
Osmancik,IYI,2.94
Osmancik,DEM,0
Osmancik,MHP,43.38
Osmancik,YRP,3.89
Osmancik,TIP,0
Osmancik,ZAFER,1.66
Osmancik,BBP,0
Osmancik,SAADET,1.7
Sungurlu,AKP,21.73
Sungurlu,CHP,6.46
Sungurlu,IYI,19.77
Sungurlu,DEM,0
Sungurlu,MHP,46.91
Sungurlu,YRP,2.55
Sungurlu,TIP,0
Sungurlu,ZAFER,0.91
Sungurlu,BBP,0
Sungurlu,SAADET,0.45
Ugurludag,AKP,48.55
Ugurludag,CHP,0
Ugurludag,IYI,0
Ugurludag,DEM,0
Ugurludag,MHP,44.64
Ugurludag,YRP,0
Ugurludag,TIP,0
Ugurludag,ZAFER,1.04
Ugurludag,BBP,0
Ugurludag,SAADET,0
Iskilip,AKP,37.71
Iskilip,CHP,10.23
Iskilip,IYI,4.17
Iskilip,DEM,0
Iskilip,MHP,30.11
Iskilip,YRP,4.74
Iskilip,TIP,0
Iskilip,ZAFER,0.54
Iskilip,BBP,9.73
Iskilip,SAADET,0.22
Lacin,AKP,43.34
Lacin,CHP,0
Lacin,IYI,0
Lacin,DEM,0
Lacin,MHP,48.59
Lacin,YRP,2.81
Lacin,TIP,0
Lacin,ZAFER,0
Lacin,BBP,0
Lacin,SAADET,3.98
Oguzlar,AKP,26.76
Oguzlar,CHP,38.27
Oguzlar,IYI,1.02
Oguzlar,DEM,0
Oguzlar,MHP,7.45
Oguzlar,YRP,1.21
Oguzlar,TIP,0
Oguzlar,ZAFER,0
Oguzlar,BBP,0
Oguzlar,SAADET,0
Ortakoy,AKP,34.57
Ortakoy,CHP,23.80
Ortakoy,IYI,1.58
Ortakoy,DEM,0
Ortakoy,MHP,39.59
Ortakoy,YRP,0
Ortakoy,TIP,0
Ortakoy,ZAFER,0
Ortakoy,BBP,0
Ortakoy,SAADET,0
