district,party,base_vote_pct
Acipayam,AKP,41.9
Acipayam,CHP,27.4
Acipayam,IYI,12.1
Acipayam,DEM,0.2
Acipayam,MHP,9.5
Acipayam,YRP,2.2
Acipayam,TIP,0.8
Acipayam,ZAFER,2.0
Acipayam,BBP,1.6
Babadag,AKP,40.5
Babadag,CHP,30.9
Babadag,IYI,11.3
Babadag,DEM,0.2
Babadag,MHP,9.9
Babadag,YRP,1.2
Babadag,TIP,0.2
Babadag,ZAFER,2.2
Babadag,BBP,0.7
Baklan,AKP,34.6
Baklan,CHP,29.8
Baklan,IYI,18.1
Baklan,DEM,0.2
Baklan,MHP,11.1
Baklan,YRP,1.2
Baklan,TIP,0.3
Baklan,ZAFER,1.6
Baklan,BBP,0.7
Bekilli,AKP,30.2
Bekilli,CHP,45.3
Bekilli,IYI,11.8
Bekilli,DEM,0.4
Bekilli,MHP,6.1
Bekilli,YRP,0.9
Bekilli,TIP,0.7
Bekilli,ZAFER,1.6
Bekilli,BBP,0.6
Beyagac,AKP,37.7
Beyagac,CHP,24.1
Beyagac,IYI,20.5
Beyagac,DEM,0.1
Beyagac,MHP,12.6
Beyagac,YRP,1.0
Beyagac,TIP,0.5
Beyagac,ZAFER,1.2
Beyagac,BBP,0.4
Bozkurt,AKP,34.1
Bozkurt,CHP,36.7
Bozkurt,IYI,13.6
Bozkurt,DEM,0.7
Bozkurt,MHP,8.1
Bozkurt,YRP,0.9
Bozkurt,TIP,0.8
Bozkurt,ZAFER,2.1
Bozkurt,BBP,0.6
Buldan,AKP,32.4
Buldan,CHP,32.2
Buldan,IYI,17.1
Buldan,DEM,0.5
Buldan,MHP,9.4
Buldan,YRP,0.8
Buldan,TIP,0.7
Buldan,ZAFER,2.6
Buldan,BBP,1.3
Cal,AKP,30.2
Cal,CHP,37.2
Cal,IYI,16.1
Cal,DEM,0.2
Cal,MHP,10.1
Cal,YRP,1.1
Cal,TIP,0.5
Cal,ZAFER,1.6
Cal,BBP,0.9
Cameli,AKP,54.0
Cameli,CHP,19.4
Cameli,IYI,8.6
Cameli,DEM,0.2
Cameli,MHP,10.7
Cameli,YRP,1.2
Cameli,TIP,0.5
Cameli,ZAFER,1.5
Cameli,BBP,0.7
Cardak,AKP,33.8
Cardak,CHP,36.4
Cardak,IYI,14.9
Cardak,DEM,0.3
Cardak,MHP,6.7
Cardak,YRP,1.4
Cardak,TIP,0.5
Cardak,ZAFER,2.4
Cardak,BBP,1.4
Civril,AKP,32.7
Civril,CHP,31.3
Civril,IYI,15.9
Civril,DEM,1.0
Civril,MHP,12.2
Civril,YRP,1.1
Civril,TIP,0.4
Civril,ZAFER,1.7
Civril,BBP,1.6
Guney,AKP,32.8
Guney,CHP,38.9
Guney,IYI,12.9
Guney,DEM,0.2
Guney,MHP,10.1
Guney,YRP,0.6
Guney,TIP,0.6
Guney,ZAFER,1.1
Guney,BBP,0.5
Honaz,AKP,32.9
Honaz,CHP,31.6
Honaz,IYI,14.2
Honaz,DEM,2.6
Honaz,MHP,6.8
Honaz,YRP,1.3
Honaz,TIP,0.7
Honaz,ZAFER,2.6
Honaz,BBP,4.3
Kale,AKP,39.9
Kale,CHP,20.4
Kale,IYI,12.2
Kale,DEM,0.2
Kale,MHP,18.6
Kale,YRP,1.5
Kale,TIP,0.3
Kale,ZAFER,1.7
Kale,BBP,2.8
Merkezefendi,AKP,30.9
Merkezefendi,CHP,34.0
Merkezefendi,IYI,14.8
Merkezefendi,DEM,4.2
Merkezefendi,MHP,7.0
Merkezefendi,YRP,1.4
Merkezefendi,TIP,1.2
Merkezefendi,ZAFER,2.8
Merkezefendi,BBP,1.2
Pamukkale,AKP,33.6
Pamukkale,CHP,32.4
Pamukkale,IYI,14.1
Pamukkale,DEM,1.9
Pamukkale,MHP,7.7
Pamukkale,YRP,1.5
Pamukkale,TIP,1.3
Pamukkale,ZAFER,3.2
Pamukkale,BBP,1.4
Saraykoy,AKP,26.8
Saraykoy,CHP,39.6
Saraykoy,IYI,13.8
Saraykoy,DEM,6.7
Saraykoy,MHP,6.3
Saraykoy,YRP,0.8
Saraykoy,TIP,0.9
Saraykoy,ZAFER,2.1
Saraykoy,BBP,0.5
Serinhisar,AKP,33.5
Serinhisar,CHP,26.8
Serinhisar,IYI,12.9
Serinhisar,DEM,0.2
Serinhisar,MHP,12.8
Serinhisar,YRP,1.1
Serinhisar,TIP,0.8
Serinhisar,ZAFER,1.6
Serinhisar,BBP,8.7
Tavas,AKP,40.7
Tavas,CHP,25.6
Tavas,IYI,16.8
Tavas,DEM,0.4
Tavas,MHP,10.4
Tavas,YRP,0.9
Tavas,TIP,0.4
Tavas,ZAFER,1.7
Tavas,BBP,1.1
