district,party,base_vote_pct
Baglar,AKP,11.80
Baglar,CHP,3.80
Baglar,IYI,0.59
Baglar,DEM,70.79
Baglar,MHP,0
Baglar,YRP,3.03
Baglar,TIP,0
Baglar,ZAFER,0
Baglar,BBP,0.11
Baglar,SAADET,0.52
Bismil,AKP,15.30
Bismil,CHP,2.32
Bismil,IYI,0
Bismil,DEM,68.06
Bismil,MHP,0
Bismil,YRP,1.51
Bismil,TIP,0
Bismil,ZAFER,0
Bismil,BBP,0.37
Bismil,SAADET,0.38
Cermik,AKP,26.01
Cermik,CHP,20.57
Cermik,IYI,0
Cermik,DEM,24.40
Cermik,MHP,0
Cermik,YRP,19.4
Cermik,TIP,0
Cermik,ZAFER,0
Cermik,BBP,0.21
Cermik,SAADET,0.59
Cinar,AKP,26.06
Cinar,CHP,0
Cinar,IYI,0.61
Cinar,DEM,50.92
Cinar,MHP,0
Cinar,YRP,1.45
Cinar,TIP,0
Cinar,ZAFER,0
Cinar,BBP,0.12
Cinar,SAADET,0.98
Cungus,AKP,42.38
Cungus,CHP,5.41
Cungus,IYI,0
Cungus,DEM,7.68
Cungus,MHP,0.22
Cungus,YRP,39.68
Cungus,TIP,0
Cungus,ZAFER,0
Cungus,BBP,0.13
Cungus,SAADET,0.69
Dicle,AKP,24.71
Dicle,CHP,1.49
Dicle,IYI,0.55
Dicle,DEM,48.75
Dicle,MHP,0
Dicle,YRP,11.29
Dicle,TIP,0
Dicle,ZAFER,0
Dicle,BBP,0.21
Dicle,SAADET,0.71
Egil,AKP,35.00
Egil,CHP,1.67
Egil,IYI,0.86
Egil,DEM,36.23
Egil,MHP,0
Egil,YRP,7.21
Egil,TIP,0
Egil,ZAFER,0
Egil,BBP,0.30
Egil,SAADET,11.37
Ergani,AKP,17.88
Ergani,CHP,4.24
Ergani,IYI,0.58
Ergani,DEM,56.09
Ergani,MHP,0
Ergani,YRP,4.77
Ergani,TIP,0
Ergani,ZAFER,0
Ergani,BBP,0.17
Ergani,SAADET,0.73
Hani,AKP,29.87
Hani,CHP,2.20
Hani,IYI,0
Hani,DEM,39.68
Hani,MHP,0
Hani,YRP,4.12
Hani,TIP,0
Hani,ZAFER,0
Hani,BBP,0.20
Hani,SAADET,0.38
Hazro,AKP,41.75
Hazro,CHP,0
Hazro,IYI,0
Hazro,DEM,50.00
Hazro,MHP,0
Hazro,YRP,0
Hazro,TIP,0
Hazro,ZAFER,0
Hazro,BBP,1.01
Hazro,SAADET,0.57
Kayapinar,AKP,12.59
Kayapinar,CHP,4.02
Kayapinar,IYI,0.37
Kayapinar,DEM,67.82
Kayapinar,MHP,0
Kayapinar,YRP,3.75
Kayapinar,TIP,0
Kayapinar,ZAFER,0.70
Kayapinar,BBP,0.11
Kayapinar,SAADET,0.80
Kocakoy,AKP,18.92
Kocakoy,CHP,1.65
Kocakoy,IYI,0
Kocakoy,DEM,72.52
Kocakoy,MHP,0
Kocakoy,YRP,3.19
Kocakoy,TIP,0
Kocakoy,ZAFER,0
Kocakoy,BBP,0.15
Kocakoy,SAADET,0
Kulp,AKP,32.64
Kulp,CHP,2.88
Kulp,IYI,0
Kulp,DEM,55.17
Kulp,MHP,0
Kulp,YRP,4.94
Kulp,TIP,0
Kulp,ZAFER,0
Kulp,BBP,0.45
Kulp,SAADET,0.41
Lice,AKP,10.97
Lice,CHP,0
Lice,IYI,0
Lice,DEM,84.58
Lice,MHP,0
Lice,YRP,0
Lice,TIP,0
Lice,ZAFER,0
Lice,BBP,0.41
Lice,SAADET,0
Silvan,AKP,10.61
Silvan,CHP,1.97
Silvan,IYI,0
Silvan,DEM,73.06
Silvan,MHP,0
Silvan,YRP,1.38
Silvan,TIP,0
Silvan,ZAFER,0
Silvan,BBP,0.17
Silvan,SAADET,1.28
Sur,AKP,18.83
Sur,CHP,2.84
Sur,IYI,0.63
Sur,DEM,63.36
Sur,MHP,0.22
Sur,YRP,2.10
Sur,TIP,0
Sur,ZAFER,0
Sur,BBP,0.11
Sur,SAADET,0.40
Yenisehir,AKP,18.14
Yenisehir,CHP,4.64
Yenisehir,IYI,0
Yenisehir,DEM,62.56
Yenisehir,MHP,0
Yenisehir,YRP,3.25
Yenisehir,TIP,0
Yenisehir,ZAFER,0.92
Yenisehir,BBP,0.19
Yenisehir,SAADET,0.68
