district,party,base_vote_pct
Akcakoca,AKP,43.0
Akcakoca,CHP,30.8
Akcakoca,IYI,0.0
Akcakoca,DEM,1.2
Akcakoca,MHP,14.5
Akcakoca,YRP,3.0
Akcakoca,TIP,0.6
Akcakoca,ZAFER,2.2
Akcakoca,BBP,0.8
Cumayeri,AKP,54.6
Cumayeri,CHP,14.7
Cumayeri,IYI,0.0
Cumayeri,DEM,1.0
Cumayeri,MHP,19.9
Cumayeri,YRP,4.6
Cumayeri,TIP,0.2
Cumayeri,ZAFER,2.0
Cumayeri,BBP,0.5
Cilimli,AKP,57.1
Cilimli,CHP,13.7
Cilimli,IYI,0.0
Cilimli,DEM,0.3
Cilimli,MHP,19.1
Cilimli,YRP,3.8
Cilimli,TIP,0.3
Cilimli,ZAFER,2.0
Cilimli,BBP,0.7
Golyaka,AKP,51.4
Golyaka,CHP,23.7
Golyaka,IYI,0.0
Golyaka,DEM,0.2
Golyaka,MHP,15.3
Golyaka,YRP,3.9
Golyaka,TIP,0.3
Golyaka,ZAFER,1.6
Golyaka,BBP,0.7
Gumusova,AKP,53.5
Gumusova,CHP,18.5
Gumusova,IYI,0.0
Gumusova,DEM,1.3
Gumusova,MHP,16.7
Gumusova,YRP,3.7
Gumusova,TIP,0.3
Gumusova,ZAFER,2.3
Gumusova,BBP,0.6
Kaynasli,AKP,55.4
Kaynasli,CHP,15.5
Kaynasli,IYI,0.0
Kaynasli,DEM,0.1
Kaynasli,MHP,19.5
Kaynasli,YRP,3.9
Kaynasli,TIP,0.3
Kaynasli,ZAFER,2.0
Kaynasli,BBP,0.8
Merkez,AKP,48.3
Merkez,CHP,23.8
Merkez,IYI,0.0
Merkez,DEM,1.1
Merkez,MHP,15.9
Merkez,YRP,4.1
Merkez,TIP,0.5
Merkez,ZAFER,2.3
Merkez,BBP,1.0
Yigilca,AKP,62.9
Yigilca,CHP,11.5
Yigilca,IYI,0.0
Yigilca,DEM,0.2
Yigilca,MHP,16.5
Yigilca,YRP,3.3
Yigilca,TIP,0.1
Yigilca,ZAFER,1.3
Yigilca,BBP,0.8
