district,party,base_vote_pct
Merkez,AKP,22.49
Merkez,CHP,37.49
Merkez,IYI,24.48
Merkez,DEM,2.41
Merkez,MHP,5.86
Merkez,YRP,0.75
Merkez,TIP,1.59
Merkez,ZAFER,1.94
Merkez,BBP,0.21
Enez,AKP,18.46
Enez,CHP,47.20
Enez,IYI,17.36
Enez,DEM,5.57
Enez,MHP,5.11
Enez,YRP,0.57
Enez,TIP,0.84
Enez,ZAFER,1.17
Enez,BBP,0.27
Havsa,AKP,21.00
Havsa,CHP,40.94
Havsa,IYI,21.20
Havsa,DEM,1.85
Havsa,MHP,9.31
Havsa,YRP,0.64
Havsa,TIP,0.59
Havsa,ZAFER,1.32
Havsa,BBP,0.26
Ipsala,AKP,28.80
Ipsala,CHP,40.62
Ipsala,IYI,15.69
Ipsala,DEM,0.53
Ipsala,MHP,8.06
Ipsala,YRP,0.66
Ipsala,TIP,0.40
Ipsala,ZAFER,1.27
Ipsala,BBP,0.31
Kesan,AKP,19.85
Kesan,CHP,45.38
Kesan,IYI,13.39
Kesan,DEM,1.51
Kesan,MHP,14.30
Kesan,YRP,0.65
Kesan,TIP,0.73
Kesan,ZAFER,1.25
Kesan,BBP,0.21
Lalapasa,AKP,36.17
Lalapasa,CHP,32.29
Lalapasa,IYI,15.95
Lalapasa,DEM,0.61
Lalapasa,MHP,7.38
Lalapasa,YRP,0.81
Lalapasa,TIP,0.64
Lalapasa,ZAFER,1.31
Lalapasa,BBP,0.42
Meric,AKP,33.24
Meric,CHP,41.60
Meric,IYI,15.17
Meric,DEM,0.30
Meric,MHP,3.68
Meric,YRP,0.49
Meric,TIP,0.51
Meric,ZAFER,0.69
Meric,BBP,0.31
Suloglu,AKP,29.11
Suloglu,CHP,36.17
Suloglu,IYI,16.57
Suloglu,DEM,0.34
Suloglu,MHP,9.40
Suloglu,YRP,1.24
Suloglu,TIP,0.83
Suloglu,ZAFER,2.14
Suloglu,BBP,0.43
Uzunkopru,AKP,24.26
Uzunkopru,CHP,38.56
Uzunkopru,IYI,27.04
Uzunkopru,DEM,0.77
Uzunkopru,MHP,3.99
Uzunkopru,YRP,0.46
Uzunkopru,TIP,0.58
Uzunkopru,ZAFER,1.00
Uzunkopru,BBP,0.24
