district,party,base_vote_pct
Agin,AKP,35.4
Agin,CHP,27.8
Agin,IYI,7.4
Agin,DEM,0.8
Agin,MHP,16.8
Agin,YRP,3.1
Agin,TIP,0.0
Agin,ZAFER,0.6
Agin,BBP,0.4
Alacakaya,AKP,52.7
Alacakaya,CHP,12.7
Alacakaya,IYI,1.4
Alacakaya,DEM,9.8
Alacakaya,MHP,6.7
Alacakaya,YRP,3.5
Alacakaya,TIP,0.0
Alacakaya,ZAFER,0.7
Alacakaya,BBP,0.3
Aricak,AKP,52.2
Aricak,CHP,8.7
Aricak,IYI,1.3
Aricak,DEM,13.5
Aricak,MHP,4.3
Aricak,YRP,5.3
Aricak,TIP,0.0
Aricak,ZAFER,1.0
Aricak,BBP,0.4
Baskil,AKP,47.6
Baskil,CHP,10.5
Baskil,IYI,1.4
Baskil,DEM,0.9
Baskil,MHP,7.4
Baskil,YRP,6.6
Baskil,TIP,0.0
Baskil,ZAFER,0.5
Baskil,BBP,0.5
Karakocan,AKP,36.3
Karakocan,CHP,10.8
Karakocan,IYI,1.3
Karakocan,DEM,40.2
Karakocan,MHP,2.8
Karakocan,YRP,3.3
Karakocan,TIP,0.0
Karakocan,ZAFER,0.4
Karakocan,BBP,0.2
Keban,AKP,42.1
Keban,CHP,20.6
Keban,IYI,4.5
Keban,DEM,2.0
Keban,MHP,14.8
Keban,YRP,3.5
Keban,TIP,0.0
Keban,ZAFER,0.5
Keban,BBP,0.3
Kovancilar,AKP,55.9
Kovancilar,CHP,7.8
Kovancilar,IYI,1.1
Kovancilar,DEM,11.8
Kovancilar,MHP,10.0
Kovancilar,YRP,4.4
Kovancilar,TIP,0.0
Kovancilar,ZAFER,0.4
Kovancilar,BBP,0.4
Maden,AKP,38.6
Maden,CHP,25.6
Maden,IYI,3.8
Maden,DEM,5.2
Maden,MHP,11.3
Maden,YRP,2.5
Maden,TIP,0.0
Maden,ZAFER,0.6
Maden,BBP,0.3
Merkez,AKP,37.7
Merkez,CHP,23.4
Merkez,IYI,2.5
Merkez,DEM,5.1
Merkez,MHP,12.2
Merkez,YRP,3.5
Merkez,TIP,0.0
Merkez,ZAFER,0.6
Merkez,BBP,0.4
Palu,AKP,58.6
Palu,CHP,6.4
Palu,IYI,1.5
Palu,DEM,3.7
Palu,MHP,13.2
Palu,YRP,6.1
Palu,TIP,0.0
Palu,ZAFER,0.5
Palu,BBP,0.4
Sivrice,AKP,48.9
Sivrice,CHP,17.3
Sivrice,IYI,2.1
Sivrice,DEM,2.2
Sivrice,MHP,16.7
Sivrice,YRP,2.8
Sivrice,TIP,0.0
Sivrice,ZAFER,0.7
Sivrice,BBP,0.5
