district,party,base_vote_pct
Cayirli,AKP,35.8
Cayirli,CHP,41.1
Cayirli,IYI,0.0
Cayirli,DEM,1.1
Cayirli,MHP,18.2
Cayirli,YRP,1.6
Cayirli,TIP,0.1
Cayirli,ZAFER,0.7
Cayirli,BBP,0.3
Ilic,AKP,40.4
Ilic,CHP,30.7
Ilic,IYI,0.0
Ilic,DEM,1.0
Ilic,MHP,22.0
Ilic,YRP,3.3
Ilic,TIP,0.2
Ilic,ZAFER,0.7
Ilic,BBP,0.3
Kemah,AKP,41.0
Kemah,CHP,37.3
Kemah,IYI,0.0
Kemah,DEM,0.7
Kemah,MHP,16.0
Kemah,YRP,1.6
Kemah,TIP,0.1
Kemah,ZAFER,0.7
Kemah,BBP,1.0
Kemaliye,AKP,47.7
Kemaliye,CHP,27.6
Kemaliye,IYI,0.0
Kemaliye,DEM,0.5
Kemaliye,MHP,18.2
Kemaliye,YRP,1.7
Kemaliye,TIP,0.4
Kemaliye,ZAFER,0.9
Kemaliye,BBP,0.7
Merkez,AKP,38.8
Merkez,CHP,37.3
Merkez,IYI,0.0
Merkez,DEM,1.2
Merkez,MHP,18.5
Merkez,YRP,1.3
Merkez,TIP,0.3
Merkez,ZAFER,1.1
Merkez,BBP,0.3
Otlukbeli,AKP,42.3
Otlukbeli,CHP,18.2
Otlukbeli,IYI,0.0
Otlukbeli,DEM,0.1
Otlukbeli,MHP,35.2
Otlukbeli,YRP,1.7
Otlukbeli,TIP,0.3
Otlukbeli,ZAFER,0.1
Otlukbeli,BBP,1.2
Refahiye,AKP,41.7
Refahiye,CHP,30.7
Refahiye,IYI,0.0
Refahiye,DEM,0.2
Refahiye,MHP,22.3
Refahiye,YRP,1.8
Refahiye,TIP,0.1
Refahiye,ZAFER,0.9
Refahiye,BBP,0.5
Tercan,AKP,28.6
Tercan,CHP,37.1
Tercan,IYI,0.0
Tercan,DEM,1.4
Tercan,MHP,29.4
Tercan,YRP,1.3
Tercan,TIP,0.4
Tercan,ZAFER,0.7
Tercan,BBP,0.2
Uzumlu,AKP,37.3
Uzumlu,CHP,34.6
Uzumlu,IYI,0.0
Uzumlu,DEM,0.4
Uzumlu,MHP,24.2
Uzumlu,YRP,1.3
Uzumlu,TIP,0.2
Uzumlu,ZAFER,0.6
Uzumlu,BBP,0.3
