district,party,base_vote_pct
Yakutiye,CHP,6.89
Yakutiye,IYI,11.67
Yakutiye,AKP,47.62
Yakutiye,MHP,18.35
Yakutiye,YRP,6.22
Yakutiye,BBP,1.75
Yakutiye,DEM,2.90
Yakutiye,TIP,0
Yakutiye,ZAFER,3.17
Uzundere,CHP,4.44
Uzundere,IYI,10.41
Uzundere,AKP,54.01
Uzundere,MHP,18.52
Uzundere,YRP,7.35
Uzundere,BBP,1.98
Uzundere,DEM,0.11
Uzundere,TIP,0
Uzundere,ZAFER,1.76
Tortum,CHP,2.95
Tortum,IYI,7.78
Tortum,AKP,56.21
Tortum,MHP,20.84
Tortum,YRP,5.75
Tortum,BBP,3.79
Tortum,DEM,0.12
Tortum,TIP,0
Tortum,ZAFER,1.44
Tekman,CHP,4.87
Tekman,IYI,2.51
Tekman,AKP,21.62
Tekman,MHP,1.73
Tekman,YRP,1.86
Tekman,BBP,0.21
Tekman,DEM,63.95
Tekman,TIP,0
Tekman,ZAFER,0.60
Senkaya,CHP,17.55
Senkaya,IYI,15.68
Senkaya,AKP,37.75
Senkaya,MHP,14.80
Senkaya,YRP,2.06
Senkaya,BBP,1.03
Senkaya,DEM,7.38
Senkaya,TIP,0
Senkaya,ZAFER,1.06
Pazaryolu,CHP,3.24
Pazaryolu,IYI,6.96
Pazaryolu,AKP,63.07
Pazaryolu,MHP,14.30
Pazaryolu,YRP,8.71
Pazaryolu,BBP,1.48
Pazaryolu,DEM,0.20
Pazaryolu,TIP,0
Pazaryolu,ZAFER,0.94
Pasinler,CHP,4.17
Pasinler,IYI,10.50
Pasinler,AKP,46.46
Pasinler,MHP,22.76
Pasinler,YRP,6.05
Pasinler,BBP,2.67
Pasinler,DEM,4.21
Pasinler,TIP,0
Pasinler,ZAFER,1.81
Palandoken,CHP,7.02
Palandoken,IYI,12.63
Palandoken,AKP,43.53
Palandoken,MHP,17.04
Palandoken,YRP,5.55
Palandoken,BBP,1.77
Palandoken,DEM,7.22
Palandoken,TIP,0
Palandoken,ZAFER,3.66
Olur,CHP,5.95
Olur,IYI,11.65
Olur,AKP,48.64
Olur,MHP,26.11
Olur,YRP,3.04
Olur,BBP,1.15
Olur,DEM,0.25
Olur,TIP,0
Olur,ZAFER,1.41
Oltu,CHP,6.15
Oltu,IYI,8.00
Oltu,AKP,39.64
Oltu,MHP,34.09
Oltu,YRP,6.24
Oltu,BBP,0.94
Oltu,DEM,1.30
Oltu,TIP,0
Oltu,ZAFER,2.00
Narman,CHP,5.14
Narman,IYI,10.58
Narman,AKP,52.20
Narman,MHP,21.14
Narman,YRP,3.73
Narman,BBP,3.75
Narman,DEM,0.41
Narman,TIP,0
Narman,ZAFER,1.74
Koprukoy,CHP,3.93
Koprukoy,IYI,6.76
Koprukoy,AKP,51.71
Koprukoy,MHP,14.26
Koprukoy,YRP,5.23
Koprukoy,BBP,0.76
Koprukoy,DEM,14.40
Koprukoy,TIP,0
Koprukoy,ZAFER,0.93
Karayazi,CHP,4.50
Karayazi,IYI,1.94
Karayazi,AKP,19.21
Karayazi,MHP,1.81
Karayazi,YRP,1.17
Karayazi,BBP,0.34
Karayazi,DEM,68.03
Karayazi,TIP,0
Karayazi,ZAFER,0.73
Karacoban,CHP,6.48
Karacoban,IYI,2.59
Karacoban,AKP,17.81
Karacoban,MHP,4.04
Karacoban,YRP,1.68
Karacoban,BBP,0.25
Karacoban,DEM,63.73
Karacoban,TIP,0
Karacoban,ZAFER,0.64
Ispir,CHP,5.67
Ispir,IYI,7.95
Ispir,AKP,56.87
Ispir,MHP,18.46
Ispir,YRP,4.63
Ispir,BBP,2.47
Ispir,DEM,0.26
Ispir,TIP,0
Ispir,ZAFER,1.96
Horasan,CHP,7.27
Horasan,IYI,5.20
Horasan,AKP,57.87
Horasan,MHP,13.15
Horasan,YRP,2.95
Horasan,BBP,1.41
Horasan,DEM,9.35
Horasan,TIP,0
Horasan,ZAFER,1.24
Hinis,CHP,10.88
Hinis,IYI,4.17
Hinis,AKP,30.39
Hinis,MHP,3.58
Hinis,YRP,3.49
Hinis,BBP,0.44
Hinis,DEM,43.29
Hinis,TIP,0
Hinis,ZAFER,0.70
Cat,CHP,9.61
Cat,IYI,5.20
Cat,AKP,44.93
Cat,MHP,14.49
Cat,YRP,4.58
Cat,BBP,1.54
Cat,DEM,16.16
Cat,TIP,0
Cat,ZAFER,0.99
Aziziye,CHP,5.48
Aziziye,IYI,10.58
Aziziye,AKP,48.69
Aziziye,MHP,20.77
Aziziye,YRP,6.08
Aziziye,BBP,2.21
Aziziye,DEM,2.10
Aziziye,TIP,0
Aziziye,ZAFER,2.80
Askale,CHP,5.67
Askale,IYI,10.48
Askale,AKP,45.90
Askale,MHP,22.63
Askale,YRP,5.61
Askale,BBP,6.07
Askale,DEM,1.13
Askale,TIP,0
Askale,ZAFER,1.49
