district,party,base_vote_pct
Gunyuzu,AKP,44.84
Gunyuzu,CHP,14.61
Gunyuzu,IYI,6.70
Gunyuzu,DEM,0.54
Gunyuzu,MHP,6.60
Gunyuzu,YRP,1.54
Gunyuzu,TIP,0.18
Gunyuzu,ZAFER,1.54
Gunyuzu,BBP,21.78
Inonu,AKP,47.86
Inonu,CHP,23.29
Inonu,IYI,10.71
Inonu,DEM,0.84
Inonu,MHP,9.63
Inonu,YRP,2.36
Inonu,TIP,0.44
Inonu,ZAFER,1.93
Inonu,BBP,0.77
Han,AKP,33.31
Han,CHP,36.16
Han,IYI,14.19
Han,DEM,0.13
Han,MHP,9.27
Han,YRP,1.17
Han,TIP,1.30
Han,ZAFER,1.56
Han,BBP,1.23
Sivrihisar,AKP,37.10
Sivrihisar,CHP,20.95
Sivrihisar,IYI,12.31
Sivrihisar,DEM,3.26
Sivrihisar,MHP,17.31
Sivrihisar,YRP,1.91
Sivrihisar,TIP,0.58
Sivrihisar,ZAFER,2.04
Sivrihisar,BBP,2.39
Saricakaya,AKP,54.50
Saricakaya,CHP,17.92
Saricakaya,IYI,10.33
Saricakaya,DEM,1.89
Saricakaya,MHP,8.87
Saricakaya,YRP,1.31
Saricakaya,TIP,0.52
Saricakaya,ZAFER,1.45
Saricakaya,BBP,1.54
Mihaliccik,AKP,41.81
Mihaliccik,CHP,22.58
Mihaliccik,IYI,13.55
Mihaliccik,DEM,0.79
Mihaliccik,MHP,12.99
Mihaliccik,YRP,1.46
Mihaliccik,TIP,0.60
Mihaliccik,ZAFER,1.96
Mihaliccik,BBP,1.53
Mihalgazi,AKP,54.37
Mihalgazi,CHP,22.00
Mihalgazi,IYI,11.49
Mihalgazi,DEM,0.99
Mihalgazi,MHP,6.28
Mihalgazi,YRP,1.12
Mihalgazi,TIP,0.22
Mihalgazi,ZAFER,1.46
Mihalgazi,BBP,0.82
Mahmudiye,AKP,36.29
Mahmudiye,CHP,28.39
Mahmudiye,IYI,12.20
Mahmudiye,DEM,8.32
Mahmudiye,MHP,8.20
Mahmudiye,YRP,1.05
Mahmudiye,TIP,0.74
Mahmudiye,ZAFER,2.07
Mahmudiye,BBP,0.64
Cifteler,AKP,37.30
Cifteler,CHP,24.00
Cifteler,IYI,11.51
Cifteler,DEM,3.02
Cifteler,MHP,16.72
Cifteler,YRP,1.89
Cifteler,TIP,0.47
Cifteler,ZAFER,2.38
Cifteler,BBP,0.85
Seyitgazi,AKP,40.13
Seyitgazi,CHP,32.15
Seyitgazi,IYI,12.30
Seyitgazi,DEM,0.43
Seyitgazi,MHP,9.54
Seyitgazi,YRP,1.05
Seyitgazi,TIP,0.38
Seyitgazi,ZAFER,1.39
Seyitgazi,BBP,1.08
Beylikova,AKP,37.30
Beylikova,CHP,31.07
Beylikova,IYI,13.53
Beylikova,DEM,1.07
Beylikova,MHP,9.46
Beylikova,YRP,1.24
Beylikova,TIP,1.00
Beylikova,ZAFER,2.40
Beylikova,BBP,0.95
Alpu,AKP,47.50
Alpu,CHP,21.94
Alpu,IYI,11.22
Alpu,DEM,0.32
Alpu,MHP,12.23
Alpu,YRP,1.31
Alpu,TIP,0.45
Alpu,ZAFER,1.94
Alpu,BBP,1.21
Tepebasi,AKP,32.11
Tepebasi,CHP,34.57
Tepebasi,IYI,14.91
Tepebasi,DEM,2.13
Tepebasi,MHP,6.31
Tepebasi,YRP,1.43
Tepebasi,TIP,1.91
Tepebasi,ZAFER,3.37
Tepebasi,BBP,0.78
Odunpazari,AKP,31.23
Odunpazari,CHP,36.86
Odunpazari,IYI,14.10
Odunpazari,DEM,1.78
Odunpazari,MHP,6.74
Odunpazari,YRP,1.42
Odunpazari,TIP,1.62
Odunpazari,ZAFER,3.00
Odunpazari,BBP,1.10
