district,party,base_vote_pct
Yavuzeli,AKP,32.81
Yavuzeli,CHP,28.31
Yavuzeli,IYI,1.30
Yavuzeli,DEM,1.04
Yavuzeli,MHP,0
Yavuzeli,YRP,32.20
Yavuzeli,TIP,0.04
Yavuzeli,ZAFER,0.49
Yavuzeli,BBP,0
Yavuzeli,SAADET,0.49
Sehitkamil,AKP,28.42
Sehitkamil,CHP,33.61
Sehitkamil,IYI,1.75
Sehitkamil,DEM,7.11
Sehitkamil,MHP,0
Sehitkamil,YRP,15.85
Sehitkamil,TIP,0.20
Sehitkamil,ZAFER,2.44
Sehitkamil,BBP,2.15
Sehitkamil,SAADET,1.46
Sahinbey,AKP,45.42
Sahinbey,CHP,24.15
Sahinbey,IYI,1.92
Sahinbey,DEM,5.67
Sahinbey,MHP,0
Sahinbey,YRP,12.85
Sahinbey,TIP,0.27
Sahinbey,ZAFER,3.48
Sahinbey,BBP,1.00
Sahinbey,SAADET,1.26
Oguzeli,AKP,0
Oguzeli,CHP,22.86
Oguzeli,IYI,4.75
Oguzeli,DEM,0
Oguzeli,MHP,33.32
Oguzeli,YRP,33.13
Oguzeli,TIP,0.13
Oguzeli,ZAFER,1.20
Oguzeli,BBP,0
Oguzeli,SAADET,1.23
Nurdagi,AKP,46.77
Nurdagi,CHP,5.05
Nurdagi,IYI,1.44
Nurdagi,DEM,0.88
Nurdagi,MHP,0
Nurdagi,YRP,42.11
Nurdagi,TIP,0.04
Nurdagi,ZAFER,0.63
Nurdagi,BBP,0
Nurdagi,SAADET,0.65
Nizip,AKP,33.65
Nizip,CHP,34.81
Nizip,IYI,1.17
Nizip,DEM,3.29
Nizip,MHP,0
Nizip,YRP,21.76
Nizip,TIP,0.08
Nizip,ZAFER,0.78
Nizip,BBP,0.34
Nizip,SAADET,1.05
Karkamis,AKP,0
Karkamis,CHP,37.84
Karkamis,IYI,20.60
Karkamis,DEM,0.25
Karkamis,MHP,37.07
Karkamis,YRP,1.68
Karkamis,TIP,0.12
Karkamis,ZAFER,0.51
Karkamis,BBP,0.26
Karkamis,SAADET,0.25
Islahiye,AKP,35.93
Islahiye,CHP,29.46
Islahiye,IYI,5.15
Islahiye,DEM,1.83
Islahiye,MHP,0
Islahiye,YRP,23.37
Islahiye,TIP,0.16
Islahiye,ZAFER,1.22
Islahiye,BBP,0
Islahiye,SAADET,0
Araban,AKP,0
Araban,CHP,22.33
Araban,IYI,9.85
Araban,DEM,5.53
Araban,MHP,32.38
Araban,YRP,26.01
Araban,TIP,0.15
Araban,ZAFER,0.57
Araban,BBP,0
Araban,SAADET,0.79
