district,party,base_vote_pct
Alucra,AKP,30.6
Alucra,CHP,3.1
Alucra,IYI,12.3
Alucra,DEM,0.0
Alucra,MHP,32.0
Alucra,YRP,16.0
Alucra,TIP,0.0
Alucra,ZAFER,0.0
Alucra,BBP,3.2
Alucra,SAADET,2.3
Bulancak,AKP,42.1
Bulancak,CHP,41.8
Bulancak,IYI,3.9
Bulancak,DEM,0.0
Bulancak,MHP,0.0
Bulancak,YRP,5.4
Bulancak,TIP,0.0
Bulancak,ZAFER,0.0
Bulancak,BBP,1.6
Bulancak,SAADET,3.8
Camoluk,AKP,47.2
Camoluk,CHP,0.0
Camoluk,IYI,0.0
Camoluk,DEM,0.0
Camoluk,MHP,36.4
Camoluk,YRP,0.0
Camoluk,TIP,0.0
Camoluk,ZAFER,0.0
Camoluk,BBP,14.5
Camoluk,SAADET,0.0
Canakci,AKP,29.2
Canakci,CHP,8.1
Canakci,IYI,0.0
Canakci,DEM,0.0
Canakci,MHP,0.0
Canakci,YRP,23.6
Canakci,TIP,0.0
Canakci,ZAFER,0.0
Canakci,BBP,0.0
Canakci,SAADET,36.7
Dereli,AKP,36.1
Dereli,CHP,12.1
Dereli,IYI,3.8
Dereli,DEM,0.0
Dereli,MHP,42.7
Dereli,YRP,4.3
Dereli,TIP,0.0
Dereli,ZAFER,0.0
Dereli,BBP,0.0
Dereli,SAADET,0.5
Dogankent,AKP,46.3
Dogankent,CHP,8.0
Dogankent,IYI,0.0
Dogankent,DEM,0.0
Dogankent,MHP,41.6
Dogankent,YRP,3.0
Dogankent,TIP,0.0
Dogankent,ZAFER,0.0
Dogankent,BBP,0.0
Dogankent,SAADET,0.4
Espiye,AKP,32.1
Espiye,CHP,41.4
Espiye,IYI,3.6
Espiye,DEM,0.0
Espiye,MHP,17.7
Espiye,YRP,3.1
Espiye,TIP,0.0
Espiye,ZAFER,1.0
Espiye,BBP,0.0
Espiye,SAADET,0.6
Eynesil,AKP,0.0
Eynesil,CHP,33.4
Eynesil,IYI,0.0
Eynesil,DEM,0.0
Eynesil,MHP,59.9
Eynesil,YRP,4.3
Eynesil,TIP,0.0
Eynesil,ZAFER,1.0
Eynesil,BBP,0.0
Eynesil,SAADET,0.0
Gorele,AKP,31.9
Gorele,CHP,39.0
Gorele,IYI,4.3
Gorele,DEM,0.0
Gorele,MHP,8.3
Gorele,YRP,3.2
Gorele,TIP,0.0
Gorele,ZAFER,0.9
Gorele,BBP,1.0
Gorele,SAADET,0.0
Guce,AKP,47.1
Guce,CHP,40.7
Guce,IYI,0.0
Guce,DEM,0.0
Guce,MHP,9.1
Guce,YRP,2.2
Guce,TIP,0.0
Guce,ZAFER,0.5
Guce,BBP,0.0
Guce,SAADET,0.0
Kesap,AKP,33.9
Kesap,CHP,26.3
Kesap,IYI,1.2
Kesap,DEM,0.0
Kesap,MHP,21.7
Kesap,YRP,14.7
Kesap,TIP,0.0
Kesap,ZAFER,0.7
Kesap,BBP,0.0
Kesap,SAADET,1.0
Merkez,AKP,35.7
Merkez,CHP,50.0
Merkez,IYI,3.1
Merkez,DEM,0.0
Merkez,MHP,0.0
Merkez,YRP,4.0
Merkez,TIP,0.0
Merkez,ZAFER,2.4
Merkez,BBP,0.7
Merkez,SAADET,1.7
Piraziz,AKP,52.9
Piraziz,CHP,32.1
Piraziz,IYI,8.0
Piraziz,DEM,0.0
Piraziz,MHP,0.0
Piraziz,YRP,1.8
Piraziz,TIP,0.0
Piraziz,ZAFER,0.9
Piraziz,BBP,0.0
Piraziz,SAADET,2.0
Sebinkarahisar,AKP,48.1
Sebinkarahisar,CHP,8.9
Sebinkarahisar,IYI,1.7
Sebinkarahisar,DEM,0.0
Sebinkarahisar,MHP,39.7
Sebinkarahisar,YRP,0.0
Sebinkarahisar,TIP,0.0
Sebinkarahisar,ZAFER,0.0
Sebinkarahisar,BBP,0.0
Sebinkarahisar,SAADET,1.0
Tirebolu,AKP,33.1
Tirebolu,CHP,27.4
Tirebolu,IYI,33.0
Tirebolu,DEM,0.0
Tirebolu,MHP,0.0
Tirebolu,YRP,3.9
Tirebolu,TIP,0.0
Tirebolu,ZAFER,1.0
Tirebolu,BBP,0.0
Tirebolu,SAADET,0.8
Yaglidere,AKP,25.5
Yaglidere,CHP,7.3
Yaglidere,IYI,8.5
Yaglidere,DEM,0.0
Yaglidere,MHP,54.4
Yaglidere,YRP,1.9
Yaglidere,TIP,0.0
Yaglidere,ZAFER,0.6
Yaglidere,BBP,0.0
Yaglidere,SAADET,1.2
