district,party,base_vote_pct
Kelkit,AKP,66.2
Kelkit,CHP,0
Kelkit,IYI,11.7
Kelkit,DEM,0.4
Kelkit,MHP,17.3
Kelkit,YRP,1.6
Kelkit,TIP,0.2
Kelkit,ZAFER,0.7
Kelkit,BBP,0.5
Kose,AKP,55
Kose,CHP,0
Kose,IYI,8.9
Kose,DEM,0.1
Kose,MHP,30.7
Kose,YRP,2.8
Kose,TIP,0.1
Kose,ZAFER,0.6
Kose,BBP,0.8
Kurtun,AKP,49.4
Kurtun,CHP,0
Kurtun,IYI,13.1
Kurtun,DEM,0.1
Kurtun,MHP,25.6
Kurtun,YRP,6.4
Kurtun,TIP,0.2
Kurtun,ZAFER,1.2
Kurtun,BBP,1.2
Merkez,AKP,37.2
Merkez,CHP,0
Merkez,IYI,24
Merkez,DEM,0.3
Merkez,MHP,31.6
Merkez,YRP,2.6
Merkez,TIP,0.4
Merkez,ZAFER,1.3
Merkez,BBP,0.6
Siran,AKP,41
Siran,CHP,0
Siran,IYI,24.3
Siran,DEM,0.4
Siran,MHP,27.4
Siran,YRP,2.4
Siran,TIP,0.3
Siran,ZAFER,0.9
Siran,BBP,1.7
Torul,AKP,39.8
Torul,CHP,0
Torul,IYI,19.6
Torul,DEM,0.2
Torul,MHP,32.1
Torul,YRP,2.6
Torul,TIP,0.2
Torul,ZAFER,1.7
Torul,BBP,1.2
