district,party,base_vote_pct
Derecik,AKP,40.60
Derecik,CHP,0
Derecik,IYI,0
Derecik,DEM,0
Derecik,MHP,0
Derecik,YRP,54.86
Derecik,TIP,0
Derecik,ZAFER,3.15
Derecik,BBP,0
Derecik,SAADET,0.66
Yuksekova,AKP,10.87
Yuksekova,CHP,3.44
Yuksekova,IYI,0.44
Yuksekova,DEM,79.08
Yuksekova,MHP,0
Yuksekova,YRP,2.61
Yuksekova,TIP,0
Yuksekova,ZAFER,0
Yuksekova,BBP,0.41
Yuksekova,SAADET,0.41
Semdinli,AKP,45.93
Semdinli,CHP,2.33
Semdinli,IYI,0
Semdinli,DEM,45.19
Semdinli,MHP,0
Semdinli,YRP,4.41
Semdinli,TIP,0
Semdinli,ZAFER,0
Semdinli,BBP,1.08
Semdinli,SAADET,0.58
Cukurca,AKP,30.54
Cukurca,CHP,7.94
Cukurca,IYI,0.87
Cukurca,DEM,30.16
Cukurca,MHP,18.77
Cukurca,YRP,2.88
Cukurca,TIP,0
Cukurca,ZAFER,8.24
Cukurca,BBP,0
Cukurca,SAADET,0.77
Merkez,AKP,41.04
Merkez,CHP,2.36
Merkez,IYI,0.65
Merkez,DEM,50.81
Merkez,MHP,0
Merkez,YRP,2.27
Merkez,TIP,0
Merkez,ZAFER,0.99
Merkez,BBP,0.16
Merkez,SAADET,0
