district,party,base_vote_pct
Altinozu,AKP,60.7
Altinozu,CHP,23.2
Altinozu,IYI,2.4
Altinozu,DEM,0.0
Altinozu,MHP,0.0
Altinozu,YRP,7.7
Altinozu,TIP,0.0
Altinozu,ZAFER,1.5
Altinozu,BBP,1.8
Altinozu,SAADET,1.7
Antakya,AKP,52.7
Antakya,CHP,36.4
Antakya,IYI,2.2
Antakya,DEM,0.0
Antakya,MHP,0.0
Antakya,YRP,2.6
Antakya,TIP,1.4
Antakya,ZAFER,1.2
Antakya,BBP,0.4
Antakya,SAADET,0.6
Arsuz,AKP,21.0
Arsuz,CHP,63.2
Arsuz,IYI,3.1
Arsuz,DEM,0.0
Arsuz,MHP,0.0
Arsuz,YRP,1.2
Arsuz,TIP,8.3
Arsuz,ZAFER,1.1
Arsuz,BBP,0.3
Arsuz,SAADET,0.2
Belen,AKP,0.0
Belen,CHP,24.1
Belen,IYI,9.6
Belen,DEM,0.0
Belen,MHP,52.1
Belen,YRP,5.3
Belen,TIP,0.3
Belen,ZAFER,2.2
Belen,BBP,2.8
Belen,SAADET,2.4
Defne,AKP,7.4
Defne,CHP,50.9
Defne,IYI,0.3
Defne,DEM,0.0
Defne,MHP,0.0
Defne,YRP,0.3
Defne,TIP,6.3
Defne,ZAFER,0.5
Defne,BBP,0.0
Defne,SAADET,0.1
Dortyol,AKP,0.0
Dortyol,CHP,42.5
Dortyol,IYI,2.5
Dortyol,DEM,4.0
Dortyol,MHP,32.9
Dortyol,YRP,2.0
Dortyol,TIP,0.0
Dortyol,ZAFER,1.4
Dortyol,BBP,0.8
Dortyol,SAADET,1.9
Erzin,AKP,0.0
Erzin,CHP,41.3
Erzin,IYI,4.2
Erzin,DEM,9.6
Erzin,MHP,35.0
Erzin,YRP,6.1
Erzin,TIP,0.0
Erzin,ZAFER,1.1
Erzin,BBP,0.0
Erzin,SAADET,1.3
Hassa,AKP,47.9
Hassa,CHP,6.1
Hassa,IYI,18.7
Hassa,DEM,0.0
Hassa,MHP,0.0
Hassa,YRP,3.4
Hassa,TIP,0.1
Hassa,ZAFER,1.4
Hassa,BBP,19.4
Hassa,SAADET,1.0
Iskenderun,AKP,41.7
Iskenderun,CHP,41.9
Iskenderun,IYI,6.0
Iskenderun,DEM,1.8
Iskenderun,MHP,0.0
Iskenderun,YRP,2.8
Iskenderun,TIP,0.8
Iskenderun,ZAFER,2.1
Iskenderun,BBP,0.4
Iskenderun,SAADET,0.6
Kirikhan,AKP,55.6
Kirikhan,CHP,9.2
Kirikhan,IYI,2.7
Kirikhan,DEM,0.3
Kirikhan,MHP,0.0
Kirikhan,YRP,24.0
Kirikhan,TIP,0.1
Kirikhan,ZAFER,5.3
Kirikhan,BBP,0.0
Kirikhan,SAADET,1.1
Kumlu,AKP,0.0
Kumlu,CHP,19.3
Kumlu,IYI,10.0
Kumlu,DEM,0.0
Kumlu,MHP,28.6
Kumlu,YRP,3.5
Kumlu,TIP,0.0
Kumlu,ZAFER,0.0
Kumlu,BBP,34.4
Kumlu,SAADET,1.0
Payas,AKP,48.3
Payas,CHP,18.6
Payas,IYI,2.2
Payas,DEM,1.5
Payas,MHP,0.0
Payas,YRP,2.8
Payas,TIP,0.0
Payas,ZAFER,1.6
Payas,BBP,1.4
Payas,SAADET,22.8
Reyhanli,AKP,53.4
Reyhanli,CHP,29.0
Reyhanli,IYI,2.5
Reyhanli,DEM,0.0
Reyhanli,MHP,0.0
Reyhanli,YRP,12.2
Reyhanli,TIP,0.0
Reyhanli,ZAFER,0.8
Reyhanli,BBP,0.0
Reyhanli,SAADET,1.1
Samandag,AKP,7.6
Samandag,CHP,48.7
Samandag,IYI,0.7
Samandag,DEM,0.1
Samandag,MHP,0.0
Samandag,YRP,0.3
Samandag,TIP,37.9
Samandag,ZAFER,0.4
Samandag,BBP,0.0
Samandag,SAADET,0.0
Yayladagi,AKP,63.9
Yayladagi,CHP,0.0
Yayladagi,IYI,0.0
Yayladagi,DEM,0.0
Yayladagi,MHP,0.0
Yayladagi,YRP,31.5
Yayladagi,TIP,0.0
Yayladagi,ZAFER,1.2
Yayladagi,BBP,0.0
Yayladagi,SAADET,1.5
