district,party,base_vote_pct
Aralik,AKP,42.7
Aralik,CHP,1.8
Aralik,IYI,0
Aralik,DEM,9.5
Aralik,MHP,6
Aralik,YRP,38.9
Aralik,TIP,0
Aralik,ZAFER,0
Aralik,BBP,0
Aralik,SAADET,0
Karakoyunlu,AKP,0
Karakoyunlu,CHP,27.4
Karakoyunlu,IYI,3.5
Karakoyunlu,DEM,0
Karakoyunlu,MHP,38.9
Karakoyunlu,YRP,0.5
Karakoyunlu,TIP,0
Karakoyunlu,ZAFER,0
Karakoyunlu,BBP,28.5
Karakoyunlu,SAADET,0.2
Merkez,AKP,38.4
Merkez,CHP,4.5
Merkez,IYI,5.5
Merkez,DEM,46.9
Merkez,MHP,0
Merkez,YRP,1.5
Merkez,TIP,0
Merkez,ZAFER,0
Merkez,BBP,1.2
Merkez,SAADET,0.4
Tuzluca,AKP,25.9
Tuzluca,CHP,27.1
Tuzluca,IYI,0.6
Tuzluca,DEM,33
Tuzluca,MHP,3
Tuzluca,YRP,9.6
Tuzluca,TIP,0
Tuzluca,ZAFER,0
Tuzluca,BBP,0
Tuzluca,SAADET,0.3
