district,party,base_vote_pct
Aksu,AKP,40.1
Aksu,CHP,25.4
Aksu,IYI,15.6
Aksu,DEM,0.1
Aksu,MHP,11.8
Aksu,YRP,1.4
Aksu,TIP,0.4
Aksu,ZAFER,1
Aksu,BBP,0.5
Atabey,AKP,33.8
Atabey,CHP,26.6
Atabey,IYI,15.4
Atabey,DEM,1.8
Atabey,MHP,16.4
Atabey,YRP,1.2
Atabey,TIP,0.1
Atabey,ZAFER,2
Atabey,BBP,0.6
Egirdir,AKP,32.2
Egirdir,CHP,19.6
Egirdir,IYI,15.1
Egirdir,DEM,0.5
Egirdir,MHP,24.3
Egirdir,YRP,1.3
Egirdir,TIP,0.2
Egirdir,ZAFER,2
Egirdir,BBP,0.7
Gelendost,AKP,30.3
Gelendost,CHP,26.7
Gelendost,IYI,18.1
Gelendost,DEM,0.2
Gelendost,MHP,19.6
Gelendost,YRP,1
Gelendost,TIP,0.1
Gelendost,ZAFER,1
Gelendost,BBP,0.5
Gonen,AKP,33.3
Gonen,CHP,29.9
Gonen,IYI,17.8
Gonen,DEM,1.4
Gonen,MHP,11.9
Gonen,YRP,1.1
Gonen,TIP,0.3
Gonen,ZAFER,1.3
Gonen,BBP,0.5
Keciborlu,AKP,40.3
Keciborlu,CHP,22.8
Keciborlu,IYI,16.4
Keciborlu,DEM,0.2
Keciborlu,MHP,13.5
Keciborlu,YRP,1.1
Keciborlu,TIP,0.1
Keciborlu,ZAFER,2.3
Keciborlu,BBP,0.5
Merkez,AKP,30.6
Merkez,CHP,23.5
Merkez,IYI,17.4
Merkez,DEM,0.9
Merkez,MHP,20.4
Merkez,YRP,1.6
Merkez,TIP,0.4
Merkez,ZAFER,2.2
Merkez,BBP,0.5
Senirkent,AKP,29.8
Senirkent,CHP,19
Senirkent,IYI,21
Senirkent,DEM,0.4
Senirkent,MHP,24.5
Senirkent,YRP,1
Senirkent,TIP,0.1
Senirkent,ZAFER,1.4
Senirkent,BBP,0.4
Sutculer,AKP,58.2
Sutculer,CHP,9
Sutculer,IYI,10.2
Sutculer,DEM,0.2
Sutculer,MHP,15.8
Sutculer,YRP,1.2
Sutculer,TIP,0.3
Sutculer,ZAFER,1
Sutculer,BBP,0.9
Sarkikaraagac,AKP,34.9
Sarkikaraagac,CHP,18.3
Sarkikaraagac,IYI,18.1
Sarkikaraagac,DEM,0.2
Sarkikaraagac,MHP,20.1
Sarkikaraagac,YRP,2.1
Sarkikaraagac,TIP,0.2
Sarkikaraagac,ZAFER,2.2
Sarkikaraagac,BBP,1.2
Uluborlu,AKP,38
Uluborlu,CHP,22.3
Uluborlu,IYI,18.3
Uluborlu,DEM,0.5
Uluborlu,MHP,13.7
Uluborlu,YRP,1.7
Uluborlu,TIP,0.3
Uluborlu,ZAFER,2.2
Uluborlu,BBP,0.4
Yalvac,AKP,30.9
Yalvac,CHP,18.3
Yalvac,IYI,13.2
Yalvac,DEM,0.3
Yalvac,MHP,28.5
Yalvac,YRP,4.7
Yalvac,TIP,0.2
Yalvac,ZAFER,1.2
Yalvac,BBP,0.5
Yenisarbademli,AKP,40.1
Yenisarbademli,CHP,23.5
Yenisarbademli,IYI,19.8
Yenisarbademli,DEM,0
Yenisarbademli,MHP,10.4
Yenisarbademli,YRP,0.7
Yenisarbademli,TIP,0.2
Yenisarbademli,ZAFER,1.4
Yenisarbademli,BBP,0.7
