district,party,base_vote_pct
Bakirkoy,AKP,17.63
Bakirkoy,CHP,49.93
Bakirkoy,IYI,12.06
Bakirkoy,DEM,4.22
Bakirkoy,MHP,3.15
Bakirkoy,YRP,1.11
Bakirkoy,TIP,7.64
Bakirkoy,ZAFER,2.05
Bakirkoy,BBP,0.40
Adalar,AKP,18.24
Adalar,CHP,45.42
Adalar,IYI,7.88
Adalar,DEM,10.10
Adalar,MHP,4.00
Adalar,YRP,0.92
Adalar,TIP,9.36
Adalar,ZAFER,1.53
Adalar,BBP,0.39
Cekmekoy,AKP,37.52
Cekmekoy,CHP,27.97
Cekmekoy,IYI,7.68
Cekmekoy,DEM,6.04
Cekmekoy,MHP,6.49
Cekmekoy,YRP,3.78
Cekmekoy,TIP,4.01
Cekmekoy,ZAFER,3.13
Cekmekoy,BBP,1.18
Sultanbeyli,AKP,47.69
Sultanbeyli,CHP,10.85
Sultanbeyli,IYI,3.16
Sultanbeyli,DEM,16.10
Sultanbeyli,MHP,9.31
Sultanbeyli,YRP,5.26
Sultanbeyli,TIP,1.48
Sultanbeyli,ZAFER,2.50
Sultanbeyli,BBP,1.81
Sancaktepe,AKP,36.47
Sancaktepe,CHP,25.37
Sancaktepe,IYI,4.74
Sancaktepe,DEM,13.88
Sancaktepe,MHP,6.51
Sancaktepe,YRP,3.60
Sancaktepe,TIP,3.62
Sancaktepe,ZAFER,2.49
Sancaktepe,BBP,1.23
Tuzla,AKP,34.93
Tuzla,CHP,28.85
Tuzla,IYI,8.47
Tuzla,DEM,6.45
Tuzla,MHP,7.38
Tuzla,YRP,3.43
Tuzla,TIP,4.00
Tuzla,ZAFER,3.32
Tuzla,BBP,0.93
Pendik,AKP,40.36
Pendik,CHP,24.78
Pendik,IYI,7.66
Pendik,DEM,5.42
Pendik,MHP,8.01
Pendik,YRP,3.98
Pendik,TIP,3.15
Pendik,ZAFER,3.29
Pendik,BBP,1.03
Kartal,AKP,31.52
Kartal,CHP,35.09
Kartal,IYI,8.80
Kartal,DEM,5.65
Kartal,MHP,5.59
Kartal,YRP,2.47
Kartal,TIP,5.00
Kartal,ZAFER,2.84
Kartal,BBP,0.84
Maltepe,AKP,28.06
Maltepe,CHP,39.28
Maltepe,IYI,9.51
Maltepe,DEM,4.54
Maltepe,MHP,5.06
Maltepe,YRP,1.88
Maltepe,TIP,6.19
Maltepe,ZAFER,2.51
Maltepe,BBP,0.83
Atasehir,AKP,31.30
Atasehir,CHP,36.30
Atasehir,IYI,7.95
Atasehir,DEM,5.45
Atasehir,MHP,5.44
Atasehir,YRP,2.09
Atasehir,TIP,5.67
Atasehir,ZAFER,2.66
Atasehir,BBP,1.05
Umraniye,AKP,40.33
Umraniye,CHP,26.50
Umraniye,IYI,7.60
Umraniye,DEM,5.45
Umraniye,MHP,6.30
Umraniye,YRP,4.06
Umraniye,TIP,3.71
Umraniye,ZAFER,3.01
Umraniye,BBP,1.24
Sile,AKP,36.17
Sile,CHP,27.39
Sile,IYI,11.86
Sile,DEM,4.17
Sile,MHP,8.45
Sile,YRP,2.50
Sile,TIP,3.21
Sile,ZAFER,2.46
Sile,BBP,0.97
Beykoz,AKP,40.37
Beykoz,CHP,28.02
Beykoz,IYI,8.70
Beykoz,DEM,2.81
Beykoz,MHP,6.72
Beykoz,YRP,3.56
Beykoz,TIP,3.26
Beykoz,ZAFER,2.84
Beykoz,BBP,1.00
Uskudar,AKP,35.86
Uskudar,CHP,32.47
Uskudar,IYI,9.31
Uskudar,DEM,3.56
Uskudar,MHP,5.02
Uskudar,YRP,3.01
Uskudar,TIP,4.73
Uskudar,ZAFER,2.86
Uskudar,BBP,1.00
Kadikoy,AKP,13.25
Kadikoy,CHP,58.47
Kadikoy,IYI,9.39
Kadikoy,DEM,3.13
Kadikoy,MHP,2.03
Kadikoy,YRP,0.65
Kadikoy,TIP,9.60
Kadikoy,ZAFER,1.48
Kadikoy,BBP,0.35
Kagithane,AKP,38.80
Kagithane,CHP,24.53
Kagithane,IYI,9.42
Kagithane,DEM,6.42
Kagithane,MHP,7.15
Kagithane,YRP,3.36
Kagithane,TIP,3.61
Kagithane,ZAFER,3.29
Kagithane,BBP,0.99
Kucukcekmece,AKP,32.15
Kucukcekmece,CHP,28.94
Kucukcekmece,IYI,9.44
