district,party,base_vote_pct
Urla,CHP,57.45
Urla,IYI,13.41
Urla,AKP,15.66
Urla,MHP,3.15
Urla,YRP,0.43
Urla,BBP,0.36
Urla,DEM,4.96
Urla,TIP,0
Urla,ZAFER,1.60
Torbali,CHP,33.39
Torbali,IYI,10.60
Torbali,AKP,30.69
Torbali,MHP,5.92
Torbali,YRP,1.20
Torbali,BBP,0.41
Torbali,DEM,12.18
Torbali,TIP,0
Torbali,ZAFER,2.37
Tire,CHP,34.05
Tire,IYI,15.33
Tire,AKP,29.26
Tire,MHP,9.06
Tire,YRP,0.64
Tire,BBP,0.43
Tire,DEM,2.72
Tire,TIP,3.03
Tire,ZAFER,2.23
Selcuk,CHP,42.35
Selcuk,IYI,12.71
Selcuk,AKP,22.72
Selcuk,MHP,7.09
Selcuk,YRP,0.44
Selcuk,BBP,0.21
Selcuk,DEM,9.58
Selcuk,TIP,0
Selcuk,ZAFER,1.82
Seferihisar,CHP,49.82
Seferihisar,IYI,11.70
Seferihisar,AKP,20.01
Seferihisar,MHP,5.05
Seferihisar,YRP,0.52
Seferihisar,BBP,0.28
Seferihisar,DEM,7.62
Seferihisar,TIP,0
Seferihisar,ZAFER,1.99
Odemis,CHP,37.08
Odemis,IYI,10.43
Odemis,AKP,34.72
Odemis,MHP,6.56
Odemis,YRP,0.67
Odemis,BBP,1.02
Odemis,DEM,1.43
Odemis,TIP,2.51
Odemis,ZAFER,2.09
Narlidere,CHP,61.03
Narlidere,IYI,12.42
Narlidere,AKP,11.27
Narlidere,MHP,2.19
Narlidere,YRP,0.32
Narlidere,BBP,0.17
Narlidere,DEM,8.93
Narlidere,TIP,0
Narlidere,ZAFER,1.36
Menemen,CHP,32.91
Menemen,IYI,10.12
Menemen,AKP,24.13
Menemen,MHP,6.12
Menemen,YRP,1.33
Menemen,BBP,0.36
Menemen,DEM,13.91
Menemen,TIP,5.15
Menemen,ZAFER,2.87
Menderes,CHP,39.06
Menderes,IYI,11.93
Menderes,AKP,30.43
Menderes,MHP,6.07
Menderes,YRP,0.82
Menderes,BBP,0.40
Menderes,DEM,5.60
Menderes,TIP,0
Menderes,ZAFER,2.41
Konak,CHP,46.03
Konak,IYI,11.64
Konak,AKP,23.12
Konak,MHP,3.20
Konak,YRP,0.71
Konak,BBP,0.29
Konak,DEM,10.25
Konak,TIP,0
Konak,ZAFER,1.71
Kiraz,CHP,29.47
Kiraz,IYI,8.01
Kiraz,AKP,39.19
Kiraz,MHP,11.09
Kiraz,YRP,0.72
Kiraz,BBP,0.68
Kiraz,DEM,0.39
Kiraz,TIP,4.06
Kiraz,ZAFER,1.59
Kinik,CHP,40.53
Kinik,IYI,9.94
Kinik,AKP,29.09
Kinik,MHP,5.88
Kinik,YRP,1.40
Kinik,BBP,0.31
Kinik,DEM,5.38
Kinik,TIP,3.19
Kinik,ZAFER,1.44
Kemalpasa,CHP,30.96
Kemalpasa,IYI,8.86
Kemalpasa,AKP,34.98
Kemalpasa,MHP,10.13
Kemalpasa,YRP,2.48
Kemalpasa,BBP,0.80
Kemalpasa,DEM,3.52
Kemalpasa,TIP,2.85
Kemalpasa,ZAFER,2.61
Karsiyaka,CHP,55.86
Karsiyaka,IYI,11.95
Karsiyaka,AKP,12.56
Karsiyaka,MHP,2.72
Karsiyaka,YRP,0.38
Karsiyaka,BBP,0.21
Karsiyaka,DEM,3.80
Karsiyaka,TIP,8.61
Karsiyaka,ZAFER,1.78
Karaburun,CHP,53.70
Karaburun,IYI,11.12
Karaburun,AKP,19.57
Karaburun,MHP,3.93
Karaburun,YRP,0.51
Karaburun,BBP,0.38
Karaburun,DEM,5.92
Karaburun,TIP,0
Karaburun,ZAFER,1.44
Karabaglar,CHP,38.62
Karabaglar,IYI,11.32
Karabaglar,AKP,28.26
Karabaglar,MHP,4.73
Karabaglar,YRP,0.97
Karabaglar,BBP,0.80
Karabaglar,DEM,9.80
Karabaglar,TIP,0
Karabaglar,ZAFER,2.47
Guzelbahce,CHP,59.97
Guzelbahce,IYI,14.58
Guzelbahce,AKP,12.93
Guzelbahce,MHP,3.10
Guzelbahce,YRP,0.38
Guzelbahce,BBP,0.28
Guzelbahce,DEM,4.41
Guzelbahce,TIP,0
Guzelbahce,ZAFER,1.86
Gaziemir,CHP,40.45
Gaziemir,IYI,14.73
Gaziemir,AKP,24.10
Gaziemir,MHP,5.36
Gaziemir,YRP,0.91
Gaziemir,BBP,0.41
Gaziemir,DEM,7.50
Gaziemir,TIP,0
Gaziemir,ZAFER,3.08
Foca,CHP,47.44
Foca,IYI,10.94
Foca,AKP,16.88
Foca,MHP,5.63
Foca,YRP,0.72
Foca,BBP,0.28
Foca,DEM,5.16
Foca,TIP,6.78
Foca,ZAFER,3.31
Dikili,CHP,49.61
Dikili,IYI,11.26
Dikili,AKP,16.84
Dikili,MHP,5.04
Dikili,YRP,0.53
Dikili,BBP,0.28
Dikili,DEM,6.04
Dikili,TIP,6.32
Dikili,ZAFER,1.25
Cigli,CHP,44.35
Cigli,IYI,10.97
Cigli,AKP,20.06
Cigli,MHP,4.77
Cigli,YRP,0.63
Cigli,BBP,0.37
Cigli,DEM,5.65
Cigli,TIP,7.71
Cigli,ZAFER,2.78
Cesme,CHP,52.32
Cesme,IYI,11.60
Cesme,AKP,17.44
Cesme,MHP,5.67
Cesme,YRP,0.42
Cesme,BBP,0.31
Cesme,DEM,7.06
Cesme,TIP,0
Cesme,ZAFER,2.10
Buca,CHP,38.81
Buca,IYI,12.49
Buca,AKP,26.52
Buca,MHP,5.17
Buca,YRP,0.95
Buca,BBP,0.54
Buca,DEM,9.29
Buca,TIP,0
Buca,ZAFER,2.89
Bornova,CHP,39.05
Bornova,IYI,12.15
Bornova,AKP,24.99
Bornova,MHP,4.68
Bornova,YRP,0.90
Bornova,BBP,0.44
Bornova,DEM,6.62
Bornova,TIP,5.40
Bornova,ZAFER,2.74
Beydag,CHP,44.95
Beydag,IYI,11.95
Beydag,AKP,26.80
Beydag,MHP,7.33
Beydag,YRP,0.64
Beydag,BBP,0.53
Beydag,DEM,0.34
Beydag,TIP,1.50
Beydag,ZAFER,1.48
Bergama,CHP,35.14
Bergama,IYI,12.53
Bergama,AKP,32.54
Bergama,MHP,7.45
Bergama,YRP,1.14
Bergama,BBP,0.45
Bergama,DEM,2.46
Bergama,TIP,2.70
Bergama,ZAFER,1.93
Bayrakli,CHP,36.83
Bayrakli,IYI,10.22
Bayrakli,AKP,27.35
Bayrakli,MHP,5.37
Bayrakli,YRP,1.03
Bayrakli,BBP,0.55
Bayrakli,DEM,8.00
Bayrakli,TIP,5.37
Bayrakli,ZAFER,2.52
Bayindir,CHP,34.11
Bayindir,IYI,9.34
Bayindir,AKP,31.81
Bayindir,MHP,8.55
Bayindir,YRP,1.37
Bayindir,BBP,0.37
Bayindir,DEM,7.45
Bayindir,TIP,2.22
Bayindir,ZAFER,1.57
Balcova,CHP,53.09
Balcova,IYI,14.99
Balcova,AKP,16.68
Balcova,MHP,3.47
Balcova,YRP,0.42
Balcova,BBP,0.27
Balcova,DEM,6.22
Balcova,TIP,0
Balcova,ZAFER,2.14
Aliaga,CHP,35.43
Aliaga,IYI,10.58
Aliaga,AKP,24.34
