district,party,base_vote_pct
Afsin,AKP,44.1
Afsin,CHP,8.7
Afsin,IYI,7.3
Afsin,DEM,0
Afsin,MHP,0
Afsin,YRP,32.1
Afsin,TIP,0.1
Afsin,ZAFER,1.9
Afsin,BBP,3.4
Afsin,SAADET,0
Andirin,AKP,49.8
Andirin,CHP,17.6
Andirin,IYI,14.6
Andirin,DEM,0
Andirin,MHP,0
Andirin,YRP,12.5
Andirin,TIP,0.1
Andirin,ZAFER,1.2
Andirin,BBP,0
Andirin,SAADET,0
Caglayancedit,AKP,0
Caglayancedit,CHP,6.2
Caglayancedit,IYI,34.4
Caglayancedit,DEM,0
Caglayancedit,MHP,33.2
Caglayancedit,YRP,24.9
Caglayancedit,TIP,0.2
Caglayancedit,ZAFER,0
Caglayancedit,BBP,0
Caglayancedit,SAADET,0
Dulkadiroglu,AKP,38
Dulkadiroglu,CHP,0
Dulkadiroglu,IYI,3.8
Dulkadiroglu,DEM,1.2
Dulkadiroglu,MHP,0
Dulkadiroglu,YRP,43.5
Dulkadiroglu,TIP,0.2
Dulkadiroglu,ZAFER,1.7
Dulkadiroglu,BBP,4.8
Dulkadiroglu,SAADET,3.1
Ekinozu,AKP,0
Ekinozu,CHP,37.6
Ekinozu,IYI,2
Ekinozu,DEM,1.3
Ekinozu,MHP,37.6
Ekinozu,YRP,6.3
Ekinozu,TIP,0.1
Ekinozu,ZAFER,0
Ekinozu,BBP,14.2
Ekinozu,SAADET,0
Elbistan,AKP,33.9
Elbistan,CHP,35.6
Elbistan,IYI,2.3
Elbistan,DEM,0.4
Elbistan,MHP,0
Elbistan,YRP,13.2
Elbistan,TIP,0.3
Elbistan,ZAFER,1.5
Elbistan,BBP,0
Elbistan,SAADET,1.3
Goksun,AKP,36.2
Goksun,CHP,0
Goksun,IYI,4
Goksun,DEM,0
Goksun,MHP,0
Goksun,YRP,50.1
Goksun,TIP,0.2
Goksun,ZAFER,1.1
Goksun,BBP,2.9
Goksun,SAADET,3.3
Nurhak,AKP,0
Nurhak,CHP,50.9
Nurhak,IYI,0.7
Nurhak,DEM,5.2
Nurhak,MHP,24.6
Nurhak,YRP,6.2
Nurhak,TIP,0.4
Nurhak,ZAFER,0.7
Nurhak,BBP,0
Nurhak,SAADET,0
Onikisubat,AKP,40.9
Onikisubat,CHP,10.4
Onikisubat,IYI,4.1
Onikisubat,DEM,0.2
Onikisubat,MHP,0
Onikisubat,YRP,37.3
Onikisubat,TIP,0.1
Onikisubat,ZAFER,2.3
Onikisubat,BBP,1.9
Onikisubat,SAADET,0
Pazarcik,AKP,40.1
Pazarcik,CHP,44.9
Pazarcik,IYI,1.2
Pazarcik,DEM,0
Pazarcik,MHP,0
Pazarcik,YRP,12.4
Pazarcik,TIP,0.2
Pazarcik,ZAFER,0
Pazarcik,BBP,0
Pazarcik,SAADET,0
Turkoglu,AKP,42.6
Turkoglu,CHP,0
Turkoglu,IYI,1.9
Turkoglu,DEM,0
Turkoglu,MHP,0
Turkoglu,YRP,50.3
Turkoglu,TIP,0.1
Turkoglu,ZAFER,0.7
Turkoglu,BBP,0
Turkoglu,SAADET,2
