district,party,base_vote_pct
Yenice,CHP,33.60
Yenice,IYI,4.63
Yenice,AKP,39.37
Yenice,MHP,15.02
Yenice,YRP,2.75
Yenice,BBP,0.44
Yenice,DEM,0.12
Yenice,TIP,0.13
Yenice,ZAFER,0.99
Safranbolu,CHP,26.59
Safranbolu,IYI,11.85
Safranbolu,AKP,36.16
Safranbolu,MHP,12.28
Safranbolu,YRP,5.78
Safranbolu,BBP,0.44
Safranbolu,DEM,0.57
Safranbolu,TIP,0.51
Safranbolu,ZAFER,2.45
Ovacik,CHP,14.57
Ovacik,IYI,12.43
Ovacik,AKP,54.59
Ovacik,MHP,9.05
Ovacik,YRP,4.33
Ovacik,BBP,0.53
Ovacik,DEM,0.32
Ovacik,TIP,0.21
Ovacik,ZAFER,1.76
Merkez,CHP,19.57
Merkez,IYI,10.22
Merkez,AKP,36.34
Merkez,MHP,15.99
Merkez,YRP,11.66
Merkez,BBP,0.40
Merkez,DEM,0.41
Merkez,TIP,0.30
Merkez,ZAFER,2.33
Eskipazar,Chp,10.17
Eskipazar,IYI,4.69
Eskipazar,Akp,37.27
Eskipazar,Mhp,40.46
Eskipazar,Yrp,3.69
Eskipazar,Bbp,0.39
Eskipazar,Dem,0.13
Eskipazar,Tip,0.13
Eskipazar,Zafer,0.81
Eflani,CHP,12.95
Eflani,IYI,8.40
Eflani,AKP,50.16
Eflani,MHP,16.19
Eflani,YRP,6.01
Eflani,BBP,0.78
Eflani,DEM,0.07
Eflani,TIP,0.16
Eflani,ZAFER,1.24
