district,party,base_vote_pct
Ayranci,AKP,41.3
Ayranci,CHP,23.5
Ayranci,IYI,10.1
Ayranci,DEM,0.1
Ayranci,MHP,14.3
Ayranci,YRP,2.1
Ayranci,TIP,0.2
Ayranci,ZAFER,2.9
Ayranci,BBP,2
Basyayla,AKP,50.1
Basyayla,CHP,7.4
Basyayla,IYI,12.8
Basyayla,DEM,0.1
Basyayla,MHP,21.5
Basyayla,YRP,1.7
Basyayla,TIP,0.1
Basyayla,ZAFER,1.5
Basyayla,BBP,1.5
Ermenek,AKP,32.8
Ermenek,CHP,23.8
Ermenek,IYI,16.5
Ermenek,DEM,0.2
Ermenek,MHP,16.5
Ermenek,YRP,1.5
Ermenek,TIP,0.2
Ermenek,ZAFER,1.5
Ermenek,BBP,3.6
Kazimkarabekir,AKP,52.1
Kazimkarabekir,CHP,14.5
Kazimkarabekir,IYI,8.7
Kazimkarabekir,DEM,0.1
Kazimkarabekir,MHP,16.5
Kazimkarabekir,YRP,3.1
Kazimkarabekir,TIP,0.2
Kazimkarabekir,ZAFER,1.5
Kazimkarabekir,BBP,1
Merkez,AKP,42
Merkez,CHP,18.1
Merkez,IYI,10.2
Merkez,DEM,0.6
Merkez,MHP,18.9
Merkez,YRP,2.6
Merkez,TIP,0.3
Merkez,ZAFER,1.9
Merkez,BBP,2.8
Sariveliler,AKP,31.8
Sariveliler,CHP,28.2
Sariveliler,IYI,15
Sariveliler,DEM,0.1
Sariveliler,MHP,15.3
Sariveliler,YRP,1.9
Sariveliler,TIP,0.6
Sariveliler,ZAFER,1.6
Sariveliler,BBP,1.2
