district,party,base_vote_pct
Akyaka,AKP,63.1
Akyaka,CHP,35.6
Akyaka,IYI,0
Akyaka,DEM,9
Akyaka,MHP,0
Akyaka,YRP,0
Akyaka,TIP,0
Akyaka,ZAFER,0
Akyaka,BBP,0
Akyaka,SAADET,0
Arpacay,AKP,35.7
Arpacay,CHP,18.5
Arpacay,IYI,16.7
Arpacay,DEM,0
Arpacay,MHP,12.2
Arpacay,YRP,15.5
Arpacay,TIP,0
Arpacay,ZAFER,0
Arpacay,BBP,0
Arpacay,SAADET,0
Digor,AKP,24.2
Digor,CHP,19.5
Digor,IYI,0
Digor,DEM,31.1
Digor,MHP,0
Digor,YRP,15
Digor,TIP,0
Digor,ZAFER,
Digor,BBP,0
Digor,SAADET,0
Kagizman,AKP,22.3
Kagizman,CHP,6.4
Kagizman,IYI,6.9
Kagizman,DEM,31.6
Kagizman,MHP,23.5
Kagizman,YRP,1.8
Kagizman,TIP,0
Kagizman,ZAFER,0
Kagizman,BBP,0
Kagizman,SAADET,0
Merkez,AKP,0
Merkez,CHP,20.1
Merkez,IYI,9.6
Merkez,DEM,27.4
Merkez,MHP,32.9
Merkez,YRP,4.1
Merkez,TIP,0
Merkez,ZAFER,1.4
Merkez,BBP,0
Merkez,SAADET,0
Sarikamis,AKP,20.2
Sarikamis,CHP,5.8
Sarikamis,IYI,17.2
Sarikamis,DEM,9.2
Sarikamis,MHP,35.1
Sarikamis,YRP,4.3
Sarikamis,TIP,0
Sarikamis,ZAFER,0
Sarikamis,BBP,5.9
Sarikamis,SAADET,1.9
Selim,AKP,30.5
Selim,CHP,58.2
Selim,IYI,0
Selim,DEM,4.9
Selim,MHP,0
Selim,YRP,4.5
Selim,TIP,0
Selim,ZAFER,1
Selim,BBP,0
Selim,SAADET,0.7
Susuz,AKP,38.3
Susuz,CHP,50.8
Susuz,IYI,1
Susuz,DEM,0
Susuz,MHP,8.2
Susuz,YRP,0
Susuz,TIP,0
Susuz,ZAFER,0
Susuz,BBP,0
