district,party,base_vote_pct
Abana,AKP,48.4
Abana,CHP,28.1
Abana,IYI,5.2
Abana,DEM,0.1
Abana,MHP,12.1
Abana,YRP,1.7
Abana,TIP,0.0
Abana,ZAFER,1.2
Abana,BBP,0.7
Agli,AKP,51.2
Agli,CHP,13.9
Agli,IYI,5.4
Agli,DEM,0.1
Agli,MHP,21.3
Agli,YRP,2.7
Agli,TIP,0.0
Agli,ZAFER,1.3
Agli,BBP,0.5
Arac,AKP,47.7
Arac,CHP,20.3
Arac,IYI,7.9
Arac,DEM,0.2
Arac,MHP,11.8
Arac,YRP,2.9
Arac,TIP,0.0
Arac,ZAFER,1.2
Arac,BBP,4.5
Azdavay,AKP,39.5
Azdavay,CHP,31.2
Azdavay,IYI,9.4
Azdavay,DEM,0.1
Azdavay,MHP,11.6
Azdavay,YRP,2.0
Azdavay,TIP,0.0
Azdavay,ZAFER,1.1
Azdavay,BBP,0.8
Bozkurt,AKP,56.5
Bozkurt,CHP,16.6
Bozkurt,IYI,6.4
Bozkurt,DEM,0.1
Bozkurt,MHP,12.7
Bozkurt,YRP,2.1
Bozkurt,TIP,0.0
Bozkurt,ZAFER,1.7
Bozkurt,BBP,0.8
Cide,AKP,50.7
Cide,CHP,19.6
Cide,IYI,9.7
Cide,DEM,0.4
Cide,MHP,11.9
Cide,YRP,1.8
Cide,TIP,0.0
Cide,ZAFER,1.2
Cide,BBP,0.7
Catalzeytin,AKP,50.9
Catalzeytin,CHP,16.5
Catalzeytin,IYI,8.2
Catalzeytin,DEM,0.1
Catalzeytin,MHP,18.1
Catalzeytin,YRP,1.4
Catalzeytin,TIP,0.0
Catalzeytin,ZAFER,1.3
Catalzeytin,BBP,0.7
Daday,AKP,41.8
Daday,CHP,29.5
Daday,IYI,7.4
Daday,DEM,0.1
Daday,MHP,14.4
Daday,YRP,1.5
Daday,TIP,0.0
Daday,ZAFER,1.2
Daday,BBP,0.5
Devrekani,AKP,48.7
Devrekani,CHP,15.2
Devrekani,IYI,8.1
Devrekani,DEM,0.1
Devrekani,MHP,20.1
Devrekani,YRP,1.8
Devrekani,TIP,0.0
Devrekani,ZAFER,1.5
Devrekani,BBP,0.8
Doganyurt,AKP,53.9
Doganyurt,CHP,11.9
Doganyurt,IYI,4.8
Doganyurt,DEM,0.1
Doganyurt,MHP,18.0
Doganyurt,YRP,3.5
Doganyurt,TIP,0.0
Doganyurt,ZAFER,1.6
Doganyurt,BBP,1.4
Hanonu,AKP,44.9
Hanonu,CHP,25.1
Hanonu,IYI,7.2
Hanonu,DEM,0.1
Hanonu,MHP,13.5
Hanonu,YRP,2.6
Hanonu,TIP,0.0
Hanonu,ZAFER,1.6
Hanonu,BBP,1.0
Ihsangazi,AKP,54.0
Ihsangazi,CHP,12.1
Ihsangazi,IYI,6.0
Ihsangazi,DEM,0.1
Ihsangazi,MHP,18.9
Ihsangazi,YRP,2.1
Ihsangazi,TIP,0.0
Ihsangazi,ZAFER,1.7
Ihsangazi,BBP,0.9
Inebolu,AKP,53.1
Inebolu,CHP,20.8
Inebolu,IYI,5.6
Inebolu,DEM,0.2
Inebolu,MHP,11.8
Inebolu,YRP,2.5
Inebolu,TIP,0.0
Inebolu,ZAFER,1.6
Inebolu,BBP,1.1
Kure,AKP,42.0
Kure,CHP,20.1
Kure,IYI,5.5
Kure,DEM,0.1
Kure,MHP,20.1
Kure,YRP,6.9
Kure,TIP,0.0
Kure,ZAFER,1.3
Kure,BBP,0.8
Merkez,AKP,40.2
Merkez,CHP,27.5
Merkez,IYI,8.6
Merkez,DEM,0.3
Merkez,MHP,15.8
Merkez,YRP,2.3
Merkez,TIP,0.0
Merkez,ZAFER,2.3
Merkez,BBP,0.6
Pinarbasi,AKP,46.5
Pinarbasi,CHP,19.3
Pinarbasi,IYI,11.5
Pinarbasi,DEM,0.1
Pinarbasi,MHP,15.4
Pinarbasi,YRP,2.2
Pinarbasi,TIP,0.0
Pinarbasi,ZAFER,1.0
Pinarbasi,BBP,0.6
Seydiler,AKP,43.4
Seydiler,CHP,19.6
Seydiler,IYI,6.1
Seydiler,DEM,0.1
Seydiler,MHP,23.7
Seydiler,YRP,2.1
Seydiler,TIP,0.0
Seydiler,ZAFER,1.3
Seydiler,BBP,0.7
Senpazar,AKP,54.5
Senpazar,CHP,16.6
Senpazar,IYI,6.1
Senpazar,DEM,0.1
Senpazar,MHP,11.9
Senpazar,YRP,3.3
Senpazar,TIP,0.0
Senpazar,ZAFER,1.3
Senpazar,BBP,0.7
Taskopru,AKP,49.1
Taskopru,CHP,19.2
Taskopru,IYI,8.3
Taskopru,DEM,0.1
Taskopru,MHP,15.6
Taskopru,YRP,2.4
Taskopru,TIP,0.0
Taskopru,ZAFER,1.7
Taskopru,BBP,0.8
Tosya,AKP,47.2
Tosya,CHP,10.1
Tosya,IYI,5.1
Tosya,DEM,0.2
Tosya,MHP,14.4
Tosya,YRP,18.5
Tosya,TIP,0.0
Tosya,ZAFER,1.5
Tosya,BBP,0.7
