district,party,base_vote_pct
Akkisla,AKP,42.4
Akkisla,CHP,43.4
Akkisla,IYI,9.3
Akkisla,DEM,0
Akkisla,MHP,0
Akkisla,YRP,3
Akkisla,TIP,0
Akkisla,ZAFER,0.8
Akkisla,BBP,0
Akkisla,SAADET,0.7
Bunyan,AKP,0
Bunyan,CHP,10.4
Bunyan,IYI,26.8
Bunyan,DEM,0
Bunyan,MHP,43.4
Bunyan,YRP,13.6
Bunyan,TIP,0.1
Bunyan,ZAFER,1
Bunyan,BBP,1.7
Bunyan,SAADET,2.4
Develi,AKP,35.9
Develi,CHP,6.4
Develi,IYI,12.1
Develi,DEM,0
Develi,MHP,0
Develi,YRP,10.7
Develi,TIP,0.1
Develi,ZAFER,3.4
Develi,BBP,28.2
Develi,SAADET,2.2
Felahiye,AKP,43.4
Felahiye,CHP,47.2
Felahiye,IYI,2.5
Felahiye,DEM,0
Felahiye,MHP,0
Felahiye,YRP,3.4
Felahiye,TIP,0
Felahiye,ZAFER,1.9
Felahiye,BBP,0
Felahiye,SAADET,0.8
Hacilar,AKP,43.6
Hacilar,CHP,5.4
Hacilar,IYI,2.6
Hacilar,DEM,0
Hacilar,MHP,0
Hacilar,YRP,33.3
Hacilar,TIP,0.1
Hacilar,ZAFER,3.1
Hacilar,BBP,1.4
Hacilar,SAADET,8.5
Incesu,AKP,42.3
Incesu,CHP,7.6
Incesu,IYI,12.2
Incesu,DEM,0
Incesu,MHP,0
Incesu,YRP,32.8
Incesu,TIP,0
Incesu,ZAFER,1.4
Incesu,BBP,0
Incesu,SAADET,2.9
Kocasinan,AKP,34.8
Kocasinan,CHP,15.8
Kocasinan,IYI,11.3
Kocasinan,DEM,0.9
Kocasinan,MHP,0
Kocasinan,YRP,22.6
Kocasinan,TIP,0.2
Kocasinan,ZAFER,4.6
Kocasinan,BBP,3.5
Kocasinan,SAADET,4
Melikgazi,AKP,37
Melikgazi,CHP,15.4
Melikgazi,IYI,12.9
Melikgazi,DEM,0
Melikgazi,MHP,0
Melikgazi,YRP,20.3
Melikgazi,TIP,0.2
Melikgazi,ZAFER,4.8
Melikgazi,BBP,3
Melikgazi,SAADET,4.4
Ozvatan,AKP,0
Ozvatan,CHP,10
Ozvatan,IYI,9.1
Ozvatan,DEM,0
Ozvatan,MHP,60.1
Ozvatan,YRP,12.3
Ozvatan,TIP,0.2
Ozvatan,ZAFER,1.1
Ozvatan,BBP,4.8
Ozvatan,SAADET,1.4
Pinarbasi,AKP,0
Pinarbasi,CHP,31.3
Pinarbasi,IYI,6.3
Pinarbasi,DEM,0
Pinarbasi,MHP,30.8
Pinarbasi,YRP,4.8
Pinarbasi,TIP,0.2
Pinarbasi,ZAFER,1.2
Pinarbasi,BBP,5.2
Pinarbasi,SAADET,1
Sarioglan,AKP,0
Sarioglan,CHP,31
Sarioglan,IYI,2.7
Sarioglan,DEM,0
Sarioglan,MHP,34.8
Sarioglan,YRP,12.7
Sarioglan,TIP,0
Sarioglan,ZAFER,1
Sarioglan,BBP,2.5
Sarioglan,SAADET,12.4
Sariz,AKP,0
Sariz,CHP,43.2
Sariz,IYI,0
Sariz,DEM,0
Sariz,MHP,38.8
Sariz,YRP,12.6
Sariz,TIP,0.1
Sariz,ZAFER,0.7
Sariz,BBP,2.4
Sariz,SAADET,0.8
Talas,AKP,32.7
Talas,CHP,19
Talas,IYI,22.2
Talas,DEM,0
Talas,MHP,0
Talas,YRP,12.7
Talas,TIP,0.4
Talas,ZAFER,5.7
Talas,BBP,2.5
Talas,SAADET,2.7
Tomarza,AKP,40.3
Tomarza,CHP,0
Tomarza,IYI,48.1
Tomarza,DEM,0
Tomarza,MHP,0
Tomarza,YRP,5.4
Tomarza,TIP,0.1
Tomarza,ZAFER,1
Tomarza,BBP,0
Tomarza,SAADET,4.4
Yahyali,AKP,46.2
Yahyali,CHP,3.2
Yahyali,IYI,10.2
Yahyali,DEM,0
Yahyali,MHP,0
Yahyali,YRP,35.5
Yahyali,TIP,0
Yahyali,ZAFER,1.1
Yahyali,BBP,0
Yahyali,SAADET,3.1
Yesilhisar,AKP,45
Yesilhisar,CHP,13.3
Yesilhisar,IYI,35.7
Yesilhisar,DEM,0
Yesilhisar,MHP,0
Yesilhisar,YRP,3.8
Yesilhisar,TIP,0
Yesilhisar,ZAFER,1
Yesilhisar,BBP,0
Yesilhisar,SAADET,0.7
