district,party,base_vote_pct
Musabeyli,AKP,37
Musabeyli,CHP,12.4
Musabeyli,IYI,6.5
Musabeyli,DEM,0.4
Musabeyli,MHP,38.9
Musabeyli,YRP,1.9
Musabeyli,TIP,0
Musabeyli,ZAFER,0.7
Musabeyli,BBP,0.4
Merkez,AKP,39.4
Merkez,CHP,21.1
Merkez,IYI,5.7
Merkez,DEM,1
Merkez,MHP,26.2
Merkez,YRP,2.4
Merkez,TIP,0
Merkez,ZAFER,2
Merkez,BBP,0.4
Polateli,AKP,46.9
Polateli,CHP,14.3
Polateli,IYI,5.2
Polateli,DEM,0.4
Polateli,MHP,28.8
Polateli,YRP,1.8
Polateli,TIP,0
Polateli,ZAFER,0.4
Polateli,BBP,0.5
Elbeyli,AKP,39.2
Elbeyli,CHP,19.7
Elbeyli,IYI,6.4
Elbeyli,DEM,0.4
Elbeyli,MHP,24
Elbeyli,YRP,3.5
Elbeyli,TIP,0
Elbeyli,ZAFER,4.2
Elbeyli,BBP,0.5
