district,party,base_vote_pct
Bahsili,CHP,10.7
Bahsili,AKP,37.8
Bahsili,IYI,0.7
Bahsili,YRP,6.6
Bahsili,SAADET,0.9
Bahsili,ZAFER,1.1
Bahsili,DEM,0.
Bahsili,MHP,39.8
Bahsili,BBP,1.7
Baliseyh,CHP,9.4
Baliseyh,MHP,4.3
Baliseyh,AKP,38.7
Baliseyh,YRP,44.6
Baliseyh,IYI,1.5
Baliseyh,BBP,0.7
Baliseyh,ZAFER,0.1
Baliseyh,SAADET,0.4
Baliseyh,TIP,0
Celebi,YRP,1.1
Celebi,MHP,42.2
Celebi,AKP,44.1
Celebi,CHP,8.5
Celebi,IYI,2.8
Celebi,BBP,0.2
Celebi,ZAFER,0.8
Celebi,SAADET,0
Celebi,TIP,0
Delice,AKP,45.1
Delice,CHP,0
Delice,MHP,9.4
Delice,IYI,0.9
Delice,BBP,0
Delice,DEM,0
Delice,SAADET,0.5
Delice,ZAFER,0.7
Delice,YRP,43
Karakecili,AKP,33.4
Karakecili,MHP,15
Karakecili,CHP,0
Karakecili,YRP,25.6
Karakecili,SAADET,0.6
Karakecili,BBP,23.8
Karakecili,ZAFER,0.5
Karakecili,IYI,0.8
Karakecili,TIP,0
Keskin,MHP,10.4
Keskin,AKP,41.5
Keskin,YRP,12.8
Keskin,IYI,3.4
Keskin,BBP,14.7
Keskin,CHP,14.6
Keskin,DEM,0
Keskin,ZAFER,0.5
Keskin,TIP,0
Merkez,AKP,23.9
Merkez,BBP,0.5
Merkez,MHP,20.4
Merkez,YRP,4.7
Merkez,CHP,43.6
Merkez,IYI,2
Merkez,DEM,0.1
Merkez,SAADET,1
Merkez,ZAFER,1.4
Sulakyurt,CHP,11.3
Sulakyurt,AKP,40.6
Sulakyurt,MHP,45.8
Sulakyurt,BBP,0
Sulakyurt,DEM,0
Sulakyurt,IYI,1.6
Sulakyurt,SAADET,0.2
Sulakyurt,ZAFER,0.2
Sulakyurt,YRP,0
Yahsihan,CHP,22.5
Yahsihan,AKP,38.6
Yahsihan,MHP,31.4
Yahsihan,YRP,0
Yahsihan,IYI,3.1
Yahsihan,BBP,0.6
Yahsihan,ZAFER,2.6
Yahsihan,SAADET,0.8
Yahsihan,TIP,0
