district,party,base_vote_pct
Merkez,AKP,36.62
Merkez,CHP,45.59
Merkez,IYI,7.96
Merkez,DEM,1.03
Merkez,MHP,0
Merkez,YRP,1.03
Merkez,TIP,1.28
Merkez,ZAFER,2.46
Merkez,BBP,1.49
Merkez,SAADET,0.42
Kofcaz,AKP,34.95
Kofcaz,CHP,28.52
Kofcaz,IYI,0
Kofcaz,DEM,0
Kofcaz,MHP,34.78
Kofcaz,YRP,0
Kofcaz,TIP,0
Kofcaz,ZAFER,0.17
Kofcaz,BBP,0
Kofcaz,SAADET,0.34
Babaeski,AKP,41.42
Babaeski,CHP,51.93
Babaeski,IYI,2.75
Babaeski,DEM,0
Babaeski,MHP,0
Babaeski,YRP,0.35
Babaeski,TIP,0.49
Babaeski,ZAFER,1.38
Babaeski,BBP,0.22
Babaeski,SAADET,0.12
Pehlivankoy,AKP,34.65
Pehlivankoy,CHP,27.65
Pehlivankoy,IYI,26.99
Pehlivankoy,DEM,0
Pehlivankoy,MHP,0
Pehlivankoy,YRP,0.24
Pehlivankoy,TIP,0
Pehlivankoy,ZAFER,0.49
Pehlivankoy,BBP,0.08
Pehlivankoy,SAADET,0.24
Demirkoy,AKP,48.98
Demirkoy,CHP,16.32
Demirkoy,IYI,0
Demirkoy,DEM,0
Demirkoy,MHP,32.05
Demirkoy,YRP,0.60
Demirkoy,TIP,0
Demirkoy,ZAFER,0.25
Demirkoy,BBP,0.08
Demirkoy,SAADET,0.28
Pinarhisar,AKP,40.71
Pinarhisar,CHP,44.43
Pinarhisar,IYI,6.37
Pinarhisar,DEM,0
Pinarhisar,MHP,0
Pinarhisar,YRP,0.32
Pinarhisar,TIP,0
Pinarhisar,ZAFER,0.82
Pinarhisar,BBP,1.07
Pinarhisar,SAADET,0.35
Luleburgaz,AKP,22.96
Luleburgaz,CHP,58.46
Luleburgaz,IYI,4.03
Luleburgaz,DEM,0
Luleburgaz,MHP,4.64
Luleburgaz,YRP,0.8
Luleburgaz,TIP,0.88
Luleburgaz,ZAFER,2.34
Luleburgaz,BBP,0.18
Luleburgaz,SAADET,0.37
Vize,AKP,29.74
Vize,CHP,41.37
Vize,IYI,4.80
Vize,DEM,0
Vize,MHP,0
Vize,YRP,0.34
Vize,TIP,0
Vize,ZAFER,0.91
Vize,BBP,0.38
Vize,SAADET,0.15
