district,party,base_vote_pct
Mucur,AKP,40.51
Mucur,CHP,28.35
Mucur,IYI,6.10
Mucur,DEM,1.12
Mucur,MHP,18.07
Mucur,YRP,1.44
Mucur,TIP,0.25
Mucur,ZAFER,1.58
Mucur,BBP,0.58
Kaman,AKP,33.28
Kaman,CHP,27.41
Kaman,IYI,8.04
Kaman,DEM,0.76
Kaman,MHP,24.24
Kaman,YRP,0.96
Kaman,TIP,0.35
Kaman,ZAFER,1.51
Kaman,BBP,0.68
Cicekdagi,AKP,42.20
Cicekdagi,CHP,16.14
Cicekdagi,IYI,6.22
Cicekdagi,DEM,1.63
Cicekdagi,MHP,27.23
Cicekdagi,YRP,2.63
Cicekdagi,TIP,0.11
Cicekdagi,ZAFER,1.05
Cicekdagi,BBP,0.93
Boztepe,AKP,31.98
Boztepe,CHP,36.36
Boztepe,IYI,4.85
Boztepe,DEM,13.62
Boztepe,MHP,7.38
Boztepe,YRP,1.17
Boztepe,TIP,0.73
Boztepe,ZAFER,0.91
Boztepe,BBP,0.57
Akpinar,AKP,49.08
Akpinar,CHP,27.35
Akpinar,IYI,6.11
Akpinar,DEM,0.41
Akpinar,MHP,10.53
Akpinar,YRP,1.17
Akpinar,TIP,0.14
Akpinar,ZAFER,1.04
Akpinar,BBP,1.59
Akcakent,AKP,54.42
Akcakent,CHP,10.81
Akcakent,IYI,6.24
Akcakent,DEM,0.04
Akcakent,MHP,22.02
Akcakent,YRP,2.87
Akcakent,TIP,0.08
Akcakent,ZAFER,0.78
Akcakent,BBP,0.78
Merkez,AKP,38.53
Merkez,CHP,31.65
Merkez,IYI,7.64
Merkez,DEM,2.86
Merkez,MHP,11.60
Merkez,YRP,1.69
Merkez,TIP,0.47
Merkez,ZAFER,2.33
Merkez,BBP,1.13
