district,party,base_vote_pct
Basiskele,AKP,45.6
Basiskele,CHP,20
Basiskele,IYI,9.8
Basiskele,DEM,2.6
Basiskele,MHP,7.3
Basiskele,YRP,8.1
Basiskele,TIP,0
Basiskele,ZAFER,3
Basiskele,BBP,1.6
Cayirova,AKP,40
Cayirova,CHP,23.4
Cayirova,IYI,6.8
Cayirova,DEM,7.3
Cayirova,MHP,9.8
Cayirova,YRP,6.1
Cayirova,TIP,0
Cayirova,ZAFER,3.4
Cayirova,BBP,0.8
Darica,AKP,38.5
Darica,CHP,23
Darica,IYI,7.7
Darica,DEM,9.7
Darica,MHP,9.8
Darica,YRP,4.7
Darica,TIP,0
Darica,ZAFER,3.4
Darica,BBP,0.8
Derince,AKP,36.6
Derince,CHP,26.5
Derince,IYI,10.9
Derince,DEM,4.3
Derince,MHP,9.4
Derince,YRP,5.2
Derince,TIP,0
Derince,ZAFER,3.3
Derince,BBP,1.3
Dilovasi,AKP,35.5
Dilovasi,CHP,10.1
Dilovasi,IYI,5.7
Dilovasi,DEM,29
Dilovasi,MHP,7.8
Dilovasi,YRP,7.2
Dilovasi,TIP,0
Dilovasi,ZAFER,1.5
Dilovasi,BBP,0.5
Gebze,AKP,40.1
Gebze,CHP,22.8
Gebze,IYI,7.9
Gebze,DEM,5.5
Gebze,MHP,10.5
Gebze,YRP,6.2
Gebze,TIP,0
Gebze,ZAFER,3.3
Gebze,BBP,0.9
Golcuk,AKP,39.4
Golcuk,CHP,25.8
Golcuk,IYI,11.4
Golcuk,DEM,2.7
Golcuk,MHP,8.2
Golcuk,YRP,5.7
Golcuk,TIP,0
Golcuk,ZAFER,3.5
Golcuk,BBP,0.9
Izmit,AKP,37.6
Izmit,CHP,29.8
Izmit,IYI,12.1
Izmit,DEM,2.7
Izmit,MHP,5.2
Izmit,YRP,5.1
Izmit,TIP,0
Izmit,ZAFER,3.2
Izmit,BBP,1.3
Kandira,AKP,47.9
Kandira,CHP,18.6
Kandira,IYI,10.1
Kandira,DEM,1
Kandira,MHP,5.9
Kandira,YRP,10.6
Kandira,TIP,0
Kandira,ZAFER,1.8
Kandira,BBP,1.3
Karamursel,AKP,41.5
Karamursel,CHP,23.6
Karamursel,IYI,12.6
Karamursel,DEM,2.3
Karamursel,MHP,8.6
Karamursel,YRP,4.7
Karamursel,TIP,0
Karamursel,ZAFER,2.9
Karamursel,BBP,1
Kartepe,AKP,42.8
Kartepe,CHP,20.9
Kartepe,IYI,10.3
Kartepe,DEM,4.1
Kartepe,MHP,7
Kartepe,YRP,7
Kartepe,TIP,0
Kartepe,ZAFER,3
Kartepe,BBP,2.3
Korfez,AKP,36.7
Korfez,CHP,22.2
Korfez,IYI,10.2
Korfez,DEM,9.8
Korfez,MHP,8.7
Korfez,YRP,5.2
Korfez,TIP,0
Korfez,ZAFER,3.3
Korfez,BBP,1.2
