district,party,base_vote_pct
Bozkir,AKP,37.38
Bozkir,CHP,
Bozkir,IYI,1.71
Bozkir,DEM,
Bozkir,MHP,
Bozkir,YRP,11.72
Bozkir,TIP,
Bozkir,ZAFER,1.59
Bozkir,BBP,40.43
Bozkir,SAADET,4.39
Yunak,AKP,36.32
Yunak,CHP,13.12
Yunak,IYI,0
Yunak,DEM,0
Yunak,MHP,0
Yunak,YRP,16.21
Yunak,TIP,0.13
Yunak,ZAFER,0.76
Yunak,BBP,39.42
Yunak,SAADET,0.85
Yalihuyuk,AKP,35.8
Yalihuyuk,CHP,0
Yalihuyuk,IYI,2.31
Yalihuyuk,DEM,0
Yalihuyuk,MHP,0
Yalihuyuk,YRP,57.25
Yalihuyuk,TIP,0.08
Yalihuyuk,ZAFER,0.69
Yalihuyuk,BBP,1.08
Yalihuyuk,SAADET,2.08
Tuzlukcu,AKP,44.25
Tuzlukcu,CHP,50.33
Tuzlukcu,IYI,0
Tuzlukcu,DEM,0
Tuzlukcu,MHP,0
Tuzlukcu,YRP,3.2
Tuzlukcu,TIP,0
Tuzlukcu,ZAFER,0.67
Tuzlukcu,BBP,0.44
Tuzlukcu,SAADET,0.76
Taskent,AKP,49.74
Taskent,CHP,0
Taskent,IYI,0
Taskent,DEM,0
Taskent,MHP,0
Taskent,YRP,9.05
Taskent,TIP,0
Taskent,ZAFER,1.2
Taskent,BBP,29.3
Taskent,SAADET,0
Seydisehir,AKP,32.72
Seydisehir,CHP,33.56
Seydisehir,IYI,1.7
Seydisehir,DEM,0.28
Seydisehir,MHP,0
Seydisehir,YRP,8.13
Seydisehir,TIP,0.27
Seydisehir,ZAFER,1.03
Seydisehir,BBP,0.84
Seydisehir,SAADET,2.17
Selcuklu,AKP,44.61
Selcuklu,CHP,10.49
Selcuklu,IYI,2.8
Selcuklu,DEM,1.59
Selcuklu,MHP,0
Selcuklu,YRP,26.04
Selcuklu,TIP,0.18
Selcuklu,ZAFER,6.01
Selcuklu,BBP,2.33
Selcuklu,SAADET,3.52
Sarayonu,AKP,41.57
Sarayonu,CHP,0
Sarayonu,IYI,1.57
Sarayonu,DEM,0.48
Sarayonu,MHP,0
Sarayonu,YRP,34.0
Sarayonu,TIP,0.18
Sarayonu,ZAFER,1.67
Sarayonu,BBP,0.85
Sarayonu,SAADET,6.24
Meram,AKP,50.37
Meram,CHP,8.32
Meram,IYI,1.94
Meram,DEM,0.56
Meram,MHP,0
Meram,YRP,25.89
Meram,TIP,0
Meram,ZAFER,4.51
Meram,BBP,3.09
Meram,SAADET,3.33
Kulu,AKP,44.83
Kulu,CHP,5.89
Kulu,IYI,1.59
Kulu,DEM,24.9
Kulu,MHP,0
Kulu,YRP,15.95
Kulu,TIP,0.08
Kulu,ZAFER,0.63
Kulu,BBP,0.27
Kulu,SAADET,3.31
Karatay,AKP,52.64
Karatay,CHP,5.99
Karatay,IYI,1.52
Karatay,DEM,2.03
Karatay,MHP,0
Karatay,YRP,25.66
Karatay,TIP,0.09
Karatay,ZAFER,3.61
Karatay,BBP,2.65
Karatay,SAADET,3.51
Karapinar,AKP,42.68
Karapinar,CHP,38.73
Karapinar,IYI,2.14
Karapinar,DEM,0
Karapinar,MHP,0
Karapinar,YRP,11.87
Karapinar,TIP,0.05
Karapinar,ZAFER,1.05
Karapinar,BBP,0.4
Karapinar,SAADET,1.26
Kadinhani,AKP,42.08
Kadinhani,CHP,0
Kadinhani,IYI,21.92
Kadinhani,DEM,0
Kadinhani,MHP,0
Kadinhani,YRP,18.11
Kadinhani,TIP,0.13
Kadinhani,ZAFER,0.68
Kadinhani,BBP,1.96
Kadinhani,SAADET,4.82
Ilgin,AKP,35.6
Ilgin,CHP,21.29
Ilgin,IYI,9.88
Ilgin,DEM,0
Ilgin,MHP,0
Ilgin,YRP,23.15
Ilgin,TIP,0.07
Ilgin,ZAFER,0.62
Ilgin,BBP,0.67
Ilgin,SAADET,6.45
Huyuk,AKP,46.43
Huyuk,CHP,18.24
Huyuk,IYI,10.71
Huyuk,DEM,0
Huyuk,MHP,0
Huyuk,YRP,11.12
Huyuk,TIP,0
Huyuk,ZAFER,5.35
Huyuk,BBP,1.1
Huyuk,SAADET,4.5
Halkapinar,AKP,0
Halkapinar,CHP,0
Halkapinar,IYI,2.68
Halkapinar,DEM,0
Halkapinar,MHP,41.38
Halkapinar,YRP,5.86
Halkapinar,TIP,0.21
Halkapinar,ZAFER,0.92
Halkapinar,BBP,45.57
Halkapinar,SAADET,1.98
Hadim,AKP,45.66
Hadim,CHP,37.7
Hadim,IYI,2.05
Hadim,DEM,0
Hadim,MHP,0
Hadim,YRP,5.73
Hadim,TIP,0
Hadim,ZAFER,0.9
Hadim,BBP,0.85
Hadim,SAADET,0
