district,party,base_vote_pct
Altintas,AKP,50.3
Altintas,CHP,14.9
Altintas,IYI,8.7
Altintas,DEM,0.3
Altintas,MHP,14.0
Altintas,YRP,6.9
Altintas,TIP,0.1
Altintas,ZAFER,1.3
Altintas,BBP,1.5
Aslanapa,AKP,57.0
Aslanapa,CHP,6.0
Aslanapa,IYI,7.2
Aslanapa,DEM,0.1
Aslanapa,MHP,18.0
Aslanapa,YRP,7.3
Aslanapa,TIP,0.1
Aslanapa,ZAFER,0.8
Aslanapa,BBP,1.3
Cavdarhisar,AKP,41.1
Cavdarhisar,CHP,16.0
Cavdarhisar,IYI,11.7
Cavdarhisar,DEM,0.1
Cavdarhisar,MHP,14.7
Cavdarhisar,YRP,10.3
Cavdarhisar,TIP,0.3
Cavdarhisar,ZAFER,1.3
Cavdarhisar,BBP,1.2
Domanic,AKP,47.2
Domanic,CHP,16.6
Domanic,IYI,11.6
Domanic,DEM,0.2
Domanic,MHP,14.2
Domanic,YRP,4.3
Domanic,TIP,0.3
Domanic,ZAFER,1.8
Domanic,BBP,0.7
Dumlupinar,AKP,47.1
Dumlupinar,CHP,22.3
Dumlupinar,IYI,7.9
Dumlupinar,DEM,0.0
Dumlupinar,MHP,13.8
Dumlupinar,YRP,2.6
Dumlupinar,TIP,0.4
Dumlupinar,ZAFER,1.7
Dumlupinar,BBP,0.9
Emet,AKP,51.6
Emet,CHP,13.4
Emet,IYI,10.2
Emet,DEM,0.2
Emet,MHP,12.5
Emet,YRP,7.1
Emet,TIP,0.1
Emet,ZAFER,1.5
Emet,BBP,0.9
Gediz,AKP,40.3
Gediz,CHP,12.5
Gediz,IYI,14.9
Gediz,DEM,0.2
Gediz,MHP,22.3
Gediz,YRP,5.2
Gediz,TIP,0.2
Gediz,ZAFER,1.5
Gediz,BBP,0.5
Hisarcik,AKP,44.3
Hisarcik,CHP,13.2
Hisarcik,IYI,12.6
Hisarcik,DEM,0.1
Hisarcik,MHP,14.7
Hisarcik,YRP,9.4
Hisarcik,TIP,0.1
Hisarcik,ZAFER,1.3
Hisarcik,BBP,1.1
Merkez,AKP,45.0
Merkez,CHP,19.6
Merkez,IYI,10.2
Merkez,DEM,0.4
Merkez,MHP,9.6
Merkez,YRP,9.2
Merkez,TIP,0.3
Merkez,ZAFER,2.1
Merkez,BBP,1.7
Pazarlar,AKP,48.5
Pazarlar,CHP,12.5
Pazarlar,IYI,8.4
Pazarlar,DEM,0.1
Pazarlar,MHP,19.4
Pazarlar,YRP,5.8
Pazarlar,TIP,0.2
Pazarlar,ZAFER,1.4
Pazarlar,BBP,0.7
Simav,AKP,51.8
Simav,CHP,15.1
Simav,IYI,11.7
Simav,DEM,0.1
Simav,MHP,12.7
Simav,YRP,3.5
Simav,TIP,0.2
Simav,ZAFER,1.4
Simav,BBP,0.9
Saphane,AKP,52.1
Saphane,CHP,17.6
Saphane,IYI,10.6
Saphane,DEM,0.1
Saphane,MHP,10.5
Saphane,YRP,3.2
Saphane,TIP,0.1
Saphane,ZAFER,1.5
Saphane,BBP,0.6
Tavsanli,AKP,48.5
Tavsanli,CHP,14.2
Tavsanli,IYI,9.8
Tavsanli,DEM,0.3
Tavsanli,MHP,16.5
Tavsanli,YRP,6.2
Tavsanli,TIP,0.2
Tavsanli,ZAFER,1.5
Tavsanli,BBP,0.7
