district,party,base_vote_pct
Akcadag,AKP,35.8
Akcadag,CHP,31.5
Akcadag,IYI,1.5
Akcadag,DEM,0.0
Akcadag,MHP,0.0
Akcadag,YRP,19.2
Akcadag,TIP,0.3
Akcadag,ZAFER,0.0
Akcadag,BBP,8.8
Akcadag,SAADET,0.9
Arapgir,AKP,46.1
Arapgir,CHP,45.9
Arapgir,IYI,0.0
Arapgir,DEM,0.0
Arapgir,MHP,0.0
Arapgir,YRP,5.8
Arapgir,TIP,0.3
Arapgir,ZAFER,0.0
Arapgir,BBP,0.0
Arapgir,SAADET,0.0
Arguvan,AKP,24.2
Arguvan,CHP,47.1
Arguvan,IYI,0.3
Arguvan,DEM,2.0
Arguvan,MHP,0.0
Arguvan,YRP,0.7
Arguvan,TIP,21.5
Arguvan,ZAFER,0.0
Arguvan,BBP,0.2
Arguvan,SAADET,0.3
Battalgazi,AKP,55.1
Battalgazi,CHP,20.4
Battalgazi,IYI,1.0
Battalgazi,DEM,1.0
Battalgazi,MHP,0.0
Battalgazi,YRP,16.2
Battalgazi,TIP,0.1
Battalgazi,ZAFER,1.0
Battalgazi,BBP,1.2
Battalgazi,SAADET,2.3
Darende,AKP,56.5
Darende,CHP,0.0
Darende,IYI,4.4
Darende,DEM,0.0
Darende,MHP,0.0
Darende,YRP,30.4
Darende,TIP,0.4
Darende,ZAFER,0.0
Darende,BBP,1.6
Darende,SAADET,2.6
Dogansehir,AKP,42.5
Dogansehir,CHP,46.7
Dogansehir,IYI,2.1
Dogansehir,DEM,1.9
Dogansehir,MHP,0.0
Dogansehir,YRP,2.2
Dogansehir,TIP,0.1
Dogansehir,ZAFER,0.0
Dogansehir,BBP,2.9
Dogansehir,SAADET,0.5
Doganyol,AKP,54.2
Doganyol,CHP,0.0
Doganyol,IYI,0.0
Doganyol,DEM,0.0
Doganyol,MHP,0.0
Doganyol,YRP,37.7
Doganyol,TIP,0.3
Doganyol,ZAFER,0.0
Doganyol,BBP,0.0
Doganyol,SAADET,6.7
Hekimhan,AKP,0.0
Hekimhan,CHP,47.7
Hekimhan,IYI,2.0
Hekimhan,DEM,0.0
Hekimhan,MHP,31.3
Hekimhan,YRP,14.4
Hekimhan,TIP,0.2
Hekimhan,ZAFER,0.0
Hekimhan,BBP,0.4
Hekimhan,SAADET,0.9
Kale,AKP,56.4
Kale,CHP,9.3
Kale,IYI,0.7
Kale,DEM,0.0
Kale,MHP,0.0
Kale,YRP,24.9
Kale,TIP,0.0
Kale,ZAFER,0.0
Kale,BBP,7.1
Kale,SAADET,0.6
Kuluncak,AKP,0.0
Kuluncak,CHP,34.1
Kuluncak,IYI,1.0
Kuluncak,DEM,0.0
Kuluncak,MHP,36.2
Kuluncak,YRP,26.5
Kuluncak,TIP,0.1
Kuluncak,ZAFER,0.0
Kuluncak,BBP,0.9
Kuluncak,SAADET,0.6
Puturge,AKP,54.4
Puturge,CHP,0.0
Puturge,IYI,1.0
Puturge,DEM,1.6
Puturge,MHP,0.0
Puturge,YRP,39.6
Puturge,TIP,0.3
Puturge,ZAFER,0.0
Puturge,BBP,0.9
Puturge,SAADET,1.1
Yazihan,AKP,40.8
Yazihan,CHP,41.2
Yazihan,IYI,0.7
Yazihan,DEM,3.2
Yazihan,MHP,0.0
Yazihan,YRP,11.1
Yazihan,TIP,0.1
Yazihan,ZAFER,0.0
Yazihan,BBP,1.0
Yazihan,SAADET,0.4
Yesilyurt,AKP,48.3
Yesilyurt,CHP,32.3
Yesilyurt,IYI,1.3
Yesilyurt,DEM,0.8
Yesilyurt,MHP,0.0
Yesilyurt,YRP,12.1
Yesilyurt,TIP,0.1
Yesilyurt,ZAFER,1.2
Yesilyurt,BBP,1.0
Yesilyurt,SAADET,0.9
