district,party,base_vote_pct
Ahmetli,AKP,35.41
Ahmetli,CHP,27.62
Ahmetli,IYI,11.47
Ahmetli,DEM,5.14
Ahmetli,MHP,13.76
Ahmetli,YRP,1.85
Ahmetli,TIP,0
Ahmetli,ZAFER,1.84
Ahmetli,BBP,0.38
Akhisar,AKP,33.80
Akhisar,CHP,37.28
Akhisar,IYI,10.05
Akhisar,DEM,2.26
Akhisar,MHP,10.09
Akhisar,YRP,1.26
Akhisar,TIP,0
Akhisar,ZAFER,2.01
Akhisar,BBP,0.61
Demirci,AKP,44.18
Demirci,CHP,16.45
Demirci,IYI,10.26
Demirci,DEM,0.22
Demirci,MHP,23.33
Demirci,YRP,1.25
Demirci,TIP,0
Demirci,ZAFER,1.36
Demirci,BBP,0.73
Golmarmara,AKP,26.54
Golmarmara,CHP,28.15
Golmarmara,IYI,10.16
Golmarmara,DEM,18.23
Golmarmara,MHP,12.71
Golmarmara,YRP,0.77
Golmarmara,TIP,0
Golmarmara,ZAFER,1.17
Golmarmara,BBP,0.48
Gordes,AKP,43.37
Gordes,CHP,20.80
Gordes,IYI,11.94
Gordes,DEM,0.32
Gordes,MHP,16.84
Gordes,YRP,1.75
Gordes,TIP,0
Gordes,ZAFER,1.53
Gordes,BBP,0.69
Kirkagac,AKP,47.53
Kirkagac,CHP,18.84
Kirkagac,IYI,8.84
Kirkagac,DEM,0.58
Kirkagac,MHP,13.99
Kirkagac,YRP,2.56
Kirkagac,TIP,0
Kirkagac,ZAFER,2.33
Kirkagac,BBP,2.70
Koprubasi,AKP,35.80
Koprubasi,CHP,24.59
Koprubasi,IYI,14.72
Koprubasi,DEM,0.40
Koprubasi,MHP,19.11
Koprubasi,YRP,1.05
Koprubasi,TIP,0
Koprubasi,ZAFER,1.37
Koprubasi,BBP,0.51
Kula,AKP,37.07
Kula,CHP,24.01
Kula,IYI,10.52
Kula,DEM,0.61
Kula,MHP,19.78
Kula,YRP,1.12
Kula,TIP,0
Kula,ZAFER,1.75
Kula,BBP,2.21
Salihli,AKP,24.94
Salihli,CHP,36.77
Salihli,IYI,12.02
Salihli,DEM,6.00
Salihli,MHP,14.60
Salihli,YRP,0.75
Salihli,TIP,0
Salihli,ZAFER,2.12
Salihli,BBP,0.42
Sarigol,AKP,21.49
Sarigol,CHP,37.82
Sarigol,IYI,12.32
Sarigol,DEM,2.58
Sarigol,MHP,20.57
Sarigol,YRP,1.11
Sarigol,TIP,0
Sarigol,ZAFER,1.26
Sarigol,BBP,0.39
Saruhanli,AKP,32.10
Saruhanli,CHP,33.21
Saruhanli,IYI,11.66
Saruhanli,DEM,7.25
Saruhanli,MHP,10.09
Saruhanli,YRP,0.89
Saruhanli,TIP,0
Saruhanli,ZAFER,1.90
Saruhanli,BBP,0.43
Selendi,AKP,39.03
Selendi,CHP,21.44
Selendi,IYI,9.50
Selendi,DEM,0.34
Selendi,MHP,23.81
Selendi,YRP,1.07
Selendi,TIP,0
Selendi,ZAFER,1.17
Selendi,BBP,0.64
Soma,AKP,35.52
Soma,CHP,27.60
Soma,IYI,10.17
Soma,DEM,1.80
Soma,MHP,7.10
Soma,YRP,3.21
Soma,TIP,0
Soma,ZAFER,2.14
Soma,BBP,9.51
Sehzadeler,AKP,31.54
Sehzadeler,CHP,28.58
Sehzadeler,IYI,12.85
Sehzadeler,DEM,7.81
Sehzadeler,MHP,11.29
Sehzadeler,YRP,2.06
Sehzadeler,TIP,0
Sehzadeler,ZAFER,2.62
Sehzadeler,BBP,0.55
Turgutlu,AKP,32.46
Turgutlu,CHP,24.41
Turgutlu,IYI,10.82
Turgutlu,DEM,11.07
Turgutlu,MHP,14.05
Turgutlu,YRP,1.38
Turgutlu,TIP,0
Turgutlu,ZAFER,2.72
Turgutlu,BBP,0.61
Yunusemre,AKP,30.01
Yunusemre,CHP,29.21
Yunusemre,IYI,13.13
Yunusemre,DEM,8.23
Yunusemre,MHP,11.08
Yunusemre,YRP,1.94
Yunusemre,TIP,0
Yunusemre,ZAFER,2.95
Yunusemre,BBP,0.66
Alasehir,AKP,18.31
Alasehir,CHP,30.13
Alasehir,IYI,8.81
Alasehir,DEM,4.51
Alasehir,MHP,32.73
Alasehir,YRP,1.00
Alasehir,TIP,0
Alasehir,ZAFER,1.77
Alasehir,BBP,0.38
