district,party,base_vote_pct
Artuklu,AKP,36.9
Artuklu,CHP,8.0
Artuklu,IYI,1.7
Artuklu,DEM,37.3
Artuklu,MHP,7.0
Artuklu,YRP,1.6
Artuklu,TIP,0.0
Artuklu,ZAFER,0.9
Artuklu,BBP,0.2
Dargecit,AKP,24.5
Dargecit,CHP,6.1
Dargecit,IYI,1.0
Dargecit,DEM,62.5
Dargecit,MHP,1.7
Dargecit,YRP,1.2
Dargecit,TIP,0.0
Dargecit,ZAFER,0.7
Dargecit,BBP,0.2
Derik,AKP,10.8
Derik,CHP,4.4
Derik,IYI,1.9
Derik,DEM,72.5
Derik,MHP,1.8
Derik,YRP,0.2
Derik,TIP,0.0
Derik,ZAFER,0.3
Derik,BBP,0.1
Kiziltepe,AKP,13.0
Kiziltepe,CHP,4.6
Kiziltepe,IYI,0.7
Kiziltepe,DEM,68.2
Kiziltepe,MHP,1.0
Kiziltepe,YRP,0.7
Kiziltepe,TIP,0.0
Kiziltepe,ZAFER,0.2
Kiziltepe,BBP,0.1
Mazidagi,AKP,15.9
Mazidagi,CHP,8.0
Mazidagi,IYI,1.3
Mazidagi,DEM,67.5
Mazidagi,MHP,1.0
Mazidagi,YRP,0.7
Mazidagi,TIP,0.0
Mazidagi,ZAFER,0.4
Mazidagi,BBP,0.1
Midyat,AKP,43.8
Midyat,CHP,11.8
Midyat,IYI,1.1
Midyat,DEM,34.5
Midyat,MHP,3.8
Midyat,YRP,2.1
Midyat,TIP,0.0
Midyat,ZAFER,0.6
Midyat,BBP,0.2
Nusaybin,AKP,11.3
Nusaybin,CHP,5.4
Nusaybin,IYI,0.7
Nusaybin,DEM,77.9
Nusaybin,MHP,1.5
Nusaybin,YRP,0.7
Nusaybin,TIP,0.0
Nusaybin,ZAFER,0.4
Nusaybin,BBP,0.1
Omerli,AKP,42.9
Omerli,CHP,5.9
Omerli,IYI,1.8
Omerli,DEM,34.6
Omerli,MHP,9.0
Omerli,YRP,1.6
Omerli,TIP,0.0
Omerli,ZAFER,0.7
Omerli,BBP,0.8
Savur,AKP,35.9
Savur,CHP,4.2
Savur,IYI,1.4
Savur,DEM,47.3
Savur,MHP,5.8
Savur,YRP,1.4
Savur,TIP,0.0
Savur,ZAFER,0.7
Savur,BBP,0.2
Yesilli,AKP,60.0
Yesilli,CHP,4.3
Yesilli,IYI,0.9
Yesilli,DEM,21.5
Yesilli,MHP,5.1
Yesilli,YRP,2.3
Yesilli,TIP,0.0
Yesilli,ZAFER,0.4
Yesilli,BBP,0.3
