district,party,base_vote_pct
Akdeniz,AKP,28.1
Akdeniz,CHP,28.1
Akdeniz,IYI,1.6
Akdeniz,DEM,33.6
Akdeniz,MHP,0.0
Akdeniz,YRP,1.6
Akdeniz,TIP,0.3
Akdeniz,ZAFER,1.5
Akdeniz,BBP,0.2
Akdeniz,SAADET,0.5
Anamur,AKP,0.0
Anamur,CHP,53.5
Anamur,IYI,3.1
Anamur,DEM,0.0
Anamur,MHP,37.2
Anamur,YRP,0.0
Anamur,TIP,0.2
Anamur,ZAFER,0.0
Anamur,BBP,1.0
Anamur,SAADET,0.4
Aydincik,AKP,33.3
Aydincik,CHP,59.4
Aydincik,IYI,5.0
Aydincik,DEM,0.0
Aydincik,MHP,0.0
Aydincik,YRP,0.0
Aydincik,TIP,0.1
Aydincik,ZAFER,0.6
Aydincik,BBP,0.2
Aydincik,SAADET,0.4
Bozyazi,AKP,0.0
Bozyazi,CHP,29.8
Bozyazi,IYI,27.7
Bozyazi,DEM,0.0
Bozyazi,MHP,39.0
Bozyazi,YRP,0.8
Bozyazi,TIP,0.4
Bozyazi,ZAFER,0.0
Bozyazi,BBP,0.3
Bozyazi,SAADET,0.3
Camliyayla,AKP,0.0
Camliyayla,CHP,9.8
Camliyayla,IYI,41.7
Camliyayla,DEM,0.0
Camliyayla,MHP,45.3
Camliyayla,YRP,0.7
Camliyayla,TIP,0.1
Camliyayla,ZAFER,0.5
Camliyayla,BBP,0.0
Camliyayla,SAADET,0.3
Erdemli,AKP,0.0
Erdemli,CHP,37.0
Erdemli,IYI,14.5
Erdemli,DEM,0.0
Erdemli,MHP,42.3
Erdemli,YRP,1.5
Erdemli,TIP,0.2
Erdemli,ZAFER,1.3
Erdemli,BBP,1.4
Erdemli,SAADET,0.6
Gulnar,AKP,0.0
Gulnar,CHP,32.1
Gulnar,IYI,25.4
Gulnar,DEM,0.0
Gulnar,MHP,36.8
Gulnar,YRP,3.2
Gulnar,TIP,0.2
Gulnar,ZAFER,1.2
Gulnar,BBP,0.2
Gulnar,SAADET,0.2
Mezitli,AKP,25.0
Mezitli,CHP,64.1
Mezitli,IYI,2.0
Mezitli,DEM,0.0
Mezitli,MHP,0.0
Mezitli,YRP,1.1
Mezitli,TIP,0.9
Mezitli,ZAFER,3.2
Mezitli,BBP,0.3
Mezitli,SAADET,0.4
Mut,AKP,0.0
Mut,CHP,19.7
Mut,IYI,36.9
Mut,DEM,0.0
Mut,MHP,35.6
Mut,YRP,3.1
Mut,TIP,0.2
Mut,ZAFER,0.8
Mut,BBP,0.4
Mut,SAADET,0.7
Silifke,AKP,0.0
Silifke,CHP,55.2
Silifke,IYI,2.2
Silifke,DEM,0.0
Silifke,MHP,37.4
Silifke,YRP,1.0
Silifke,TIP,0.2
Silifke,ZAFER,2.1
Silifke,BBP,0.2
Silifke,SAADET,0.2
Tarsus,AKP,0.0
Tarsus,CHP,45.5
Tarsus,IYI,6.4
Tarsus,DEM,0.0
Tarsus,MHP,35.5
Tarsus,YRP,1.4
Tarsus,TIP,0.6
Tarsus,ZAFER,1.5
Tarsus,BBP,0.5
Tarsus,SAADET,0.7
Toroslar,AKP,0.0
Toroslar,CHP,47.6
Toroslar,IYI,5.1
Toroslar,DEM,0.0
Toroslar,MHP,37.0
Toroslar,YRP,2.0
Toroslar,TIP,0.4
Toroslar,ZAFER,1.7
Toroslar,BBP,0.4
Toroslar,SAADET,0.9
Yenisehir,AKP,19.2
Yenisehir,CHP,67.4
Yenisehir,IYI,2.5
Yenisehir,DEM,0.0
Yenisehir,MHP,0.0
Yenisehir,YRP,1.4
Yenisehir,TIP,1.5
Yenisehir,ZAFER,3.1
Yenisehir,BBP,0.4
Yenisehir,SAADET,0.5
