district,party,base_vote_pct
Yatagan,AKP,26.81
Yatagan,CHP,39.03
Yatagan,IYI,17.28
Yatagan,DEM,0.96
Yatagan,MHP,7.32
Yatagan,YRP,0.70
Yatagan,TIP,2.69
Yatagan,ZAFER,1.46
Yatagan,BBP,0.30
Ula,AKP,26.31
Ula,CHP,40.02
Ula,IYI,13.23
Ula,DEM,1.88
Ula,MHP,5.75
Ula,YRP,0.93
Ula,TIP,6.80
Ula,ZAFER,1.51
Ula,BBP,0.33
Seydikemer,AKP,45.09
Seydikemer,CHP,20.51
Seydikemer,IYI,18.22
Seydikemer,DEM,0.40
Seydikemer,MHP,9.41
Seydikemer,YRP,0.72
Seydikemer,TIP,0.90
Seydikemer,ZAFER,0.97
Seydikemer,BBP,0.41
Ortaca,AKP,22.70
Ortaca,CHP,39.85
Ortaca,IYI,18.42
Ortaca,DEM,2.36
Ortaca,MHP,7.11
Ortaca,YRP,0.62
Ortaca,TIP,4.15
Ortaca,ZAFER,1.60
Ortaca,BBP,0.31
Milas,AKP,22.57
Milas,CHP,39.21
Milas,IYI,17.82
Milas,DEM,4.11
Milas,MHP,6.16
Milas,YRP,0.64
Milas,TIP,4.47
Milas,ZAFER,1.71
Milas,BBP,0.27
Mentese,AKP,21.62
Mentese,CHP,40.23
Mentese,IYI,16.68
Mentese,DEM,1.72
Mentese,MHP,5.79
Mentese,YRP,0.64
Mentese,TIP,7.56
Mentese,ZAFER,2.37
Mentese,BBP,0.25
Marmaris,AKP,20.04
Marmaris,CHP,42.31
Marmaris,IYI,14.82
Marmaris,DEM,4.46
Marmaris,MHP,4.94
Marmaris,YRP,0.48
Marmaris,TIP,7.28
Marmaris,ZAFER,2.18
Marmaris,BBP,0.31
Koycegiz,AKP,31.08
Koycegiz,CHP,34.63
Koycegiz,IYI,15.43
Koycegiz,DEM,1.34
Koycegiz,MHP,7.55
Koycegiz,YRP,0.72
Koycegiz,TIP,3.82
Koycegiz,ZAFER,1.60
Koycegiz,BBP,0.37
Kavaklidere,AKP,41.47
Kavaklidere,CHP,21.20
Kavaklidere,IYI,15.94
Kavaklidere,DEM,0.17
Kavaklidere,MHP,14.74
Kavaklidere,YRP,0.71
Kavaklidere,TIP,1.02
Kavaklidere,ZAFER,1.59
Kavaklidere,BBP,0.35
Fethiye,AKP,28.36
Fethiye,CHP,32.16
Fethiye,IYI,21.87
Fethiye,DEM,1.34
Fethiye,MHP,5.64
Fethiye,YRP,0.62
Fethiye,TIP,5.58
Fethiye,ZAFER,1.67
Fethiye,BBP,0.28
Datca,AKP,14.09
Datca,CHP,48.67
Datca,IYI,11.09
Datca,DEM,6.35
Datca,MHP,7.61
Datca,YRP,0.39
Datca,TIP,8.07
Datca,ZAFER,1.23
Datca,BBP,0.29
Dalaman,AKP,26.95
Dalaman,CHP,33.14
Dalaman,IYI,19.88
Dalaman,DEM,2.54
Dalaman,MHP,7.54
Dalaman,YRP,0.98
Dalaman,TIP,3.57
Dalaman,ZAFER,2.20
Dalaman,BBP,0.38
Bodrum,AKP,14.38
Bodrum,CHP,45.05
Bodrum,IYI,16.29
Bodrum,DEM,7.30
Bodrum,MHP,4.17
Bodrum,YRP,0.40
Bodrum,TIP,8.42
Bodrum,ZAFER,1.38
Bodrum,BBP,0.18
