district,party,base_vote_pct
Bulanik,AKP,21
Bulanik,CHP,8.7
Bulanik,IYI,0
Bulanik,DEM,56.2
Bulanik,MHP,0
Bulanik,YRP,2.7
Bulanik,TIP,0
Bulanik,ZAFER,0
Bulanik,BBP,0
Bulanik,SAADET,0.7
Haskoy,AKP,40.9
Haskoy,CHP,0.8
Haskoy,IYI,13.4
Haskoy,DEM,1.5
Haskoy,MHP,37.6
Haskoy,YRP,5.6
Haskoy,TIP,0
Haskoy,ZAFER,0
Haskoy,BBP,0
Haskoy,SAADET,0.2
Korkut,AKP,44.1
Korkut,CHP,1.2
Korkut,IYI,0
Korkut,DEM,21.5
Korkut,MHP,0
Korkut,YRP,0
Korkut,TIP,0
Korkut,ZAFER,0
Korkut,BBP,0
Korkut,SAADET,1
Malazgirt,AKP,40.2
Malazgirt,CHP,3.5
Malazgirt,IYI,0
Malazgirt,DEM,54.4
Malazgirt,MHP,0
Malazgirt,YRP,0
Malazgirt,TIP,0
Malazgirt,ZAFER,0
Malazgirt,BBP,0
Malazgirt,SAADET,0.7
Merkez,AKP,25.4
Merkez,CHP,3.1
Merkez,IYI,5.1
Merkez,DEM,40.8
Merkez,MHP,0
Merkez,YRP,12.7
Merkez,TIP,0
Merkez,ZAFER,0.6
Merkez,BBP,0
Merkez,SAADET,1.4
Varto,AKP,22
Varto,CHP,11.3
Varto,IYI,0
Varto,DEM,61.7
Varto,MHP,0
Varto,YRP,2.5
Varto,TIP,0
Varto,ZAFER,0
Varto,BBP,0
Varto,SAADET,0.3
