district,party,base_vote_pct
Acigol,AKP,31.4
Acigol,CHP,6.6
Acigol,IYI,0
Acigol,DEM,0
Acigol,MHP,60
Acigol,YRP,1.4
Acigol,TIP,0
Acigol,ZAFER,0.4
Acigol,BBP,0
Acigol,SAADET,0
Avanos,AKP,20.4
Avanos,CHP,37.7
Avanos,IYI,3.5
Avanos,DEM,0
Avanos,MHP,33.9
Avanos,YRP,0
Avanos,TIP,0
Avanos,ZAFER,1.8
Avanos,BBP,0
Avanos,SAADET,1.6
Derinkuyu,AKP,36.8
Derinkuyu,CHP,47.2
Derinkuyu,IYI,0
Derinkuyu,DEM,0
Derinkuyu,MHP,13.8
Derinkuyu,YRP,0.7
Derinkuyu,TIP,0
Derinkuyu,ZAFER,0.5
Derinkuyu,BBP,0
Derinkuyu,SAADET,1
Gulsehir,AKP,33.6
Gulsehir,CHP,8.1
Gulsehir,IYI,0
Gulsehir,DEM,0
Gulsehir,MHP,57
Gulsehir,YRP,0
Gulsehir,TIP,0
Gulsehir,ZAFER,0.7
Gulsehir,BBP,0
Gulsehir,SAADET,0
Hacibektas,AKP,4.2
Hacibektas,CHP,33.5
Hacibektas,IYI,18.2
Hacibektas,DEM,0
Hacibektas,MHP,0
Hacibektas,YRP,0.3
Hacibektas,TIP,37.7
Hacibektas,ZAFER,0.5
Hacibektas,BBP,0
Hacibektas,SAADET,0
Kozakli,AKP,28.8
Kozakli,CHP,41
Kozakli,IYI,0
Kozakli,DEM,0
Kozakli,MHP,24.6
Kozakli,YRP,4.6
Kozakli,TIP,0
Kozakli,ZAFER,0.6
Kozakli,BBP,0
Kozakli,SAADET,0
Merkez,AKP,34.5
Merkez,CHP,7.2
Merkez,IYI,38
Merkez,DEM,0.3
Merkez,MHP,11.9
Merkez,YRP,3.8
Merkez,TIP,0
Merkez,ZAFER,2.5
Merkez,BBP,0
Merkez,SAADET,0.9
Urgup,AKP,24.1
Urgup,CHP,35
Urgup,IYI,1.7
Urgup,DEM,0
Urgup,MHP,34.4
Urgup,YRP,2.4
Urgup,TIP,0
Urgup,ZAFER,1.4
Urgup,BBP,0
Urgup,SAADET,0.6
