district,party,base_vote_pct
Altunhisar,AKP,49.9
Altunhisar,CHP,0
Altunhisar,IYI,0
Altunhisar,DEM,0
Altunhisar,MHP,44
Altunhisar,YRP,4.2
Altunhisar,TIP,0
Altunhisar,ZAFER,1
Altunhisar,BBP,0
Altunhisar,SAADET,0
Bor,AKP,48.3
Bor,CHP,11.6
Bor,IYI,0
Bor,DEM,0
Bor,MHP,31.4
Bor,YRP,4.1
Bor,TIP,0
Bor,ZAFER,1.8
Bor,BBP,0
Bor,SAADET,1.5
Camardi,AKP,33.1
Camardi,CHP,30.4
Camardi,IYI,0
Camardi,DEM,0
Camardi,MHP,30.5
Camardi,YRP,5
Camardi,TIP,0
Camardi,ZAFER,0
Camardi,BBP,0
Camardi,SAADET,0.7
Ciftlik,AKP,30.5
Ciftlik,CHP,39.7
Ciftlik,IYI,0
Ciftlik,DEM,0
Ciftlik,MHP,27.3
Ciftlik,YRP,0
Ciftlik,TIP,0
Ciftlik,ZAFER,1.5
Ciftlik,BBP,0
Ciftlik,SAADET,0
Merkez,AKP,32.7
Merkez,CHP,27.2
Merkez,IYI,9.6
Merkez,DEM,0
Merkez,MHP,20.3
Merkez,YRP,5
Merkez,TIP,0
Merkez,ZAFER,1.9
Merkez,BBP,0
Merkez,SAADET,1.8
Ulukisla,AKP,41.7
Ulukisla,CHP,38.3
Ulukisla,IYI,0
Ulukisla,DEM,0
Ulukisla,MHP,9.9
Ulukisla,YRP,5.9
Ulukisla,TIP,0
Ulukisla,ZAFER,0.5
Ulukisla,BBP,0
Ulukisla,SAADET,0.8
