district,party,base_vote_pct
Unye,AKP,43.13
Unye,CHP,10.68
Unye,IYI,30.64
Unye,DEM,0
Unye,MHP,0
Unye,YRP,11.19
Unye,TIP,0.11
Unye,ZAFER,1.06
Unye,BBP,0.65
Unye,SAADET,1.45
Gurgentepe,AKP,41.59
Gurgentepe,CHP,47.55
Gurgentepe,IYI,6.69
Gurgentepe,DEM,0
Gurgentepe,MHP,0
Gurgentepe,YRP,2.59
Gurgentepe,TIP,0.12
Gurgentepe,ZAFER,0.26
Gurgentepe,BBP,0.25
Gurgentepe,SAADET,0.34
Gulyali,AKP,0
Gulyali,CHP,36.42
Gulyali,IYI,8.82
Gulyali,DEM,0
Gulyali,MHP,48.47
Gulyali,YRP,0
Gulyali,TIP,0.19
Gulyali,ZAFER,0.75
Gulyali,BBP,0.43
Gulyali,SAADET,3.08
Golkoy,AKP,44.63
Golkoy,CHP,19.65
Golkoy,IYI,32.04
Golkoy,DEM,0
Golkoy,MHP,0
Golkoy,YRP,1.52
Golkoy,TIP,0.18
Golkoy,ZAFER,0.33
Golkoy,BBP,0.19
Golkoy,SAADET,0
Fatsa,AKP,46.66
Fatsa,CHP,29.46
Fatsa,IYI,13.46
Fatsa,DEM,0.12
Fatsa,MHP,0
Fatsa,YRP,4.84
Fatsa,TIP,0.12
Fatsa,ZAFER,1.29
Fatsa,BBP,0.42
Fatsa,SAADET,1.36
Ulubey,AKP,35.66
Ulubey,CHP,30.15
Ulubey,IYI,27.87
Ulubey,DEM,0
Ulubey,MHP,0
Ulubey,YRP,3.53
Ulubey,TIP,0.08
Ulubey,ZAFER,0.59
Ulubey,BBP,0.47
Ulubey,SAADET,0.75
Persembe,AKP,40.04
Persembe,CHP,35.91
Persembe,IYI,19.06
Persembe,DEM,0
Persembe,MHP,0
Persembe,YRP,1.54
Persembe,TIP,0.11
Persembe,ZAFER,0.95
Persembe,BBP,0.19
Persembe,SAADET,0.48
Mesudiye,AKP,43.85
Mesudiye,CHP,29.34
Mesudiye,IYI,10.69
Mesudiye,DEM,0
Mesudiye,MHP,0
Mesudiye,YRP,12.62
Mesudiye,TIP,0.13
Mesudiye,ZAFER,0.46
Mesudiye,BBP,0.76
Mesudiye,SAADET,1.64
Kumru,AKP,69.63
Kumru,CHP,15.09
Kumru,IYI,0
Kumru,DEM,0
Kumru,MHP,0
Kumru,YRP,8.09
Kumru,TIP,0.12
Kumru,ZAFER,0.85
Kumru,BBP,2.34
Kumru,SAADET,2.33
Korgan,AKP,39.94
Korgan,CHP,2.64
Korgan,IYI,35.53
Korgan,DEM,0
Korgan,MHP,0
Korgan,YRP,19.2
Korgan,TIP,0.13
Korgan,ZAFER,0.49
Korgan,BBP,0
Korgan,SAADET,1.04
Kabatas,AKP,33.25
Kabatas,CHP,27.35
Kabatas,IYI,33.52
Kabatas,DEM,0
Kabatas,MHP,0
Kabatas,YRP,3.76
Kabatas,TIP,0.26
Kabatas,ZAFER,0.65
Kabatas,BBP,0.21
Kabatas,SAADET,0.34
Kabaduz,AKP,43.42
Kabaduz,CHP,17.47
Kabaduz,IYI,31.95
Kabaduz,DEM,0
Kabaduz,MHP,0
Kabaduz,YRP,3.40
Kabaduz,TIP,0.09
Kabaduz,ZAFER,0.47
Kabaduz,BBP,0.22
Kabaduz,SAADET,0.99
Ikizce,AKP,0
Ikizce,CHP,18.64
Ikizce,IYI,40.87
Ikizce,DEM,0
Ikizce,MHP,40.43
Ikizce,YRP,5.33
Ikizce,TIP,0.36
Ikizce,ZAFER,0.62
Ikizce,BBP,27.05
Ikizce,SAADET,2.18
Catalpinar,AKP,49.54
Catalpinar,CHP,0
Catalpinar,IYI,44.83
Catalpinar,DEM,0
Catalpinar,MHP,0
Catalpinar,YRP,3.64
Catalpinar,TIP,0.04
Catalpinar,ZAFER,0.27
Catalpinar,BBP,0.27
Catalpinar,SAADET,0.83
Caybasi,AKP,48.79
Caybasi,CHP,4.05
Caybasi,IYI,0
Caybasi,DEM,0
Caybasi,MHP,0
Caybasi,YRP,44.66
Caybasi,TIP,0.06
Caybasi,ZAFER,0.46
Caybasi,BBP,0
Caybasi,SAADET,0.66
Camas,AKP,0
Camas,CHP,30.69
Camas,IYI,10.20
Camas,DEM,0
Camas,MHP,22.09
Camas,YRP,23.09
Camas,TIP,0.20
Camas,ZAFER,0.36
Camas,BBP,0.70
Camas,SAADET,2.88
Aybasti,AKP,53.95
Aybasti,CHP,12.02
Aybasti,IYI,19.24
Aybasti,DEM,0
Aybasti,MHP,0
Aybasti,YRP,10.80
Aybasti,TIP,0.10
Aybasti,ZAFER,0.49
Aybasti,BBP,0.52
Aybasti,SAADET,1.00
Akkus,AKP,49.89
Akkus,CHP,9.42
Akkus,IYI,33.64
Akkus,DEM,0
Akkus,MHP,0
Akkus,YRP,3.98
Akkus,TIP,0.20
Akkus,ZAFER,0.47
Akkus,BBP,1.21
Akkus,SAADET,0.40
Altinordu,AKP,36.34
Altinordu,CHP,39.48
Altinordu,IYI,16.05
Altinordu,DEM,0.13
Altinordu,MHP,0
Altinordu,YRP,2.34
Altinordu,TIP,0.15
Altinordu,ZAFER,1.84
Altinordu,BBP,0.34
Altinordu,SAADET,0.65
