district,party,base_vote_pct
Bahce,AKP,39.22
Bahce,CHP,11.23
Bahce,IYI,9.08
Bahce,DEM,0.37
Bahce,MHP,27.9
Bahce,YRP,8.85
Bahce,TIP,0.16
Bahce,ZAFER,1.29
Bahce,BBP,0.45
Duzici,AKP,26.84
Duzici,CHP,21.72
Duzici,IYI,9.11
Duzici,DEM,0.25
Duzici,MHP,36.87
Duzici,YRP,1.69
Duzici,TIP,0.37
Duzici,ZAFER,1.33
Duzici,BBP,0.44
Hasanbeyli,AKP,33.29
Hasanbeyli,CHP,16.43
Hasanbeyli,IYI,12.39
Hasanbeyli,DEM,0.62
Hasanbeyli,MHP,31.47
Hasanbeyli,YRP,2.01
Hasanbeyli,TIP,0.18
Hasanbeyli,ZAFER,1.5
Hasanbeyli,BBP,0.65
Merkez,AKP,33.62
Merkez,CHP,16.85
Merkez,IYI,10.19
Merkez,DEM,3.64
Merkez,MHP,29.43
Merkez,YRP,2.0
Merkez,TIP,0.32
Merkez,ZAFER,1.87
Merkez,BBP,0.69
Kadirli,AKP,35.33
Kadirli,CHP,15.63
Kadirli,IYI,20.32
Kadirli,DEM,0.31
Kadirli,MHP,23.14
Kadirli,YRP,1.12
Kadirli,TIP,0.21
Kadirli,ZAFER,1.87
Kadirli,BBP,0.58
Sumbas,AKP,30.62
Sumbas,CHP,16.25
Sumbas,IYI,18.22
Sumbas,DEM,0.12
Sumbas,MHP,30.83
Sumbas,YRP,0.71
Sumbas,TIP,0.1
Sumbas,ZAFER,1.4
Sumbas,BBP,0.31
Toprakkale,AKP,24.46
Toprakkale,CHP,19.58
Toprakkale,IYI,14.88
Toprakkale,DEM,3.14
Toprakkale,MHP,31.24
Toprakkale,YRP,2.18
Toprakkale,TIP,0.24
Toprakkale,ZAFER,1.45
Toprakkale,BBP,0.5
